elapsed_s,PC_RESERVED_56,PC_RESERVED_57,PC_RESERVED_58,PC_RESERVED_59,PC_S_BUSY_CYCLES,PC_S_WORKING_CYCLES,PC_S_STALL_CYCLES_VFD,PC_S_STALL_CYCLES_VPC_FE
0.452100,0,0,0,0,0,0,0,0
0.453486,0,0,0,0,0,0,0,0
0.454822,0,0,0,0,0,0,0,0
0.456187,0,0,0,0,0,0,0,0
0.457548,0,0,0,0,0,0,0,0
0.458858,0,0,0,0,0,0,0,0
0.460170,0,0,0,0,0,0,0,0
0.461530,0,0,0,0,0,0,0,0
0.462848,0,0,0,0,0,0,0,0
0.464167,0,0,0,0,0,0,0,0
0.465479,0,0,0,0,0,0,0,0
0.466789,0,0,0,0,0,0,0,0
0.468098,0,0,0,0,0,0,0,0
0.469456,0,0,0,0,0,0,0,0
0.470773,0,0,0,0,0,0,0,0
0.472115,0,0,0,0,0,0,0,0
0.473493,0,0,0,0,0,0,0,0
0.474872,0,0,0,0,0,0,0,0
0.476247,0,0,0,0,0,0,0,0
0.477663,0,0,0,0,0,0,0,0
0.479039,0,0,0,0,0,0,0,0
0.480480,0,0,0,0,0,0,0,0
0.481862,0,0,0,0,0,0,0,0
0.483250,0,0,0,0,0,0,0,0
0.484680,0,0,0,0,0,0,0,0
0.486060,0,0,0,0,0,0,0,0
0.487435,0,0,0,0,0,0,0,0
0.488794,0,0,0,0,0,0,0,0
0.490152,0,0,0,0,0,0,0,0
0.491505,0,0,0,0,0,0,0,0
0.492865,0,0,0,0,0,0,0,0
0.494245,0,0,0,0,336,408,0,0
0.495763,0,0,0,0,0,0,0,0
0.497142,0,0,0,0,0,0,0,0
0.498506,0,0,0,0,0,0,0,0
0.499869,0,0,0,0,0,0,0,0
0.501231,0,0,0,0,0,0,0,0
0.502591,0,0,0,0,0,0,0,0
0.504358,0,0,0,0,1623,2022,24,0
0.506219,0,0,0,0,0,0,0,0
0.507670,0,0,0,0,0,0,0,0
0.509090,0,0,0,0,0,0,0,0
0.510511,0,0,0,0,0,0,0,0
0.511925,0,0,0,0,0,0,0,0
0.513333,0,0,0,0,0,0,0,0
0.514742,0,0,0,0,0,0,0,0
0.516149,0,0,0,0,0,0,0,0
0.517555,0,0,0,0,0,0,0,0
0.519288,0,0,0,0,0,0,0,0
0.524664,0,0,0,0,0,0,0,0
0.526118,0,0,0,0,0,0,0,0
0.527526,0,0,0,0,0,0,0,0
0.530430,0,0,0,0,0,0,0,0
0.531841,0,0,0,0,0,0,0,0
0.533246,0,0,0,0,0,0,0,0
0.534647,0,0,0,0,0,0,0,0
0.536094,0,0,0,0,0,0,0,0
0.537496,0,0,0,0,0,0,0,0
0.538904,0,0,0,0,0,0,0,0
0.540304,0,0,0,0,0,0,0,0
0.541805,0,0,0,0,0,0,0,0
0.543218,0,0,0,0,0,0,0,0
0.544624,0,0,0,0,0,0,0,0
0.546030,0,0,0,0,0,0,0,0
0.547410,0,0,0,0,0,0,0,0
0.548774,0,0,0,0,0,0,0,0
0.550136,0,0,0,0,0,0,0,0
0.551541,0,0,0,0,0,0,0,0
0.552969,0,0,0,0,0,0,0,0
0.554387,0,0,0,0,0,0,0,0
0.555795,0,0,0,0,0,0,0,0
0.557205,0,0,0,0,0,0,0,0
0.558612,0,0,0,0,0,0,0,0
0.560021,0,0,0,0,0,0,0,0
0.561431,0,0,0,0,0,0,0,0
0.562968,0,0,0,0,0,0,0,0
0.564426,0,0,0,0,0,0,0,0
0.565866,0,0,0,0,0,0,0,0
0.567277,0,0,0,0,0,0,0,0
0.568731,0,0,0,0,0,0,0,0
0.570141,0,0,0,0,0,0,0,0
0.571549,0,0,0,0,0,0,0,0
0.572959,0,0,0,0,0,0,0,0
0.574496,0,0,0,0,0,0,0,0
0.576081,0,0,0,0,0,0,0,0
0.577653,0,0,0,0,0,0,0,0
0.579227,0,0,0,0,0,0,0,0
0.580802,0,0,0,0,0,0,0,0
0.582376,0,0,0,0,0,0,0,0
0.583991,0,0,0,0,0,0,0,0
0.585564,0,0,0,0,0,0,0,0
0.587141,0,0,0,0,0,0,0,0
0.588806,0,0,0,0,0,0,0,0
0.590227,0,0,0,0,0,0,0,0
0.591640,0,0,0,0,0,0,0,0
0.593074,0,0,0,0,0,0,0,0
0.594640,0,0,0,0,0,0,0,0
0.596211,0,0,0,0,0,0,0,0
0.597720,0,0,0,0,0,0,0,0
0.599263,0,0,0,0,0,0,0,0
0.600879,0,0,0,0,0,0,0,0
0.602451,0,0,0,0,0,0,0,0
0.604021,0,0,0,0,0,0,0,0
0.605593,0,0,0,0,0,0,0,0
0.607165,0,0,0,0,0,0,0,0
0.608752,0,0,0,0,0,0,0,0
0.610324,0,0,0,0,0,0,0,0
