elapsed_s,RBBM_NEVER_COUNT,RBBM_US_ALWAYS_COUNT,RBBM_US_ALWAYS_ON,RBBM_US_STATUS_MASKED
0.886078,0,369241,3882,2262
0.887645,0,368796,3847,2262
0.889196,0,370196,3862,2263
0.890745,0,371954,3880,2262
0.892298,0,368590,3844,2258
0.893846,0,367599,3833,2252
0.895441,0,369275,3852,2388
0.897011,0,369557,3855,2262
0.898559,0,371576,3877,2259
0.900112,0,367575,3832,2253
0.901661,0,368139,3839,2257
0.903211,0,368632,3846,2260
0.904760,0,368067,3838,2264
0.906307,0,367972,3838,2261
0.907744,0,362647,3782,2262
0.909272,0,371554,3876,2260
0.910823,0,419831,4391,2264
0.912429,0,370459,3864,2252
0.913980,0,369868,3857,2257
0.915534,0,369813,3858,2260
0.917085,0,371223,3872,2335
0.918650,0,375456,3919,2253
0.920208,0,369567,3855,2259
0.921758,0,369107,3850,2393
0.923310,0,370051,3860,2264
0.924862,0,369686,3856,2253
0.926412,0,370181,3862,2258
0.928008,0,371213,3874,2256
0.929449,0,361342,3769,2383
0.930973,0,371163,3872,2369
0.932526,0,371040,3872,2487
0.934076,0,369709,3857,2371
0.935674,0,370143,3861,2381
0.937225,0,371721,3879,2376
0.938776,0,374454,3905,2378
0.940347,0,370612,3866,2370
0.941898,0,369375,3853,2371
0.943496,0,370737,3868,2375
0.945049,0,369487,3854,2378
0.946600,0,373606,3898,2368
0.948157,0,369128,3850,2372
0.949708,0,369244,3852,2372
0.951318,0,369851,3858,2371
0.952870,0,370129,3861,2372
0.954421,0,369348,3854,2374
0.955974,0,369958,3859,2373
0.958061,0,372544,3888,2373
0.959527,0,361290,3766,2367
0.960923,0,360207,3756,2374
0.962323,0,361571,3769,2367
0.963716,0,359809,3752,2531
0.965105,0,359545,3747,2373
0.966493,0,418473,4378,2380
0.968130,0,417729,4369,2371
0.969681,0,370297,3864,2377
0.971235,0,369756,3856,2421
0.972801,0,369176,3850,2368
0.974350,0,369933,3859,2374
0.975948,0,372282,3884,2379
0.977502,0,370291,3863,2376
0.979055,0,370819,3869,2371
0.980607,0,370225,3862,2372
0.982157,0,369234,3851,2370
0.983645,0,362057,3777,2529
0.985172,0,371038,3871,2509
0.986726,0,374913,3912,2536
0.988286,0,371744,3879,2540
0.989842,0,372710,3889,2541
0.991443,0,371764,3877,2540
0.992997,0,370322,3863,2536
0.994565,0,374817,3910,2578
0.996125,0,370781,3868,2528
0.997680,0,369597,3855,2564
0.999237,0,371390,3876,2594
1.000793,0,369443,3853,2536
1.002347,0,369840,3857,2536
1.003903,0,371384,3875,2636
1.005473,0,370765,3869,2529
1.007126,0,436298,4568,2555
1.008756,0,371275,3873,2528
1.010182,0,361196,3766,2797
1.011708,0,370699,3866,2525
1.013264,0,371966,3882,2532
1.014818,0,387923,4050,2682
1.016278,0,361853,3772,2533
1.017673,0,359983,3753,2528
1.019196,0,371307,3874,2529
1.020752,0,372030,3881,2533
1.022305,0,371132,3872,2534
1.023901,0,370920,3870,2604
1.025456,0,370709,3867,2570
1.027026,0,371412,3875,2524
1.028586,0,369148,3849,2375
1.030139,0,367377,3834,2538
1.031740,0,372385,3885,2537
1.033297,0,370871,3868,2695
1.034918,0,432318,4525,2660
1.036540,0,369312,3853,2529
1.037980,0,361255,3766,2585
1.039554,0,372864,3891,2592
1.041110,0,370388,3863,2584
1.042664,0,371566,3876,2577
1.044222,0,370268,3863,2577
1.045777,0,370028,3859,2728
1.047379,0,370815,3867,2587
1.048947,0,371724,3878,2586
1.050500,0,370230,3863,2591
1.052005,0,361192,3766,2584
1.053530,0,370852,3868,2675
1.055088,0,411631,4304,2589
1.056690,0,370634,3867,2588
1.058244,0,370441,3865,2659
1.059813,0,371382,3874,2585
1.061370,0,371261,3873,2584
1.062929,0,371412,3875,2588
1.064485,0,369360,3852,2586
1.066039,0,371028,3872,2581
1.067598,0,365020,3807,2587
1.069145,0,366714,3824,2579
1.070703,0,499723,5243,2587
1.072405,0,365217,3810,2580
1.073815,0,359058,3744,2585
1.075208,0,359448,3746,2709
1.076597,0,358450,3737,2623
1.077983,0,358444,3736,2671
1.079439,0,338538,3525,2589
1.080955,0,373072,3893,2579
1.082508,0,370964,3869,2588
1.084122,0,368711,3847,2585
1.085677,0,369911,3859,2607
1.087233,0,370124,3862,2594
1.088788,0,368852,3848,2598
1.090340,0,369019,3848,2770
1.091908,0,370098,3861,2592
1.093462,0,369463,3854,2586
1.095019,0,409923,4285,2589
1.096617,0,368955,3849,2587
1.098169,0,369476,3853,2592
1.099723,0,368824,3849,2578
1.101277,0,369755,3857,2582
1.102925,0,465778,4882,2585
1.104584,0,368789,3848,2675
1.106174,0,369149,3853,2593
1.107662,0,369592,3855,2577
1.109198,0,370526,3865,2585
1.110753,0,374494,3907,2586
1.112317,0,370061,3862,2581
1.113883,0,370589,3865,2591
