group,counter,n_runs,majority_label,majority_label_count,label_consistency,ratio_mean,ratio_std,ratio_cv,corr_mean,corr_std,total_all_mean,total_all_std,total_w128_mean,total_w128_std,total_w256_mean,total_w256_std,total_w512_mean,total_w512_std,total_w1024_mean,total_w1024_std,total_w2048_mean,total_w2048_std,stable_strong_scaling,near_16x_scaling
SP,SP_WAVE_END_CYCLES,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,10240.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,False,False
CP,CP_SQE_SYNC_STALL,2,flat_or_saturated,2,1.0,0.14318589195645748,0.06678334130222757,0.46641006589207995,-0.3431196390207494,0.06811401554695351,9860.5,1243.800828107137,7666.5,157.6848122046001,0.0,0.0,0.0,0.0,1091.0,551.5432893255071,1103.0,534.5727265770299,False,False
SP,SP_STALL_CYCLES_UCHE,2,active_mixed,2,1.0,,0.0,,0.8985430856524835,0.00046599206154093113,9147.0,6246.581305001961,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.656854249492381,9143.0,6252.238159251453,False,False
CP,CP_VBIF_READ_BEATS,2,flat_or_saturated,2,1.0,0.6544153980823222,0.0004558012701542818,0.0006965014446327931,-0.47923856556603567,0.024367434228953804,8935.0,76.36753236814714,2475.5,23.33452377915607,1624.5,68.58935777509511,1620.0,8.48528137423857,1595.0,21.213203435596427,1620.0,14.142135623730951,False,False
CP,CP_SQE_T4_EXEC,2,moderate_width_scaling,2,1.0,4.6847133757961785,2.207794548647424,0.471276334653495,0.8243334283288825,0.028564946798772074,8140.0,3466.237441376456,785.0,0.0,0.0,0.0,0.0,0.0,3677.5,1733.118720688228,3677.5,1733.118720688228,False,False
HLSQ,HLSQ_FS_S2W_CYCLES_SP,1,flat_or_saturated,1,1.0,1.0,0.0,,0.0,0.0,8040.0,0.0,1608.0,0.0,1608.0,0.0,1608.0,0.0,1608.0,0.0,1608.0,0.0,False,False
HLSQ,HLSQ_BV_DATA_WAIT_PROGRAMMING,1,active_mixed,1,1.0,1.8376623376623376,0.0,,0.47632414857658606,0.0,7626.0,0.0,924.0,0.0,1656.0,0.0,1740.0,0.0,1608.0,0.0,1698.0,0.0,False,False
CP,CP_CONTEXT_DONE,2,flat_or_saturated,2,1.0,0.0,0.0,,-0.6797320141696894,0.24538854593781775,6373.5,4384.769150137781,3467.5,685.1864709697645,825.0,1166.7261889578035,1296.5,1423.4059505285202,784.5,1109.450539681693,0.0,0.0,False,False
HLSQ,HLSQ_FS_S2W_CYCLES,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,5640.0,0.0,1128.0,0.0,1128.0,0.0,1128.0,0.0,1128.0,0.0,1128.0,0.0,False,False
HLSQ,HLSQ_L2STC_LATENCY_CYCLES,2,flat_or_saturated,2,1.0,0.9741722121721152,0.1996087337749614,0.2049008699703034,0.11853058493359561,0.8533229035569782,5617.0,585.4844148224613,1113.0,32.526911934581186,1042.0,151.32085117392117,1245.5,26.16295090390226,1129.0,121.62236636408618,1087.5,253.85133444597056,False,False
