run,group,chunk,csv_path,region_index,width,start_idx,end_idx_exclusive,start_s,end_s,samples
sweep_20260625_152944,HLSQ,15,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk015.csv,5,2048,586,607,0.861561,0.88909,21
sweep_20260625_152944,HLSQ,17,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk017.csv,1,128,57,78,0.085855,0.113543,21
sweep_20260625_152944,HLSQ,17,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk017.csv,2,256,185,206,0.271713,0.303313,21
sweep_20260625_152944,HLSQ,17,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk017.csv,3,512,323,345,0.475426,0.511071,22
sweep_20260625_152944,HLSQ,17,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk017.csv,4,1024,454,475,0.669862,0.698293,21
sweep_20260625_152944,HLSQ,17,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk017.csv,5,2048,585,606,0.861073,0.892198,21
sweep_20260625_152944,SP,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk001.csv,1,128,37,59,0.065075,0.097342,22
sweep_20260625_152944,SP,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk001.csv,2,256,167,188,0.263192,0.292722,21
sweep_20260625_152944,SP,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk001.csv,3,512,295,316,0.456384,0.486048,21
sweep_20260625_152944,SP,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk001.csv,4,1024,421,442,0.64903,0.678605,21
sweep_20260625_152944,SP,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk001.csv,5,2048,559,580,0.858605,0.887859,21
sweep_20260625_152944,SP,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk002.csv,1,128,48,69,0.084157,0.113538,21
sweep_20260625_152944,SP,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk002.csv,2,256,172,193,0.270403,0.303125,21
sweep_20260625_152944,SP,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk002.csv,3,512,304,326,0.475076,0.506927,22
sweep_20260625_152944,SP,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk002.csv,4,1024,432,453,0.670026,0.69952,21
sweep_20260625_152944,SP,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk002.csv,5,2048,559,581,0.862215,0.895205,22
sweep_20260625_152944,SP,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk003.csv,1,128,35,56,0.062284,0.09175,21
sweep_20260625_152944,SP,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk003.csv,2,256,166,187,0.261026,0.290528,21
sweep_20260625_152944,SP,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk003.csv,3,512,302,323,0.466004,0.495296,21
sweep_20260625_152944,SP,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk003.csv,4,1024,421,442,0.647143,0.677035,21
sweep_20260625_152944,SP,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk003.csv,5,2048,546,567,0.838754,0.868482,21
sweep_20260625_152944,SP,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk004.csv,1,128,39,60,0.068327,0.097897,21
sweep_20260625_152944,SP,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk004.csv,2,256,173,195,0.270603,0.301202,22
sweep_20260625_152944,SP,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk004.csv,3,512,309,330,0.4751,0.504016,21
sweep_20260625_152944,SP,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk004.csv,4,1024,437,458,0.669845,0.699314,21
sweep_20260625_152944,SP,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk004.csv,5,2048,574,596,0.878485,0.909034,22
sweep_20260625_152944,SP,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk005.csv,1,128,35,56,0.061293,0.090775,21
