run,group,chunk,csv_path,n_rows,n_counters,n_regions_detected,expected_regions,region_ok
sweep_20260625_174559,RBBM,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/02_RBBM/RBBM_chunk003.csv,2574,4,5,5,True
sweep_20260625_174559,RBBM,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/02_RBBM/RBBM_chunk004.csv,2563,4,0,5,False
sweep_20260625_174559,RBBM,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/02_RBBM/RBBM_chunk005.csv,2609,1,0,5,False
sweep_20260625_174559,HLSQ,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk001.csv,2547,6,5,5,True
sweep_20260625_174559,HLSQ,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk002.csv,2551,6,5,5,True
sweep_20260625_174559,HLSQ,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk003.csv,2551,6,0,5,False
sweep_20260625_174559,HLSQ,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk004.csv,2537,6,5,5,True
sweep_20260625_174559,HLSQ,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk005.csv,2533,6,5,5,True
sweep_20260625_174559,HLSQ,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk006.csv,2526,6,5,5,True
sweep_20260625_174559,HLSQ,7,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk007.csv,2545,6,5,5,True
sweep_20260625_174559,HLSQ,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk008.csv,2551,6,5,5,True
sweep_20260625_174559,HLSQ,9,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk009.csv,2545,6,0,5,False
sweep_20260625_174559,HLSQ,10,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk010.csv,2550,6,0,5,False
sweep_20260625_174559,HLSQ,11,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk011.csv,2543,6,5,5,True
sweep_20260625_174559,HLSQ,12,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk012.csv,2522,6,5,5,True
sweep_20260625_174559,HLSQ,13,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk013.csv,2542,6,5,5,True
sweep_20260625_174559,HLSQ,14,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk014.csv,2537,6,5,5,True
sweep_20260625_174559,HLSQ,15,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk015.csv,2541,6,5,5,True
sweep_20260625_174559,HLSQ,16,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk016.csv,2538,6,0,5,False
sweep_20260625_174559,HLSQ,17,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk017.csv,2529,6,5,5,True
sweep_20260625_174559,HLSQ,18,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk018.csv,2548,6,5,5,True
sweep_20260625_174559,HLSQ,19,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk019.csv,2531,6,0,5,False
sweep_20260625_174559,HLSQ,20,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk020.csv,2538,6,0,5,False
sweep_20260625_174559,HLSQ,21,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk021.csv,2550,6,0,5,False
sweep_20260625_174559,HLSQ,22,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk022.csv,2551,6,0,5,False
sweep_20260625_174559,HLSQ,23,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/05_HLSQ/HLSQ_chunk023.csv,2550,5,0,5,False
sweep_20260625_174559,UCHE,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/09_UCHE/UCHE_chunk001.csv,2388,24,5,5,True
sweep_20260625_174559,UCHE,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/09_UCHE/UCHE_chunk002.csv,2391,24,5,5,True
sweep_20260625_174559,UCHE,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_174559/09_UCHE/UCHE_chunk003.csv,2398,24,0,5,False
