elapsed_s,HLSQ_BV_INS_BUF_FULL_BLOCK_CPI,HLSQ_VS_DES_BUF_FULL_BLOCK_CPI,HLSQ_FS_DES_BUF_FULL_BLOCK_CPI,HLSQ_BV_DES_BUF_FULL_BLOCK_CPI,HLSQ_PRIMITIVE_COUNT,HLSQ_LPAC2BV_SWITCH_CNT
0.525288,0,0,0,0,0,0
0.526795,0,0,0,0,0,0
0.528305,0,0,0,0,0,0
0.529752,0,0,0,0,0,0
0.531166,0,0,0,0,0,0
0.532564,0,0,0,0,0,0
0.533964,0,0,0,0,0,0
0.535362,0,0,0,0,0,0
0.536760,0,0,0,0,0,0
0.538196,0,0,0,0,0,0
0.539792,0,0,0,0,0,0
0.541364,0,0,0,0,0,0
0.542929,0,0,0,0,0,0
0.544488,0,0,0,0,0,0
0.546050,0,0,0,0,0,0
0.547488,0,0,0,0,0,0
0.548892,0,0,0,0,0,0
0.550289,0,0,0,0,0,0
0.551825,0,0,0,0,0,0
0.553384,0,0,0,0,0,0
0.554947,0,0,0,0,0,0
0.556658,0,0,0,0,0,0
0.558102,0,0,0,0,0,0
0.559609,0,0,0,0,0,0
0.562928,0,0,0,0,0,0
0.564417,0,0,0,0,0,0
0.565820,0,0,0,0,0,0
0.567219,0,0,0,0,0,0
0.568617,0,0,0,0,0,0
0.570189,0,0,0,0,0,0
0.571752,0,0,0,0,0,0
0.573312,0,0,0,0,0,0
0.574765,0,0,0,0,0,0
0.576164,0,0,0,0,0,0
0.577612,0,0,0,0,0,0
0.579092,0,0,0,0,0,0
0.580488,0,0,0,0,0,0
0.581886,0,0,0,0,0,0
0.583281,0,0,0,0,0,0
0.584677,0,0,0,0,0,0
0.586124,0,0,0,0,0,0
0.587561,0,0,0,0,0,0
0.588955,0,0,0,0,0,0
0.590351,0,0,0,0,0,0
0.591747,0,0,0,0,0,0
0.593142,0,0,0,0,0,0
0.594666,0,0,0,0,0,0
0.596253,0,0,0,0,0,0
0.597820,0,0,0,0,0,0
0.599381,0,0,0,0,0,0
0.600940,0,0,0,0,0,0
0.602545,0,0,0,0,0,0
0.604106,0,0,0,0,0,0
0.605669,0,0,0,0,0,0
0.607120,0,0,0,0,0,0
0.608651,0,0,0,0,0,0
0.610214,0,0,0,0,0,0
0.611775,0,0,0,0,0,0
0.613334,0,0,0,0,0,0
0.614899,0,0,0,0,0,0
0.616458,0,0,0,0,0,0
0.618076,0,0,0,0,0,0
0.619637,0,0,0,0,0,0
0.621195,0,0,0,0,0,0
0.622627,0,0,0,0,0,0
0.624156,0,0,0,0,0,0
0.625618,0,0,0,0,0,0
0.627178,0,0,0,0,0,0
0.628748,0,0,0,0,0,0
