elapsed_s,HLSQ_BV_SP_HCTX_ACTIVE_CNT,HLSQ_VS_SP_HCTX_ACTIVE_CYC,HLSQ_FS_SP_HCTX_ACTIVE_CYC,HLSQ_BV_SP_HCTX_ACTIVE_CYC,HLSQ_VS_SP_CCTX_ACTIVE_CNT,HLSQ_FS_SP_CCTX_ACTIVE_CNT
0.462004,0,0,0,0,0,0
0.463530,0,0,0,0,0,0
0.465089,0,0,0,0,0,0
0.466660,0,0,0,0,0,0
0.468219,0,0,0,0,0,0
0.469779,0,0,0,0,0,0
0.471340,0,0,0,0,0,0
0.472900,0,0,0,0,0,0
0.474458,0,0,0,0,0,0
0.476061,0,0,0,0,0,0
0.477756,0,0,0,0,0,0
0.479204,0,0,0,0,0,0
0.480617,0,0,0,0,0,0
0.482017,0,0,0,0,0,0
0.483419,0,0,0,0,0,0
0.484817,0,0,0,0,0,0
0.486214,0,0,0,0,0,0
0.487753,0,0,0,0,0,0
0.489312,0,0,0,0,0,0
0.490869,0,0,0,0,0,0
0.492434,0,0,0,0,0,0
0.493993,0,0,0,0,0,0
0.495555,0,0,0,0,0,0
0.497116,0,0,0,0,0,0
0.498688,0,0,0,0,0,0
0.500249,0,0,0,0,0,0
0.501810,0,0,0,0,0,0
0.503372,0,0,0,0,0,0
0.504933,0,0,0,0,0,0
0.506492,0,0,0,0,0,0
0.511291,0,0,0,0,0,0
0.515103,0,0,0,0,0,0
0.516534,0,0,0,0,0,0
0.517930,0,0,0,0,0,0
0.519326,0,0,0,0,0,0
0.520707,0,0,0,0,0,0
0.522201,0,0,0,0,0,0
0.523607,0,0,0,0,0,0
0.525037,0,0,0,0,0,0
0.526434,0,0,0,0,0,0
0.527928,0,0,0,0,0,0
0.529339,0,0,0,0,0,0
0.530711,0,0,0,0,0,0
0.532069,0,0,0,0,0,0
0.533421,0,0,0,0,0,0
0.534794,0,0,0,0,0,0
0.536147,0,0,0,0,0,0
0.537498,0,0,0,0,0,0
0.538847,0,0,0,0,0,0
0.540394,0,0,0,0,0,0
0.541842,0,0,0,0,0,0
0.543372,0,0,0,0,0,0
0.544932,0,0,0,0,0,0
0.546406,0,0,0,0,0,0
0.547812,0,0,0,0,0,0
0.549212,0,0,0,0,0,0
0.550608,0,0,0,0,0,0
0.552006,0,0,0,0,0,0
0.553402,0,0,0,0,0,0
0.554796,0,0,0,0,0,0
0.556364,0,0,0,0,0,0
0.557822,0,0,0,0,0,0
0.559450,0,0,0,0,0,0
0.560839,0,0,0,0,0,0
0.562251,0,0,0,0,0,0
0.563654,0,0,0,0,0,0
0.565053,0,0,0,0,0,0
0.566449,0,0,0,0,0,0
0.567859,0,0,0,0,0,0
0.569255,0,0,0,0,0,0
0.570780,0,0,0,0,0,0
0.572405,0,0,0,0,0,0
0.573965,0,0,0,0,0,0
0.575525,0,0,0,0,0,0
0.577085,0,0,0,0,0,0
0.578657,0,0,0,0,0,0
0.580217,0,0,0,0,0,0
0.581777,0,0,0,0,0,0
0.583338,0,0,0,0,0,0
0.584788,0,0,0,0,0,0
0.586316,0,0,0,0,0,0
0.587789,0,0,0,0,0,0
0.589330,0,0,0,0,0,0
0.590888,0,0,0,0,0,0
0.592488,0,0,0,0,0,0
0.594046,0,0,0,0,0,0
0.595607,0,0,0,0,0,0
0.597166,0,0,0,0,0,0
0.598723,0,0,0,0,0,0
0.600167,0,0,0,0,0,0
0.601695,0,0,0,0,0,0
0.603350,0,0,0,0,0,0
0.604832,0,0,0,0,0,0
0.606244,0,0,0,0,0,0
0.607775,0,0,0,0,0,0
0.609336,0,0,0,0,0,0
0.610910,0,0,0,0,0,0
0.612475,0,0,0,0,0,0
0.614033,0,0,0,0,0,0
0.615596,0,0,0,0,0,0
0.617149,0,0,0,0,0,0
0.618700,0,0,0,0,0,0
0.620129,0,0,0,0,0,0
0.621705,0,0,0,0,0,0
0.623267,0,0,0,0,0,0
0.624829,0,0,0,0,0,0
0.626388,0,0,0,0,0,0
0.627950,0,0,0,0,0,0
0.629512,0,0,0,0,0,0
0.631071,0,0,0,0,0,0
0.632649,0,0,0,0,0,0
0.634209,0,0,0,0,0,0
0.635814,0,0,0,0,0,0
0.637376,0,0,0,0,0,0
0.638936,0,0,0,0,0,0
0.640497,0,0,0,0,0,0
0.642048,0,0,0,0,0,0
0.643527,0,0,0,0,0,0
0.645060,0,0,0,0,0,0
0.646620,0,0,0,0,0,0
