elapsed_s,HLSQ_BV_STALL_CYCLES,HLSQ_VSBR_DEREF_CYCLES,HLSQ_FS_DEREF_CYCLES,HLSQ_LPAC_DEREF_CYCLES,HLSQ_BV_DEREF_CYCLES,HLSQ_VSBR_S2W_CYCLES
0.418000,0,0,0,0,0,0
0.419434,0,0,0,0,0,0
0.420965,0,0,0,0,0,0
0.422537,0,0,0,0,0,0
0.424101,0,0,0,0,0,0
0.425661,0,0,0,0,0,0
0.427266,0,0,0,0,0,0
0.428828,0,0,0,0,0,0
0.430393,0,0,0,0,0,0
0.431956,0,0,0,0,0,0
0.433531,0,0,0,0,0,0
0.435095,0,0,0,0,0,0
0.436657,0,0,0,0,0,0
0.438218,0,0,0,0,0,0
0.439785,0,0,0,0,0,0
0.441345,0,0,0,0,0,0
0.442952,0,0,0,0,0,0
0.444529,0,0,0,0,0,0
0.446090,0,0,0,0,0,0
0.447655,0,0,0,0,0,0
0.449212,0,0,0,0,0,0
0.450773,0,0,0,0,0,0
0.452334,0,0,0,0,0,0
0.453892,0,0,0,0,0,0
0.455465,0,0,0,0,0,0
0.457025,0,0,0,0,0,0
0.458587,0,0,0,0,0,0
0.460148,0,0,0,0,0,0
0.461707,0,0,0,0,0,0
0.463266,0,0,0,0,0,0
0.464826,0,0,0,0,0,0
0.466400,0,0,0,0,0,0
0.467962,0,0,0,0,0,0
0.469521,0,0,0,0,0,0
0.471082,0,0,0,0,0,0
0.472642,0,0,0,0,0,0
0.474201,0,0,0,0,0,0
0.475709,0,0,0,0,0,0
0.477120,0,0,0,0,0,0
0.478648,0,0,0,0,0,0
0.480208,0,0,0,0,0,0
0.481766,0,0,0,0,0,0
0.483326,0,0,0,0,0,0
0.484886,0,0,0,0,0,0
0.486448,0,0,0,0,0,0
0.488021,0,0,0,0,0,0
0.489579,0,0,0,0,0,0
0.491184,0,0,0,0,0,0
0.492745,0,0,0,0,0,0
0.494303,0,0,0,0,0,0
0.495868,0,0,0,0,0,0
0.497426,0,0,0,0,0,0
0.499001,0,0,0,0,0,0
0.500562,0,0,0,0,0,0
0.502120,0,0,0,0,0,0
0.503683,0,0,0,0,0,0
0.505241,0,0,0,0,0,0
0.506846,0,0,0,0,0,0
0.508406,0,0,0,0,0,0
0.509977,0,0,0,0,0,0
0.511538,0,0,0,0,0,0
0.513098,0,0,0,0,0,0
0.514660,0,0,0,0,0,0
0.516220,0,0,0,0,0,0
0.517778,0,0,0,0,0,0
0.519338,0,0,0,0,0,0
0.520911,0,0,0,0,0,0
0.522485,0,0,0,0,0,0
0.523988,0,0,0,0,0,0
0.525398,0,0,0,0,0,0
0.526926,0,0,0,0,0,0
0.528487,0,0,0,0,0,0
0.530044,0,0,0,0,0,0
0.531556,0,0,0,0,0,0
0.534188,0,0,0,0,0,0
0.535600,0,0,0,0,0,0
0.536998,0,0,0,0,0,0
0.538398,0,0,0,0,0,0
0.539837,0,0,0,0,0,0
0.541233,0,0,0,0,0,0
0.542770,0,0,0,0,0,0
0.544331,0,0,0,0,0,0
0.545890,0,0,0,0,0,0
0.547450,0,0,0,0,0,0
0.549011,0,0,0,0,0,0
0.550572,0,0,0,0,0,0
0.552184,0,0,0,0,0,0
0.553679,0,0,0,0,0,0
0.555133,0,0,0,0,0,0
0.556662,0,0,0,0,0,0
0.558222,0,0,0,0,0,0
0.559788,0,0,0,0,0,0
0.561348,0,0,0,0,0,0
0.562911,0,0,0,0,0,0
0.564486,0,0,0,0,0,0
0.566046,0,0,0,0,0,0
0.567709,0,0,0,0,0,0
0.569268,0,0,0,0,0,0
0.570874,0,0,0,0,0,0
0.572435,0,0,0,0,0,0
0.573993,0,0,0,0,0,0
0.575443,0,0,0,0,0,0
0.576975,0,0,0,0,0,0
0.578537,0,0,0,0,0,0
0.580096,0,0,0,0,0,0
0.581656,0,0,0,0,0,0
0.583218,0,0,0,0,0,0
0.584779,0,0,0,0,0,0
