elapsed_s,TP_PACKED_POINT_SINGLE_VALID_FP32,TP_TOTAL_DECOMP_L1_RESP_CH0,TP_TOTAL_DECOMP_L1_RESP_CH1,TP_L1POINT5_PRE_L1_DECOMP_0_WORKLOAD_R,TP_L1POINT5_PRE_L1_DECOMP_1_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_0_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_1_WORKLOAD_R,TP_PARTIAL_SURFACE_PGMEM_PIXELS,TP_PARTIAL_SURFACE_SYSMEM_PIXELS,TP_PARTIAL_SURFACE_PGMEM_MISS_REQ,TP_PARTIAL_SURFACE_SYSMEM_MISS_REQ
0.180698,0,0,0,0,0,0,0,0,0,0,0
0.182122,0,0,0,0,0,0,0,0,0,0,0
0.183673,0,0,0,0,0,0,0,0,0,0,0
0.185278,0,0,0,0,0,0,0,0,0,0,0
0.186866,0,0,0,0,0,0,0,0,0,0,0
0.188452,0,0,0,0,0,0,0,0,0,0,0
0.190041,0,0,0,0,0,0,0,0,0,0,0
0.191627,0,0,0,0,0,0,0,0,0,0,0
0.193214,0,0,0,0,0,0,0,0,0,0,0
0.194890,0,0,0,0,0,0,0,0,0,0,0
0.196389,0,0,0,0,0,0,0,0,0,0,0
0.197979,0,0,0,0,0,0,0,0,0,0,0
0.199568,0,0,0,0,0,0,0,0,0,0,0
0.201156,0,0,0,0,0,0,0,0,0,0,0
0.202749,0,0,0,0,0,0,0,0,0,0,0
0.204337,0,0,0,0,0,0,0,0,0,0,0
0.205927,0,0,0,0,0,0,0,0,0,0,0
0.207528,0,0,0,0,0,0,0,0,0,0,0
0.209115,0,0,0,0,0,0,0,0,0,0,0
0.210686,0,0,0,0,0,0,0,0,0,0,0
0.212118,0,0,0,0,0,0,0,0,0,0,0
0.213545,0,0,0,0,0,0,0,0,0,0,0
0.214970,0,0,0,0,0,0,0,0,0,0,0
0.216394,0,0,0,0,0,0,0,0,0,0,0
0.217832,0,0,0,0,0,0,0,0,0,0,0
0.219384,0,0,0,0,0,0,0,0,0,0,0
0.220971,0,0,0,0,0,0,0,0,0,0,0
0.222564,0,0,0,0,0,0,0,0,0,0,0
0.224151,0,0,0,0,0,0,0,0,0,0,0
0.225784,0,0,0,0,0,0,0,0,0,0,0
0.227374,0,0,0,0,0,0,0,0,0,0,0
0.228975,0,0,0,0,0,0,0,0,0,0,0
0.230569,0,0,0,0,0,0,0,0,0,0,0
0.232155,0,0,0,0,0,0,0,0,0,0,0
0.233746,0,0,0,0,0,0,0,0,0,0,0
0.235334,0,0,0,0,0,0,0,0,0,0,0
0.236921,0,0,0,0,0,0,0,0,0,0,0
0.238617,0,0,0,0,0,0,0,0,0,0,0
0.240208,0,0,0,0,0,0,0,0,0,0,0
0.241707,0,0,0,0,0,0,0,0,0,0,0
0.243266,0,0,0,0,0,0,0,0,0,0,0
0.244853,0,0,0,0,0,0,0,0,0,0,0
0.246491,0,0,0,0,0,0,0,0,0,0,0
0.248079,0,0,0,0,0,0,0,0,0,0,0
0.249668,0,0,0,0,0,0,0,0,0,0,0
0.251270,0,0,0,0,0,0,0,0,0,0,0
0.252857,0,0,0,0,0,0,0,0,0,0,0
0.254392,0,0,0,0,0,0,0,0,0,0,0
0.255950,0,0,0,0,0,0,0,0,0,0,0
0.257540,0,0,0,0,0,0,0,0,0,0,0
0.259174,0,0,0,0,0,0,0,0,0,0,0
0.260760,0,0,0,0,0,0,0,0,0,0,0
0.262362,0,0,0,0,0,0,0,0,0,0,0
0.263952,0,0,0,0,0,0,0,0,0,0,0
0.265542,0,0,0,0,0,0,0,0,0,0,0
0.267131,0,0,0,0,0,0,0,0,0,0,0
0.268717,0,0,0,0,0,0,0,0,0,0,0
0.270307,0,0,0,0,0,0,0,0,0,0,0
0.271895,0,0,0,0,0,0,0,0,0,0,0
0.273498,0,0,0,0,0,0,0,0,0,0,0
0.275132,0,0,0,0,0,0,0,0,0,0,0
0.276719,0,0,0,0,0,0,0,0,0,0,0
0.278307,0,0,0,0,0,0,0,0,0,0,0
0.279896,0,0,0,0,0,0,0,0,0,0,0
0.281486,0,0,0,0,0,0,0,0,0,0,0
0.283073,0,0,0,0,0,0,0,0,0,0,0
0.284672,0,0,0,0,0,0,0,0,0,0,0
0.286260,0,0,0,0,0,0,0,0,0,0,0
0.287846,0,0,0,0,0,0,0,0,0,0,0
0.289432,0,0,0,0,0,0,0,0,0,0,0
0.291063,0,0,0,0,0,0,0,0,0,0,0
0.292647,0,0,0,0,0,0,0,0,0,0,0
0.294963,0,0,0,0,0,0,0,0,0,0,0
0.296416,0,0,0,0,0,0,0,0,0,0,0
0.297845,0,0,0,0,0,0,0,0,0,0,0
