elapsed_s,TP_QUADS_CONSTANT_MULTIPLIED,TP_FRONTEND_WORKING_CYCLES,TP_L1_TAG_WORKING_CYCLES,TP_L1_DATA_WRITE_WORKING_CYCLES,TP_PRE_L1_DECOM_WORKING_CYCLES,TP_BACKEND_WORKING_CYCLES,TP_L1_5_CACHE_WORKING_CYCLES,TP_STARVE_CYCLES_SP,TP_STARVE_CYCLES_UCHE,TP_STALL_CYCLES_UFC,TP_FORMAT_DECOMP_POINT,TP_FILTER_POINT_FP16
0.315040,0,0,0,0,0,0,0,0,0,0,0,0
0.316485,0,0,0,0,0,0,0,0,0,0,0,0
0.317921,0,0,0,0,0,0,0,0,0,0,0,0
0.319353,0,0,0,0,0,0,0,0,0,0,0,0
0.320786,0,0,0,0,0,0,0,0,0,0,0,0
0.322269,0,0,0,0,0,0,0,0,0,0,0,0
0.323700,0,0,0,0,0,0,0,0,0,0,0,0
0.325259,0,0,0,0,0,0,0,0,0,0,0,0
0.326734,0,0,0,0,0,0,0,0,0,0,0,0
0.328302,0,0,0,0,0,0,0,0,0,0,0,0
0.329859,0,0,0,0,0,0,0,0,0,0,0,0
0.331423,0,0,0,0,0,0,0,0,0,0,0,0
0.333031,0,0,0,0,0,0,0,0,0,0,0,0
0.334626,0,0,0,0,0,0,0,0,0,0,0,0
0.336220,0,0,0,0,0,0,0,0,0,0,0,0
0.337815,0,0,0,0,0,0,0,0,0,0,0,0
0.339409,0,0,0,0,0,0,0,0,0,0,0,0
0.341005,0,0,0,0,0,0,0,0,0,0,0,0
0.342590,0,0,0,0,0,0,0,0,0,0,0,0
0.344187,0,0,0,0,0,0,0,0,0,0,0,0
0.345650,0,0,0,0,0,0,0,0,0,0,0,0
0.347214,0,0,0,0,0,0,0,0,0,0,0,0
0.348810,0,0,0,0,0,0,0,0,0,0,0,0
0.350405,0,0,0,0,0,0,0,0,0,0,0,0
0.351998,0,0,0,0,0,0,0,0,0,0,0,0
0.353636,0,0,0,0,0,0,0,0,0,0,0,0
0.355244,0,0,0,0,0,0,0,0,0,0,0,0
0.356841,0,0,0,0,0,0,0,0,0,0,0,0
0.358435,0,0,0,0,0,0,0,0,0,0,0,0
0.360028,0,0,0,0,0,0,0,0,0,0,0,0
0.361662,0,0,0,0,0,0,0,0,0,0,0,0
0.363257,0,0,0,0,0,0,0,0,0,0,0,0
0.364854,0,0,0,0,0,0,0,0,0,0,0,0
0.366462,0,0,0,0,0,0,0,0,0,0,0,0
0.368056,0,0,0,0,0,0,0,0,0,0,0,0
0.369694,0,0,0,0,0,0,0,0,0,0,0,0
0.371291,0,0,0,0,0,0,0,0,0,0,0,0
0.372887,0,0,0,0,0,0,0,0,0,0,0,0
0.374481,0,0,0,0,0,0,0,0,0,0,0,0
0.376074,0,0,0,0,0,0,0,0,0,0,0,0
