elapsed_s,RB_VRS_4X2_QUADS,RB_VRS_4X4_QUADS,RB_STALL_CYCLES_HLSQ_INFO,RB_HLSQ_ACTIVE_INFO,RB_STALL_CYCLES_HLSQ_ATTR,RB_HLSQ_ACTIVE_ATTR,RB_STALL_CYCLES_ZMODE_SWITCH,RB_TOTAL_PASS_PIXELS
0.285189,0,0,0,0,0,0,0,0
0.286596,0,0,0,0,0,0,0,0
0.288004,0,0,0,0,0,0,0,0
0.289447,0,0,0,0,0,0,0,0
0.290854,0,0,0,0,0,0,0,0
0.292261,0,0,0,0,0,0,0,0
0.293683,0,0,0,0,0,0,0,0
0.295089,0,0,0,0,0,0,0,0
0.296497,0,0,0,0,0,0,0,0
0.297929,0,0,0,0,0,0,0,0
0.299493,0,0,0,0,0,0,0,0
0.301132,0,0,0,0,0,0,0,0
0.302596,0,0,0,0,0,0,0,0
0.304035,0,0,0,0,0,0,0,0
0.305620,0,0,0,0,0,0,0,0
0.307188,0,0,0,0,0,0,0,0
0.308758,0,0,0,0,0,0,0,0
0.310331,0,0,0,0,0,0,0,0
0.311902,0,0,0,0,0,0,0,0
0.313472,0,0,0,0,0,0,0,0
0.315056,0,0,0,0,0,0,0,0
0.316628,0,0,0,0,0,0,0,0
0.318198,0,0,0,0,0,0,0,0
0.319766,0,0,0,0,0,0,0,0
0.321452,0,0,0,0,0,0,0,0
0.322865,0,0,0,0,0,0,0,0
0.324404,0,0,0,0,0,0,0,0
0.325987,0,0,0,0,0,0,0,0
0.327555,0,0,0,0,0,0,0,0
0.329128,0,0,0,0,0,0,0,0
