elapsed_s,RB_EARLY_Z_ARB3_GRANT,RB_LATE_Z_ARB3_GRANT,RB_EARLY_Z_SKIP_GRANT,RB_VRS_1X1_QUADS,RB_VRS_2X1_QUADS,RB_VRS_1X2_QUADS,RB_VRS_2X2_QUADS,RB_VRS_2X4_QUADS
0.547999,0,0,0,0,0,0,0,0
0.549573,0,0,0,0,0,0,0,0
0.551147,0,0,0,0,0,0,0,0
0.552777,0,0,0,0,0,0,0,0
0.554352,0,0,0,0,0,0,0,0
0.555928,0,0,0,0,0,0,0,0
0.557503,0,0,0,0,0,0,0,0
0.559075,0,0,0,0,0,0,0,0
0.560650,0,0,0,0,0,0,0,0
0.562225,0,0,0,0,0,0,0,0
0.563814,0,0,0,0,0,0,0,0
0.565389,0,0,0,0,0,0,0,0
0.566962,0,0,0,0,0,0,0,0
0.568581,0,0,0,0,0,0,0,0
0.570156,0,0,0,0,0,0,0,0
0.571728,0,0,0,0,0,0,0,0
0.573245,0,0,0,0,0,0,0,0
0.574665,0,0,0,0,0,0,0,0
0.576208,0,0,0,0,0,0,0,0
0.577784,0,0,0,0,0,0,0,0
0.579357,0,0,0,0,0,0,0,0
0.580933,0,0,0,0,0,0,0,0
0.582508,0,0,0,0,0,0,0,0
0.584084,0,0,0,0,0,0,0,0
0.585716,0,0,0,0,0,0,0,0
0.587511,0,0,0,0,0,0,0,0
0.589089,0,0,0,0,0,0,0,0
0.590538,0,0,0,0,0,0,0,0
0.592089,0,0,0,0,0,0,0,0
0.593665,0,0,0,0,0,0,0,0
0.595239,0,0,0,0,0,0,0,0
0.596826,0,0,0,0,0,0,0,0
0.598403,0,0,0,0,0,0,0,0
0.599980,0,0,0,0,0,0,0,0
0.601598,0,0,0,0,0,0,0,0
0.603172,0,0,0,0,0,0,0,0
0.604747,0,0,0,0,0,0,0,0
0.606323,0,0,0,0,0,0,0,0
0.607914,0,0,0,0,0,0,0,0
0.609492,0,0,0,0,0,0,0,0
0.611065,0,0,0,0,0,0,0,0
0.612641,0,0,0,0,0,0,0,0
0.614217,0,0,0,0,0,0,0,0
0.615873,0,0,0,0,0,0,0,0
0.617294,0,0,0,0,0,0,0,0
0.618717,0,0,0,0,0,0,0,0
0.620260,0,0,0,0,0,0,0,0
0.621826,0,0,0,0,0,0,0,0
0.623391,0,0,0,0,0,0,0,0
0.624964,0,0,0,0,0,0,0,0
0.626541,0,0,0,0,0,0,0,0
0.628118,0,0,0,0,0,0,0,0
0.629708,0,0,0,0,0,0,0,0
0.631282,0,0,0,0,0,0,0,0
0.632903,0,0,0,0,0,0,0,0
0.634480,0,0,0,0,0,0,0,0
0.636058,0,0,0,0,0,0,0,0
0.637635,0,0,0,0,0,0,0,0
0.639210,0,0,0,0,0,0,0,0
0.640801,0,0,0,0,0,0,0,0
0.642378,0,0,0,0,0,0,0,0
0.643955,0,0,0,0,0,0,0,0
0.645532,0,0,0,0,0,0,0,0
0.647107,0,0,0,0,0,0,0,0
0.648727,0,0,0,0,0,0,0,0
0.650305,0,0,0,0,0,0,0,0
0.651897,0,0,0,0,0,0,0,0
0.653473,0,0,0,0,0,0,0,0
0.655049,0,0,0,0,0,0,0,0
0.656626,0,0,0,0,0,0,0,0
0.658203,0,0,0,0,0,0,0,0
0.659865,0,0,0,0,0,0,0,0
0.661506,0,0,0,0,0,0,0,0
0.663093,0,0,0,0,0,0,0,0
0.664713,0,0,0,0,0,0,0,0
0.666288,0,0,0,0,0,0,0,0
0.667865,0,0,0,0,0,0,0,0
0.669443,0,0,0,0,0,0,0,0
0.671018,0,0,0,0,0,0,0,0
0.672596,0,0,0,0,0,0,0,0
0.674187,0,0,0,0,0,0,0,0
0.675763,0,0,0,0,0,0,0,0
0.677289,0,0,0,0,0,0,0,0
0.678833,0,0,0,0,0,0,0,0
0.680453,0,0,0,0,0,0,0,0
0.682031,0,0,0,0,0,0,0,0
0.683606,0,0,0,0,0,0,0,0
0.685197,0,0,0,0,0,0,0,0
0.686772,0,0,0,0,0,0,0,0
0.688351,0,0,0,0,0,0,0,0
0.689928,0,0,0,0,0,0,0,0
0.691502,0,0,0,0,0,0,0,0
0.693082,0,0,0,0,0,0,0,0
0.694657,0,0,0,0,0,0,0,0
0.696291,0,0,0,0,0,0,0,0
0.697868,0,0,0,0,0,0,0,0
0.699444,0,0,0,0,0,0,0,0
0.701095,0,0,0,0,0,0,0,0
0.702669,0,0,0,0,0,0,0,0
0.704248,0,0,0,0,0,0,0,0
0.705825,0,0,0,0,0,0,0,0
