elapsed_s,RB_STALL_CYCLES_CCU_COLOR_READ,RB_STALL_CYCLES_CCU_COLOR_WRITE,RB_STALL_CYCLES_CCU_DEPTH_READ,RB_STALL_CYCLES_CCU_DEPTH_WRITE,RB_STALL_CYCLES_VPC_BE,RB_BLENDED_FP32_COMPONENTS,RB_COLOR_PIX_TILES,RB_STALL_CYCLES_CCU
0.714318,0,0,0,0,0,0,0,0
0.715890,0,0,0,0,0,0,0,0
0.717461,0,0,0,0,0,0,0,0
0.719099,0,0,0,0,0,0,0,0
0.720670,0,0,0,0,0,0,0,0
0.722244,0,0,0,0,0,0,0,0
0.723817,0,0,0,0,0,0,0,0
0.725388,0,0,0,0,0,0,0,0
0.726959,0,0,0,0,0,0,0,0
0.728531,0,0,0,0,0,0,0,0
0.730118,0,0,0,0,0,0,0,0
0.731692,0,0,0,0,0,0,0,0
0.733262,0,0,0,0,0,0,0,0
0.734878,0,0,0,0,0,0,0,0
0.736451,0,0,0,0,0,0,0,0
0.738024,0,0,0,0,0,0,0,0
0.739597,0,0,0,0,0,0,0,0
0.741181,0,0,0,0,0,0,0,0
0.742753,0,0,0,0,0,0,0,0
0.744325,0,0,0,0,0,0,0,0
0.745900,0,0,0,0,0,0,0,0
0.747473,0,0,0,0,0,0,0,0
0.749045,0,0,0,0,0,0,0,0
0.750663,0,0,0,0,0,0,0,0
0.752249,0,0,0,0,0,0,0,0
0.753904,0,0,0,0,0,0,0,0
0.755411,0,0,0,0,0,0,0,0
0.756819,0,0,0,0,0,0,0,0
0.758267,0,0,0,0,0,0,0,0
0.759809,0,0,0,0,0,0,0,0
0.761380,0,0,0,0,0,0,0,0
0.762964,0,0,0,0,0,0,0,0
0.764536,0,0,0,0,0,0,0,0
0.766111,0,0,0,0,0,0,0,0
0.767730,0,0,0,0,0,0,0,0
0.769300,0,0,0,0,0,0,0,0
0.770873,0,0,0,0,0,0,0,0
0.772446,0,0,0,0,0,0,0,0
0.774034,0,0,0,0,0,0,0,0
0.775606,0,0,0,0,0,0,0,0
0.777177,0,0,0,0,0,0,0,0
0.778750,0,0,0,0,0,0,0,0
0.780323,0,0,0,0,0,0,0,0
0.781896,0,0,0,0,0,0,0,0
0.783468,0,0,0,0,0,0,0,0
0.785053,0,0,0,0,0,0,0,0
0.786626,0,0,0,0,0,0,0,0
0.788197,0,0,0,0,0,0,0,0
0.789767,0,0,0,0,0,0,0,0
0.791384,0,0,0,0,0,0,0,0
0.792955,0,0,0,0,0,0,0,0
0.794530,0,0,0,0,0,0,0,0
0.796114,0,0,0,0,0,0,0,0
0.797687,0,0,0,0,0,0,0,0
0.799267,0,0,0,0,0,0,0,0
0.800838,0,0,0,0,0,0,0,0
0.802412,0,0,0,0,0,0,0,0
0.803985,0,0,0,0,0,0,0,0
0.805556,0,0,0,0,0,0,0,0
0.807023,0,0,0,0,0,0,0,0
0.808567,0,0,0,0,0,0,0,0
0.810142,0,0,0,0,0,0,0,0
0.811715,0,0,0,0,0,0,0,0
0.813287,0,0,0,0,0,0,0,0
0.814903,0,0,0,0,0,0,0,0
0.816476,0,0,0,0,0,0,0,0
0.818071,0,0,0,0,0,0,0,0
0.819636,0,0,0,0,0,0,0,0
0.821199,0,0,0,0,0,0,0,0
0.822641,0,0,0,0,0,0,0,0
0.824200,0,0,0,0,0,0,0,0
0.825760,0,0,0,0,0,0,0,0
0.827173,0,0,0,0,0,0,0,0
0.828686,0,0,0,0,0,0,0,0
0.830310,0,0,0,0,0,0,0,0
0.832582,0,0,0,0,0,0,0,0
0.833993,0,0,0,0,0,0,0,0
0.835529,0,0,0,0,0,0,0,0
0.837101,0,0,0,0,0,0,0,0
0.838672,0,0,0,0,0,0,0,0
0.840141,0,0,0,0,0,0,0,0
0.841688,0,0,0,0,0,0,0,0
0.843265,0,0,0,0,0,0,0,0
0.844835,0,0,0,0,0,0,0,0
0.846453,0,0,0,0,0,0,0,0
0.848026,0,0,0,0,0,0,0,0
0.849598,0,0,0,0,0,0,0,0
0.851185,0,0,0,0,0,0,0,0
0.852756,0,0,0,0,0,0,0,0
0.854330,0,0,0,0,0,0,0,0
0.855902,0,0,0,0,0,0,0,0
0.857474,0,0,0,0,0,0,0,0
0.859109,0,0,0,0,0,0,0,0
0.860790,0,0,0,0,0,0,0,0
0.862297,0,0,0,0,0,0,0,0
0.864219,0,0,0,0,0,0,0,0
0.865632,0,0,0,0,0,0,0,0
0.867044,0,0,0,0,0,0,0,0
0.868453,0,0,0,0,0,0,0,0
0.869862,0,0,0,0,0,0,0,0
0.871400,0,0,0,0,0,0,0,0
0.872984,0,0,0,0,0,0,0,0
0.874558,0,0,0,0,0,0,0,0
0.876131,0,0,0,0,0,0,0,0
0.877702,0,0,0,0,0,0,0,0
0.879280,0,0,0,0,0,0,0,0
0.880851,0,0,0,0,0,0,0,0
0.882426,0,0,0,0,0,0,0,0
0.883887,0,0,0,0,0,0,0,0
0.885432,0,0,0,0,0,0,0,0
0.886878,0,0,0,0,0,0,0,0
0.888425,0,0,0,0,0,0,0,0
