elapsed_s,TSE_EDGE_SETUP_IMUL_WORKING_CYCLE_L2,TSE_RAS_INTF_WORKING_CYCLE_L1,TSE_LRZ_Z_INTF_WORKING_CYCLE_L1,TSE_LRZ_BARY_INTF_WORKING_CYCLE_L1
1.231177,0,0,0,0
1.232634,0,0,0,0
1.234116,0,0,0,0
1.235560,0,0,0,0
1.237026,0,0,0,0
1.238546,0,0,0,0
1.239995,0,0,0,0
1.241515,0,0,0,0
1.243074,0,0,0,0
1.244578,0,0,0,0
1.246136,0,0,0,0
1.247639,0,0,0,0
1.249154,0,0,0,0
1.250837,0,0,0,0
1.252527,0,0,0,0
1.254360,0,0,0,0
1.256149,0,0,0,0
1.257860,0,0,0,0
1.259490,0,0,0,0
1.261116,0,0,0,0
1.263187,0,0,0,0
1.264735,0,0,0,0
1.266351,0,0,0,0
1.268089,0,0,0,0
1.269617,0,0,0,0
1.271277,0,0,0,0
1.272847,0,0,0,0
1.274443,0,0,0,0
1.276107,0,0,0,0
1.277632,0,0,0,0
1.279162,0,0,0,0
1.280696,0,0,0,0
1.282529,0,0,0,0
1.284329,0,0,0,0
1.286116,0,0,0,0
1.287906,0,0,0,0
1.289698,0,0,0,0
1.291574,0,0,0,0
1.293183,0,0,0,0
1.294738,0,0,0,0
1.296489,0,0,0,0
1.298358,0,0,0,0
1.300093,0,0,0,0
1.301841,0,0,0,0
1.303654,0,0,0,0
1.305431,0,0,0,0
1.307017,0,0,0,0
1.308749,0,0,0,0
1.310334,0,0,0,0
1.312262,0,0,0,0
1.314076,0,0,0,0
1.315621,0,0,0,0
1.317156,0,0,0,0
1.318690,0,0,0,0
1.320208,0,0,0,0
1.321740,0,0,0,0
1.323550,0,0,0,0
1.325357,0,0,0,0
1.326989,0,0,0,0
1.328749,0,0,0,0
1.330615,0,0,0,0
1.332414,0,0,0,0
1.334200,0,0,0,0
1.335807,0,0,0,0
1.337558,0,0,0,0
1.339431,0,0,0,0
1.341221,0,0,0,0
1.343016,0,0,0,0
