elapsed_s,TSE_MVC_STALL_VPC,TSE_VPC_STARVE_TSE,TSE_WORKING_CYCLE_L0
0.958526,0,0,0
0.960294,0,0,0
0.962075,0,0,0
0.963942,0,0,0
0.965717,0,0,0
0.967488,0,0,0
0.969264,0,0,0
0.971037,0,0,0
0.972814,0,0,0
0.974409,0,0,0
0.976138,0,0,0
0.977846,0,0,0
0.979573,0,0,0
0.981445,0,0,0
0.983069,0,0,0
0.984618,0,0,0
0.986147,0,0,0
0.987954,0,0,0
0.989731,0,0,0
0.991509,0,0,0
0.993288,0,0,0
0.995070,0,0,0
0.996896,0,0,0
0.998532,0,0,0
1.000283,0,0,0
1.001862,0,0,0
1.003578,0,0,0
1.005246,0,0,0
1.006779,0,0,0
1.008303,0,0,0
1.009835,0,0,0
1.011360,0,0,0
1.012954,0,0,0
1.014679,0,0,0
1.016473,0,0,0
1.018166,0,0,0
1.019809,0,0,0
1.021383,0,0,0
1.023020,0,0,0
1.024567,0,0,0
1.026090,0,0,0
1.027626,0,0,0
1.029426,0,0,0
1.031203,0,0,0
1.032982,0,0,0
1.034758,0,0,0
1.036609,0,0,0
1.038206,0,0,0
1.039938,0,0,0
1.041578,0,0,0
1.043444,0,0,0
1.045045,0,0,0
1.046527,0,0,0
1.048032,0,0,0
1.049600,0,0,0
1.051123,0,0,0
1.052910,0,0,0
1.054452,0,0,0
1.055959,0,0,0
1.057468,0,0,0
1.059099,0,0,0
1.060769,0,0,0
1.062357,0,0,0
1.063864,0,0,0
1.065374,0,0,0
1.068957,0,0,0
1.070507,0,0,0
1.072135,0,0,0
1.073735,0,0,0
1.075349,0,0,0
1.076948,0,0,0
1.078463,0,0,0
1.079976,0,0,0
1.081698,0,0,0
1.083310,0,0,0
1.084849,0,0,0
1.086362,0,0,0
1.087876,0,0,0
1.089502,0,0,0
1.090982,0,0,0
1.092584,0,0,0
1.094135,0,0,0
1.095646,0,0,0
1.097169,0,0,0
1.098678,0,0,0
1.100466,0,0,0
1.102126,0,0,0
1.103904,0,0,0
1.105500,0,0,0
1.107235,0,0,0
1.109015,0,0,0
1.110793,0,0,0
1.112575,0,0,0
1.114339,0,0,0
1.116196,0,0,0
1.117948,0,0,0
1.119476,0,0,0
1.121309,0,0,0
1.123120,0,0,0
1.124775,0,0,0
1.126527,0,0,0
1.128298,0,0,0
1.130078,0,0,0
1.131927,0,0,0
1.133702,0,0,0
1.135476,0,0,0
1.137074,0,0,0
1.138807,0,0,0
1.140659,0,0,0
1.142434,0,0,0
1.144205,0,0,0
1.145984,0,0,0
1.147853,0,0,0
1.149629,0,0,0
1.151223,0,0,0
1.152978,0,0,0
1.154546,0,0,0
1.156361,0,0,0
1.158159,0,0,0
1.159928,0,0,0
1.161531,0,0,0
1.163073,0,0,0
1.164810,0,0,0
1.166587,0,0,0
1.168184,0,0,0
1.169865,0,0,0
1.171594,0,0,0
1.173458,0,0,0
1.175219,0,0,0
1.176859,0,0,0
1.178545,0,0,0
1.180146,0,0,0
1.181744,0,0,0
1.183262,0,0,0
1.184783,0,0,0
1.186298,0,0,0
1.188173,0,0,0
1.189959,0,0,0
1.191671,0,0,0
1.193239,0,0,0
1.194969,0,0,0
1.196748,0,0,0
1.198523,0,0,0
1.200317,0,0,0
1.201901,0,0,0
1.203424,0,0,0
1.205489,0,0,0
1.207267,0,0,0
1.209048,0,0,0
1.210647,0,0,0
1.212459,0,0,0
