elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.651962,0,0,0,0,0,0,0,0
0.653393,0,0,0,0,0,0,0,0
0.654826,0,0,0,0,0,0,0,0
0.656288,0,0,0,0,0,0,0,0
0.657751,0,0,0,0,0,0,0,0
0.659165,0,0,0,0,0,0,0,0
0.660660,0,0,0,0,0,0,0,0
0.662089,0,0,0,0,0,0,0,0
0.663503,0,0,0,0,0,0,0,0
0.664954,0,0,0,0,0,0,0,0
0.666429,0,0,0,0,0,0,0,0
0.667903,0,0,0,0,0,0,0,0
0.669256,0,0,0,0,0,0,0,0
0.670605,0,0,0,0,0,0,0,0
0.671961,0,0,0,0,0,0,0,0
0.673313,0,0,0,0,0,0,0,0
0.674765,0,0,0,0,0,0,0,0
0.676102,0,0,0,0,0,0,0,0
0.677446,0,0,0,0,0,0,0,0
0.678782,0,0,0,0,0,0,0,0
0.680155,0,0,0,0,0,0,0,0
0.681526,0,0,0,0,0,0,0,0
0.682868,0,0,0,0,0,0,0,0
0.684212,0,0,0,0,0,0,0,0
0.685580,0,0,0,0,0,0,0,0
0.687025,0,0,0,0,0,0,0,0
0.688364,0,0,0,0,0,0,0,0
0.689713,0,0,0,0,0,0,0,0
0.691046,0,0,0,0,0,0,0,0
0.692525,0,0,0,0,0,0,0,0
0.693933,0,0,0,0,0,0,0,0
0.695410,0,0,0,0,0,0,0,0
0.696742,0,0,0,0,0,0,0,0
0.698075,0,0,0,0,0,0,0,0
0.699446,0,0,0,0,0,0,0,0
0.700780,0,0,0,0,0,0,0,0
0.702141,0,0,0,0,0,0,0,0
0.703583,0,0,0,0,0,0,0,0
0.704936,0,0,0,0,0,0,0,0
0.706268,0,0,0,0,0,0,0,0
0.707633,0,0,0,0,0,0,0,0
0.708965,0,0,0,0,0,0,0,0
0.710413,0,0,0,0,0,0,0,0
0.711886,0,0,0,0,0,0,0,0
0.713221,0,0,0,0,0,0,0,0
0.714703,0,0,0,0,0,0,0,0
0.716066,0,0,0,0,0,0,0,0
0.717507,0,0,0,0,0,0,0,0
0.718948,0,0,0,0,0,0,0,0
0.720284,0,0,0,0,0,0,0,0
0.721678,0,0,0,0,0,0,0,0
0.723048,0,0,0,0,0,0,0,0
0.724399,0,0,0,0,0,0,0,0
0.725813,0,0,0,0,0,0,0,0
0.727271,0,0,0,0,0,0,0,0
0.728587,0,0,0,0,0,0,0,0
