elapsed_s,HLSQ_STALL_CYCLES_UCHE,HLSQ_RESERVED_7,HLSQ_RESERVED_8,HLSQ_RESERVED_9,HLSQ_COMPUTE_DRAWCALLS,HLSQ_FS_DATA_WAIT_PROGRAMMING
0.490464,0,0,0,0,0,0
0.492143,0,0,0,0,0,0
0.493799,0,0,0,0,0,0
0.495548,0,0,0,0,0,0
0.497369,0,0,0,0,0,0
0.498970,0,0,0,0,0,0
0.500616,0,0,0,0,0,0
0.502139,0,0,0,0,0,0
0.503871,0,0,0,0,0,0
0.505691,0,0,0,0,0,0
0.508023,0,0,0,0,0,0
0.511471,0,0,0,0,0,0
0.513181,0,0,0,0,0,0
0.516799,0,0,0,0,0,0
0.518325,0,0,0,0,0,0
0.519761,0,0,0,0,0,0
0.521229,0,0,0,0,0,0
0.522784,0,0,0,0,0,0
0.524217,0,0,0,0,0,0
0.525612,0,0,0,0,0,0
0.527047,0,0,0,0,0,0
0.528565,0,0,0,0,0,0
0.529979,0,0,0,0,0,0
0.531432,0,0,0,0,0,0
0.532981,0,0,0,0,0,0
0.534378,0,0,0,0,0,0
0.536724,0,0,0,0,0,0
0.539189,0,0,0,0,0,0
0.541315,0,0,0,0,0,0
0.542790,0,0,0,0,0,0
0.544579,0,0,0,0,0,0
0.546051,0,0,0,0,0,0
0.547516,0,0,0,0,0,0
0.549035,0,0,0,0,0,0
0.550473,0,0,0,0,0,0
0.551946,0,0,0,0,0,0
0.553426,0,0,0,0,0,0
0.554852,0,0,0,0,0,0
0.556695,0,0,0,0,0,0
0.558164,0,0,0,0,0,0
0.559582,0,0,0,0,0,0
0.561788,0,0,0,0,0,0
0.563276,0,0,0,0,0,0
0.566605,0,0,0,0,0,0
0.570065,0,0,0,0,0,0
0.571499,0,0,0,0,0,0
0.575495,0,0,0,0,0,0
0.576925,0,0,0,0,0,0
0.578343,0,0,0,0,0,0
0.579803,0,0,0,0,0,0
0.581198,0,0,0,0,0,0
0.582595,0,0,0,0,0,0
0.583991,0,0,0,0,0,0
0.585388,0,0,0,0,0,0
0.586788,0,0,0,0,0,0
0.588184,0,0,0,0,0,0
0.589718,0,0,0,0,0,0
0.591061,0,0,0,0,0,0
0.592402,0,0,0,0,0,0
0.593823,0,0,0,0,0,0
0.595197,0,0,0,0,0,0
0.596580,0,0,0,0,0,0
0.597928,0,0,0,0,0,0
0.599399,0,0,0,0,0,0
0.600828,0,0,0,0,0,0
0.602159,0,0,0,0,0,0
0.603638,0,0,0,0,0,0
0.605371,0,0,0,0,0,0
0.607129,0,0,0,0,0,0
0.608488,0,0,0,0,0,0
0.609836,0,0,0,0,0,0
0.611172,0,0,0,0,0,0
0.612698,0,0,0,0,0,0
0.614023,0,0,0,0,0,0
0.615366,0,0,0,0,0,0
0.616812,0,0,0,0,0,0
0.618471,0,0,0,0,0,0
0.619846,0,0,0,0,0,0
0.621273,0,0,0,0,0,0
0.622669,0,0,0,0,0,0
0.624013,0,0,0,0,0,0
0.625349,0,0,0,0,0,0
0.626765,0,0,0,0,0,0
0.628333,0,0,0,0,0,0
0.629684,0,0,0,0,0,0
0.631014,0,0,0,0,0,0
0.632387,0,0,0,0,0,0
0.633994,0,0,0,0,0,0
0.635332,0,0,0,0,0,0
0.636681,0,0,0,0,0,0
0.638003,0,0,0,0,0,0
0.639335,0,0,0,0,0,0
0.641130,0,0,0,0,0,0
0.642459,0,0,0,0,0,0
0.643805,0,0,0,0,0,0
0.645127,0,0,0,0,0,0
0.646450,0,0,0,0,0,0
0.647772,0,0,0,0,0,0
0.649105,0,0,0,0,0,0
0.650572,0,0,0,0,0,0
0.651930,0,0,0,0,0,0
0.653259,0,0,0,0,0,0
0.654743,0,0,0,0,0,0
0.656709,0,0,0,0,0,0
0.658048,0,0,0,0,0,0
0.659371,0,0,0,0,0,0
0.660694,0,0,0,0,0,0
0.662222,0,0,0,0,0,0
0.663661,0,0,0,0,0,0
0.665011,0,0,0,0,0,0
0.666367,0,0,0,0,0,0
0.667736,0,0,0,0,0,0
0.669205,0,0,0,0,0,0
0.670807,0,0,0,0,0,0
0.672147,0,0,0,0,0,0
0.673471,0,0,0,0,0,0
0.674929,0,0,0,0,0,0
0.676254,0,0,0,0,0,0
0.677630,0,0,0,0,0,0
0.679145,0,0,0,0,0,0
0.680643,0,0,0,0,0,0
