elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.402248,0,0,0,0,0,0,0,0
0.403820,0,0,0,0,0,0,0,0
0.405391,0,0,0,0,0,0,0,0
0.406972,0,0,0,0,0,0,0,0
0.408593,0,0,0,0,0,0,0,0
0.410162,0,0,0,0,0,0,0,0
0.411733,0,0,0,0,0,0,0,0
0.413304,0,0,0,0,0,0,0,0
0.414913,0,0,0,0,0,0,0,0
0.416356,0,0,0,0,0,0,0,0
0.417905,0,0,0,0,0,0,0,0
0.419379,0,0,0,0,0,0,0,0
0.420782,0,0,0,0,0,0,0,0
0.422147,0,0,0,0,0,0,0,0
0.423508,0,0,0,0,0,0,0,0
0.424872,0,0,0,0,0,0,0,0
0.426223,0,0,0,0,0,0,0,0
0.427625,0,0,0,0,0,0,0,0
0.429002,0,0,0,0,0,0,0,0
0.430399,0,0,0,0,0,0,0,0
0.431802,0,0,0,0,0,0,0,0
0.433161,0,0,0,0,0,0,0,0
0.434517,0,0,0,0,0,0,0,0
0.435921,0,0,0,0,0,0,0,0
0.437277,0,0,0,0,0,0,0,0
0.438633,0,0,0,0,0,0,0,0
0.440056,0,0,0,0,0,0,0,0
0.441413,0,0,0,0,0,0,0,0
0.442769,0,0,0,0,0,0,0,0
0.444127,0,0,0,0,0,0,0,0
0.445539,0,0,0,0,0,0,0,0
0.446889,0,0,0,0,0,0,0,0
0.448268,0,0,0,0,0,0,0,0
0.449599,0,0,0,0,0,0,0,0
0.450936,0,0,0,0,0,0,0,0
0.452265,0,0,0,0,0,0,0,0
0.453702,0,0,0,0,0,0,0,0
0.455146,0,0,0,0,0,0,0,0
0.456576,0,0,0,0,0,0,0,0
0.457918,0,0,0,0,0,0,0,0
0.459254,0,0,0,0,0,0,0,0
0.460675,0,0,0,0,0,0,0,0
0.462077,0,0,0,0,0,0,0,0
0.463514,0,0,0,0,0,0,0,0
0.464863,0,0,0,0,0,0,0,0
0.466207,0,0,0,0,0,0,0,0
0.467633,0,0,0,0,0,0,0,0
0.468974,0,0,0,0,0,0,0,0
0.470316,0,0,0,0,0,0,0,0
0.471657,0,0,0,0,0,0,0,0
0.473003,0,0,0,0,0,0,0,0
0.474345,0,0,0,0,0,0,0,0
0.475686,0,0,0,0,0,0,0,0
0.477030,0,0,0,0,0,0,0,0
0.478422,0,0,0,0,0,0,0,0
0.479849,0,0,0,0,0,0,0,0
0.481284,0,0,0,0,0,0,0,0
0.482708,0,0,0,0,0,0,0,0
0.484139,0,0,0,0,0,0,0,0
0.485465,0,0,0,0,0,0,0,0
0.486897,0,0,0,0,0,0,0,0
0.488329,0,0,0,0,0,0,0,0
0.489763,0,0,0,0,0,0,0,0
0.491189,0,0,0,0,0,0,0,0
0.492514,0,0,0,0,0,0,0,0
0.493895,0,0,0,0,0,0,0,0
0.495292,0,0,0,0,0,0,0,0
0.496653,0,0,0,0,0,0,0,0
0.498023,0,0,0,0,0,0,0,0
