elapsed_s,TSE_FE_BV_STALLS_DUETO_BR,TSE_BE_STALL_CYCLES_LRZ_PRIM,TSE_FE_EARLY_BFCULL_GBCLIPPED_PRIM,TSE_REG_PROGRAMMING_WORKING_CYCLE_L1
0.903105,0,0,0,0
0.904734,0,0,0,0
0.906130,0,0,0,0
0.907520,0,0,0,0
0.909081,0,0,0,0
0.910643,0,0,0,0
0.912191,0,0,0,0
0.913739,0,0,0,0
0.915288,0,0,0,0
0.916838,0,0,0,0
0.918387,0,0,0,0
0.919934,0,0,0,0
0.921495,0,0,0,0
0.923045,0,0,0,0
0.924593,0,0,0,0
0.926050,0,0,0,0
0.927608,0,0,0,0
0.929157,0,0,0,0
0.930707,0,0,0,0
0.932268,0,0,0,0
0.933882,0,0,0,0
0.936132,0,0,0,0
0.938209,0,0,0,0
0.939786,0,0,0,0
0.941187,0,0,0,0
0.942613,0,0,0,0
0.943996,0,0,0,0
0.945377,0,0,0,0
0.946760,0,0,0,0
0.948141,0,0,0,0
0.949520,0,0,0,0
0.951027,0,0,0,0
0.952569,0,0,0,0
0.954187,0,0,0,0
0.955727,0,0,0,0
0.957191,0,0,0,0
0.958711,0,0,0,0
0.960257,0,0,0,0
0.961805,0,0,0,0
0.963355,0,0,0,0
0.964919,0,0,0,0
0.966469,0,0,0,0
0.968016,0,0,0,0
0.969565,0,0,0,0
0.971114,0,0,0,0
0.972666,0,0,0,0
0.974216,0,0,0,0
0.975653,0,0,0,0
0.977175,0,0,0,0
0.978722,0,0,0,0
0.980268,0,0,0,0
0.981818,0,0,0,0
0.983369,0,0,0,0
0.985056,0,0,0,0
0.986528,0,0,0,0
0.987918,0,0,0,0
0.989479,0,0,0,0
0.990919,0,0,0,0
0.992464,0,0,0,0
0.994016,0,0,0,0
0.995564,0,0,0,0
0.997005,0,0,0,0
0.998526,0,0,0,0
1.000074,0,0,0,0
1.001638,0,0,0,0
1.003190,0,0,0,0
1.004743,0,0,0,0
1.006337,0,0,0,0
1.007901,0,0,0,0
1.009454,0,0,0,0
1.011007,0,0,0,0
1.012557,0,0,0,0
1.014112,0,0,0,0
1.015809,0,0,0,0
1.017283,0,0,0,0
1.018811,0,0,0,0
1.020352,0,0,0,0
1.021964,0,0,0,0
1.024012,0,0,0,0
1.025446,0,0,0,0
1.026960,0,0,0,0
1.028502,0,0,0,0
1.030056,0,0,0,0
1.031607,0,0,0,0
1.033162,0,0,0,0
1.034713,0,0,0,0
1.036263,0,0,0,0
1.037858,0,0,0,0
1.039434,0,0,0,0
1.040895,0,0,0,0
1.042308,0,0,0,0
1.043699,0,0,0,0
1.045132,0,0,0,0
1.046616,0,0,0,0
1.048897,0,0,0,0
1.050568,0,0,0,0
1.052150,0,0,0,0
1.055091,0,0,0,0
1.056786,0,0,0,0
1.058870,0,0,0,0
1.060332,0,0,0,0
1.061979,0,0,0,0
1.063430,0,0,0,0
1.064954,0,0,0,0
1.066386,0,0,0,0
1.067770,0,0,0,0
1.069196,0,0,0,0
1.070578,0,0,0,0
1.071962,0,0,0,0
1.073345,0,0,0,0
1.074740,0,0,0,0
1.076123,0,0,0,0
1.077509,0,0,0,0
1.078899,0,0,0,0
1.080289,0,0,0,0
1.081681,0,0,0,0
1.083063,0,0,0,0
1.084573,0,0,0,0
1.086039,0,0,0,0
1.087436,0,0,0,0
1.088879,0,0,0,0
1.090271,0,0,0,0
1.091661,0,0,0,0
1.093054,0,0,0,0
1.094574,0,0,0,0
1.096141,0,0,0,0
1.097696,0,0,0,0
1.099251,0,0,0,0
1.100807,0,0,0,0
1.102408,0,0,0,0
1.103962,0,0,0,0
1.105517,0,0,0,0
1.106959,0,0,0,0
1.108485,0,0,0,0
1.110046,0,0,0,0
1.111600,0,0,0,0
1.113156,0,0,0,0
1.114711,0,0,0,0
1.116265,0,0,0,0
1.117706,0,0,0,0
1.119233,0,0,0,0
1.120790,0,0,0,0
1.122345,0,0,0,0
1.123898,0,0,0,0
1.125455,0,0,0,0
1.127010,0,0,0,0
1.128575,0,0,0,0
1.130135,0,0,0,0
1.131689,0,0,0,0
1.133290,0,0,0,0
1.134845,0,0,0,0
1.136399,0,0,0,0
1.137958,0,0,0,0
1.139524,0,0,0,0
1.141080,0,0,0,0
1.142635,0,0,0,0
1.144189,0,0,0,0
1.145745,0,0,0,0
1.147300,0,0,0,0
1.148855,0,0,0,0
1.150426,0,0,0,0
1.151980,0,0,0,0
1.153535,0,0,0,0
1.155090,0,0,0,0
1.156726,0,0,0,0
1.158222,0,0,0,0
1.159618,0,0,0,0
1.161150,0,0,0,0
1.162706,0,0,0,0
1.164259,0,0,0,0
1.165858,0,0,0,0
1.167413,0,0,0,0
1.168970,0,0,0,0
1.170525,0,0,0,0
1.172092,0,0,0,0
1.173647,0,0,0,0
1.175202,0,0,0,0
1.176758,0,0,0,0
1.178312,0,0,0,0
1.179865,0,0,0,0
1.181464,0,0,0,0
1.183034,0,0,0,0
1.184588,0,0,0,0
1.186187,0,0,0,0
1.187741,0,0,0,0
1.189297,0,0,0,0
