elapsed_s,TSE_SETUP_CTRL_WORKING_CYCLE_L2,TSE_SETUP_FDP3_WORKING_CYCLE_L2,TSE_SETUP_FDP3_0_WORKING_CYCLE_L3,TSE_SETUP_FDP3_1_WORKING_CYCLE_L3
0.953810,0,0,0,0
0.955216,0,0,0,0
0.956605,0,0,0,0
0.957986,0,0,0,0
0.959366,0,0,0,0
0.960787,0,0,0,0
0.962304,0,0,0,0
0.963853,0,0,0,0
0.965419,0,0,0,0
0.966988,0,0,0,0
0.968565,0,0,0,0
0.970050,0,0,0,0
0.971448,0,0,0,0
0.972838,0,0,0,0
0.974225,0,0,0,0
0.975630,0,0,0,0
0.977059,0,0,0,0
0.978639,0,0,0,0
0.980187,0,0,0,0
0.981742,0,0,0,0
0.983291,0,0,0,0
0.984886,0,0,0,0
0.986450,0,0,0,0
0.987998,0,0,0,0
0.989511,0,0,0,0
0.991030,0,0,0,0
0.992582,0,0,0,0
0.994178,0,0,0,0
0.995726,0,0,0,0
0.997290,0,0,0,0
0.998841,0,0,0,0
1.000393,0,0,0,0
1.001988,0,0,0,0
1.003537,0,0,0,0
1.005089,0,0,0,0
1.006641,0,0,0,0
1.008203,0,0,0,0
1.009760,0,0,0,0
1.011310,0,0,0,0
1.012862,0,0,0,0
1.014413,0,0,0,0
1.015960,0,0,0,0
1.017583,0,0,0,0
1.019147,0,0,0,0
1.020699,0,0,0,0
1.022112,0,0,0,0
1.023638,0,0,0,0
1.025233,0,0,0,0
1.026786,0,0,0,0
1.028341,0,0,0,0
1.029898,0,0,0,0
1.031440,0,0,0,0
1.032861,0,0,0,0
1.034439,0,0,0,0
1.035981,0,0,0,0
1.038474,0,0,0,0
1.039891,0,0,0,0
1.041326,0,0,0,0
1.042717,0,0,0,0
1.044105,0,0,0,0
1.045495,0,0,0,0
1.047010,0,0,0,0
1.048564,0,0,0,0
1.050175,0,0,0,0
1.051727,0,0,0,0
1.053280,0,0,0,0
1.054832,0,0,0,0
1.056386,0,0,0,0
1.057983,0,0,0,0
1.059535,0,0,0,0
1.061103,0,0,0,0
1.062656,0,0,0,0
1.064206,0,0,0,0
1.065765,0,0,0,0
1.067317,0,0,0,0
1.068910,0,0,0,0
1.070462,0,0,0,0
1.072027,0,0,0,0
1.073584,0,0,0,0
1.075135,0,0,0,0
1.076690,0,0,0,0
1.078243,0,0,0,0
1.079794,0,0,0,0
1.081390,0,0,0,0
1.082832,0,0,0,0
1.084358,0,0,0,0
1.085912,0,0,0,0
1.087463,0,0,0,0
1.089061,0,0,0,0
1.090615,0,0,0,0
1.092167,0,0,0,0
1.093620,0,0,0,0
1.095142,0,0,0,0
1.096740,0,0,0,0
1.098294,0,0,0,0
1.099846,0,0,0,0
1.101400,0,0,0,0
1.102953,0,0,0,0
1.104524,0,0,0,0
1.106124,0,0,0,0
1.107676,0,0,0,0
1.109229,0,0,0,0
1.110783,0,0,0,0
1.112339,0,0,0,0
1.113894,0,0,0,0
1.115461,0,0,0,0
1.117016,0,0,0,0
1.118569,0,0,0,0
1.120121,0,0,0,0
1.121625,0,0,0,0
1.123017,0,0,0,0
1.124537,0,0,0,0
1.126104,0,0,0,0
1.127657,0,0,0,0
1.129254,0,0,0,0
1.130809,0,0,0,0
1.132364,0,0,0,0
1.133919,0,0,0,0
1.135472,0,0,0,0
1.137084,0,0,0,0
1.138639,0,0,0,0
1.140192,0,0,0,0
1.141750,0,0,0,0
1.143302,0,0,0,0
1.144902,0,0,0,0
1.146455,0,0,0,0
1.147897,0,0,0,0
1.149424,0,0,0,0
1.150892,0,0,0,0
1.152422,0,0,0,0
1.154022,0,0,0,0
1.155577,0,0,0,0
1.157136,0,0,0,0
1.158697,0,0,0,0
1.160242,0,0,0,0
1.161620,0,0,0,0
1.163144,0,0,0,0
1.164702,0,0,0,0
1.166257,0,0,0,0
1.167811,0,0,0,0
1.169423,0,0,0,0
1.170980,0,0,0,0
1.172536,0,0,0,0
1.174092,0,0,0,0
1.175645,0,0,0,0
1.177534,0,0,0,0
1.179000,0,0,0,0
1.180416,0,0,0,0
1.181808,0,0,0,0
1.183196,0,0,0,0
1.184574,0,0,0,0
1.186004,0,0,0,0
1.187519,0,0,0,0
1.189075,0,0,0,0
1.190519,0,0,0,0
1.191914,0,0,0,0
1.193352,0,0,0,0
1.194743,0,0,0,0
1.196132,0,0,0,0
1.197524,0,0,0,0
1.198912,0,0,0,0
1.200431,0,0,0,0
1.201920,0,0,0,0
1.203444,0,0,0,0
1.205002,0,0,0,0
1.206557,0,0,0,0
1.208112,0,0,0,0
1.209672,0,0,0,0
1.211227,0,0,0,0
1.212798,0,0,0,0
1.214355,0,0,0,0
1.215907,0,0,0,0
1.217507,0,0,0,0
1.219061,0,0,0,0
1.220617,0,0,0,0
1.222049,0,0,0,0
1.223590,0,0,0,0
1.225190,0,0,0,0
1.226671,0,0,0,0
1.228219,0,0,0,0
1.229778,0,0,0,0
1.231344,0,0,0,0
1.232952,0,0,0,0
1.234522,0,0,0,0
1.236076,0,0,0,0
1.237858,0,0,0,0
1.239255,0,0,0,0
1.240822,0,0,0,0
1.242385,0,0,0,0
1.243937,0,0,0,0
1.245810,0,0,0,0
1.247209,0,0,0,0
1.248606,0,0,0,0
1.250040,0,0,0,0
1.251430,0,0,0,0
1.252822,0,0,0,0
1.254342,0,0,0,0
1.255897,0,0,0,0
1.257765,0,0,0,0
1.259320,0,0,0,0
1.260877,0,0,0,0
1.262432,0,0,0,0
1.263987,0,0,0,0
1.265607,0,0,0,0
1.267160,0,0,0,0
1.268732,0,0,0,0
1.270287,0,0,0,0
1.271841,0,0,0,0
1.273438,0,0,0,0
1.274996,0,0,0,0
1.276554,0,0,0,0
1.278111,0,0,0,0
1.279680,0,0,0,0
1.281281,0,0,0,0
1.282839,0,0,0,0
1.284397,0,0,0,0
1.285954,0,0,0,0
1.287509,0,0,0,0
1.289111,0,0,0,0
1.290682,0,0,0,0
1.292238,0,0,0,0
1.293798,0,0,0,0
1.295353,0,0,0,0
1.296955,0,0,0,0
1.298512,0,0,0,0
1.300067,0,0,0,0
1.301641,0,0,0,0
1.303195,0,0,0,0
1.304798,0,0,0,0
1.306355,0,0,0,0
1.307910,0,0,0,0
1.309466,0,0,0,0
1.311021,0,0,0,0
1.312593,0,0,0,0
1.314193,0,0,0,0
1.315749,0,0,0,0
1.317305,0,0,0,0
1.318861,0,0,0,0
1.320419,0,0,0,0
1.322019,0,0,0,0
1.323587,0,0,0,0
1.325146,0,0,0,0
1.326703,0,0,0,0
1.328257,0,0,0,0
1.329697,0,0,0,0
1.331092,0,0,0,0
1.332616,0,0,0,0
1.334186,0,0,0,0
1.335741,0,0,0,0
1.337341,0,0,0,0
1.338900,0,0,0,0
1.340459,0,0,0,0
1.342015,0,0,0,0
1.343570,0,0,0,0
1.345185,0,0,0,0
1.346741,0,0,0,0
1.348360,0,0,0,0
1.349982,0,0,0,0
1.351535,0,0,0,0
1.353132,0,0,0,0
1.354687,0,0,0,0
1.356129,0,0,0,0
1.357654,0,0,0,0
1.359203,0,0,0,0
1.360799,0,0,0,0
1.362350,0,0,0,0
1.363899,0,0,0,0
1.365449,0,0,0,0
1.366895,0,0,0,0
1.368419,0,0,0,0
1.370015,0,0,0,0
1.371566,0,0,0,0
1.373119,0,0,0,0
1.374671,0,0,0,0
1.376220,0,0,0,0
1.377792,0,0,0,0
1.379343,0,0,0,0
1.380895,0,0,0,0
1.382447,0,0,0,0
1.383997,0,0,0,0
1.385639,0,0,0,0
1.387189,0,0,0,0
1.388755,0,0,0,0
1.390307,0,0,0,0
1.391857,0,0,0,0
1.393450,0,0,0,0
1.395004,0,0,0,0
1.396558,0,0,0,0
1.398110,0,0,0,0
1.399674,0,0,0,0
1.401269,0,0,0,0
1.402822,0,0,0,0
1.404375,0,0,0,0
1.405926,0,0,0,0
1.407477,0,0,0,0
1.409072,0,0,0,0
1.410637,0,0,0,0
1.412186,0,0,0,0
1.413742,0,0,0,0
1.415293,0,0,0,0
1.416892,0,0,0,0
1.418444,0,0,0,0
1.419994,0,0,0,0
1.421521,0,0,0,0
1.422891,0,0,0,0
1.424420,0,0,0,0
1.426020,0,0,0,0
1.427574,0,0,0,0
1.429131,0,0,0,0
1.430687,0,0,0,0
1.432257,0,0,0,0
1.433690,0,0,0,0
1.435086,0,0,0,0
1.436608,0,0,0,0
1.438165,0,0,0,0
1.439720,0,0,0,0
1.441356,0,0,0,0
1.442926,0,0,0,0
1.444484,0,0,0,0
1.446041,0,0,0,0
1.447595,0,0,0,0
1.449196,0,0,0,0
1.450753,0,0,0,0
1.452376,0,0,0,0
1.454009,0,0,0,0
1.455564,0,0,0,0
1.457164,0,0,0,0
1.458722,0,0,0,0
1.460276,0,0,0,0
1.461872,0,0,0,0
1.463427,0,0,0,0
1.465041,0,0,0,0
1.466598,0,0,0,0
1.468153,0,0,0,0
1.469713,0,0,0,0
1.471268,0,0,0,0
1.472869,0,0,0,0
1.474425,0,0,0,0
1.475869,0,0,0,0
1.477396,0,0,0,0
1.478943,0,0,0,0
1.480601,0,0,0,0
1.482001,0,0,0,0
1.483398,0,0,0,0
1.484920,0,0,0,0
1.486490,0,0,0,0
1.488044,0,0,0,0
1.489606,0,0,0,0
1.491160,0,0,0,0
1.492718,0,0,0,0
1.494274,0,0,0,0
1.495828,0,0,0,0
1.497443,0,0,0,0
1.499000,0,0,0,0
1.500558,0,0,0,0
1.502115,0,0,0,0
1.503669,0,0,0,0
1.505270,0,0,0,0
1.506826,0,0,0,0
1.508396,0,0,0,0
1.509953,0,0,0,0
1.511507,0,0,0,0
1.513109,0,0,0,0
1.514666,0,0,0,0
1.516221,0,0,0,0
1.517782,0,0,0,0
1.519350,0,0,0,0
1.520952,0,0,0,0
1.522510,0,0,0,0
1.524066,0,0,0,0
1.525625,0,0,0,0
1.527180,0,0,0,0
1.528781,0,0,0,0
1.530352,0,0,0,0
1.531907,0,0,0,0
1.533463,0,0,0,0
1.535018,0,0,0,0
1.536576,0,0,0,0
1.538178,0,0,0,0
1.539733,0,0,0,0
1.541304,0,0,0,0
1.542853,0,0,0,0
1.544506,0,0,0,0
1.545999,0,0,0,0
1.547429,0,0,0,0
1.548821,0,0,0,0
1.550211,0,0,0,0
1.551609,0,0,0,0
1.553036,0,0,0,0
1.554553,0,0,0,0
1.556106,0,0,0,0
1.557665,0,0,0,0
1.559217,0,0,0,0
1.560818,0,0,0,0
1.562388,0,0,0,0
1.563941,0,0,0,0
1.565366,0,0,0,0
1.566889,0,0,0,0
1.568445,0,0,0,0
1.570043,0,0,0,0
1.571596,0,0,0,0
1.573163,0,0,0,0
1.574718,0,0,0,0
1.576271,0,0,0,0
1.577848,0,0,0,0
1.579401,0,0,0,0
