elapsed_s,TSE_VP0_TRANSFORM_WORKING_CYCLE_L2,TSE_VP1_TRANSFORM_WORKING_CYCLE_L2,TSE_VP2_TRANSFORM_WORKING_CYCLE_L2,TSE_VERTEX_GEN_WORKING_CYCLE_L1
0.912880,0,0,0,0
0.914431,0,0,0,0
0.915981,0,0,0,0
0.917529,0,0,0,0
0.919094,0,0,0,0
0.920641,0,0,0,0
0.922060,0,0,0,0
0.923462,0,0,0,0
0.924977,0,0,0,0
0.926529,0,0,0,0
0.928081,0,0,0,0
0.929645,0,0,0,0
0.931217,0,0,0,0
0.932767,0,0,0,0
0.934364,0,0,0,0
0.935917,0,0,0,0
0.937467,0,0,0,0
0.939023,0,0,0,0
0.940586,0,0,0,0
0.942139,0,0,0,0
0.943691,0,0,0,0
0.945242,0,0,0,0
0.946794,0,0,0,0
0.948345,0,0,0,0
0.949898,0,0,0,0
0.951508,0,0,0,0
0.953059,0,0,0,0
0.954611,0,0,0,0
0.956162,0,0,0,0
0.957716,0,0,0,0
0.961915,0,0,0,0
0.964006,0,0,0,0
0.965421,0,0,0,0
0.966949,0,0,0,0
0.968340,0,0,0,0
0.969843,0,0,0,0
0.971332,0,0,0,0
0.972770,0,0,0,0
0.974143,0,0,0,0
0.975489,0,0,0,0
0.976828,0,0,0,0
0.978169,0,0,0,0
0.979509,0,0,0,0
0.980848,0,0,0,0
0.982205,0,0,0,0
0.983606,0,0,0,0
0.985781,0,0,0,0
0.987195,0,0,0,0
0.989278,576,576,2786226,163
0.990553,0,0,3394899,0
0.991791,0,0,3339987,0
0.993026,0,0,3335169,0
0.994261,0,0,3691809,0
0.995634,0,0,3391419,0
0.996842,0,0,3225846,0
0.998033,0,0,3238380,0
0.999243,0,0,3266070,0
1.000451,0,0,3259764,0
1.001729,0,0,3458163,0
1.002943,0,0,3270675,0
1.004151,0,0,3261228,0
1.005359,0,0,3261759,0
1.006615,0,0,3390981,0
1.007824,0,0,3262167,0
1.009030,0,0,3259089,0
1.010240,0,0,3265161,0
1.011448,0,0,3258357,0
1.012653,0,0,3258039,0
1.013859,0,0,3255513,0
1.015199,0,0,3833943,0
1.016556,0,0,3462906,0
1.017838,0,0,3455460,0
1.019101,0,0,3465183,0
1.020387,0,0,3416211,0
1.021647,0,0,3457944,0
1.022972,0,0,3517815,0
1.024228,0,0,3387153,0
1.025482,0,0,3387357,0
1.026790,0,0,3538191,0
1.028062,0,0,3428457,0
1.029447,0,0,3801381,0
1.030843,0,0,3715806,0
1.032107,0,0,3406155,0
1.033365,0,0,3394227,0
1.034624,0,0,3401235,0
1.035882,0,0,3395511,0
1.037139,0,0,3392394,0
1.038444,0,0,3525192,0
1.039701,0,0,3394005,0
1.040957,0,0,3389190,0
1.042215,0,0,3393573,0
1.043468,0,0,3381057,0
1.044720,0,0,3381216,0
1.046028,0,0,3539316,0
1.047285,0,0,3390441,0
1.048677,0,0,3818124,0
1.049973,0,0,3446172,0
1.051235,0,0,3402645,0
1.052494,0,0,3396282,0
1.053757,0,0,3421869,0
1.055151,0,0,3815490,0
1.056444,0,0,3435153,0
1.057709,0,0,3411009,0
1.059114,0,0,3965934,0
1.060561,0,0,3750777,0
1.061889,0,0,4746018,0
1.063625,0,0,3520302,0
1.064892,0,0,3417366,0
1.066153,0,0,3396354,0
1.067409,0,0,3387414,0
1.068663,0,0,3387162,0
1.069929,0,0,3517611,0
1.071244,0,0,3105750,0
1.072369,0,0,3382773,0
1.073623,0,0,3352758,0
1.074869,0,0,3400596,0
1.076125,0,0,3392172,0
1.077381,0,0,3390186,0
1.078674,0,0,3492114,0
1.079941,0,0,3419166,0
1.081196,0,0,3390669,0
1.082455,0,0,3400056,0
1.083712,0,0,3392601,0
1.084968,0,0,3391479,0
1.086260,0,0,3488877,0
1.087518,0,0,3396171,0
1.088997,0,0,4006977,0
1.090274,0,0,3439086,0
1.091660,0,0,3795216,0
1.093076,0,0,3822837,0
1.094413,0,0,3562065,0
1.095678,0,0,3407286,0
1.097066,0,0,3805314,0
1.098364,0,0,3454059,0
1.099628,0,0,3406926,0
1.100902,0,0,3438399,0
1.102206,0,0,3522243,0
1.103465,0,0,3396816,0
1.104722,0,0,3395049,0
1.105982,0,0,3399126,0
1.107239,0,0,3395622,0
1.108496,0,0,3392496,0
1.109754,0,0,3400125,0
1.111024,0,0,3428787,0
1.112282,0,0,3394113,0
1.113538,0,0,3396639,0
1.114797,0,0,3395412,0
1.116055,0,0,3392937,0
1.117311,0,0,3392709,0
1.118604,0,0,3492561,0
1.119861,0,0,3391419,0
1.121125,0,0,3334548,0
1.122358,0,0,3420255,0
1.123622,0,0,3400917,0
1.124878,0,0,3393096,0
1.126171,0,0,3491472,0
1.127428,0,0,3392733,0
1.128684,0,0,3390096,0
1.129942,0,0,3397746,0
1.131209,0,0,3421398,0
1.132464,0,0,3386601,0
1.133721,0,0,3394764,0
1.135011,0,0,3478608,0
1.136266,0,0,3391629,0
1.137522,0,0,3576858,0
1.138849,0,0,3398652,0
1.140105,0,0,3391275,0
1.141370,0,0,3413007,0
1.142660,0,0,3484659,0
1.143917,0,0,3395307,0
1.145174,0,0,3392280,0
1.146432,0,0,3293790,0
1.147657,0,0,3415344,0
1.148916,0,0,3399015,0
1.150210,0,0,3493002,0
1.151478,0,0,3423384,0
1.152736,0,0,3394659,0
1.153995,0,0,3400419,0
1.155253,0,0,3393363,0
1.156510,0,0,3395739,0
1.157769,0,0,3397740,0
1.159060,0,0,3487149,0
1.160317,0,0,3396057,0
1.161583,0,0,3419925,0
1.162842,0,0,3396816,0
1.164099,0,0,3392925,0
1.165356,0,0,3394581,0
1.166615,0,0,3398631,0
1.167873,0,0,3394863,0
1.169135,0,0,3416223,0
1.170398,0,0,3399777,0
1.171662,0,0,3410640,0
1.172915,0,0,3382299,0
1.174208,0,0,3500379,0
1.175473,0,0,3417672,0
1.176733,0,0,3395226,0
1.177992,0,0,3400059,0
1.179249,0,0,3393585,0
1.180505,0,0,3391407,0
1.181773,0,0,3422265,0
1.183064,0,0,3485376,0
1.184320,0,0,3393366,0
1.185577,0,0,3395991,0
1.186836,0,0,3395361,0
1.188092,0,0,3391566,0
1.189348,0,0,3394005,0
1.190641,0,0,3489270,0
1.191907,0,0,3419817,0
1.193164,0,0,3391095,0
1.194422,0,0,3396924,0
1.195679,0,0,3393903,0
1.196935,0,0,3391425,0
1.198227,0,0,3490338,0
1.199485,0,0,3393897,0
1.200741,0,0,3393471,0
1.202008,0,0,3421614,0
1.203266,0,0,3393030,0
1.204522,0,0,3391197,0
1.205779,0,0,3396861,0
1.207070,0,0,3484512,0
1.208327,0,0,3392382,0
1.209583,0,0,3396390,0
1.210842,0,0,3394122,0
1.212106,0,0,3415710,0
1.213364,0,0,3393909,0
