elapsed_s,TSE_BE_STALL_CYCLES_LRZ_BARYPLANE,TSE_BE_STALL_CYCLES_LRZ_ZPLANE,TSE_BE_STARVE_CYCLES_PC,TSE_BE_INPUT_PRIM
0.278640,0,0,0,0
0.280179,0,0,0,0
0.281656,0,0,0,0
0.283181,0,0,0,0
0.284728,0,0,0,0
0.286143,0,0,0,0
0.287662,0,0,0,0
0.289257,0,0,0,0
0.290807,0,0,0,0
0.292369,0,0,0,0
0.293917,0,0,0,0
0.295467,0,0,0,0
0.297017,0,0,0,0
0.298609,0,0,0,0
0.300165,0,0,0,0
0.301678,0,0,0,0
0.303094,0,0,0,0
0.304610,0,0,0,0
0.306203,0,0,0,0
0.307751,0,0,0,0
0.309301,0,0,0,0
0.310850,0,0,0,0
0.312397,0,0,0,0
0.313874,0,0,0,0
0.315394,0,0,0,0
0.316944,0,0,0,0
0.318494,0,0,0,0
0.320041,0,0,0,0
0.321634,0,0,0,0
0.323186,0,0,0,0
0.324750,0,0,0,0
0.326224,0,0,0,0
0.327830,0,0,0,0
0.329426,0,0,0,0
0.330975,0,0,0,0
0.332523,0,0,0,0
0.334076,0,0,0,0
0.335637,0,0,0,0
0.337233,0,0,0,0
0.338783,0,0,0,0
0.340330,0,0,0,0
0.341876,0,0,0,0
0.343425,0,0,0,0
0.344977,0,0,0,0
0.346584,0,0,0,0
0.348133,0,0,0,0
0.349681,0,0,0,0
0.351232,0,0,0,0
0.352846,0,0,0,0
0.354503,0,0,0,0
0.356051,0,0,0,0
0.357662,0,0,0,0
0.359213,0,0,0,0
0.360761,0,0,0,0
0.362501,0,0,0,0
0.364050,0,0,0,0
0.365601,0,0,0,0
0.367152,0,0,0,0
0.368714,0,0,0,0
0.370268,0,0,0,0
0.371817,0,0,0,0
0.373368,0,0,0,0
0.374918,0,0,0,0
0.376466,0,0,0,0
0.378111,0,0,0,0
0.379674,0,0,0,0
0.381226,0,0,0,0
0.382774,0,0,0,0
0.384323,0,0,0,0
0.385915,0,0,0,0
0.387467,0,0,0,0
0.389018,0,0,0,0
0.390581,0,0,0,0
0.392130,0,0,0,0
0.393724,0,0,0,0
0.395275,0,0,0,0
0.396765,0,0,0,0
0.399628,0,0,0,0
0.401047,0,0,0,0
0.402481,0,0,0,0
0.403869,0,0,0,0
0.405256,0,0,0,0
0.406644,0,0,0,0
0.408031,0,0,0,0
0.409454,0,0,0,0
0.410840,0,0,0,0
0.412241,0,0,0,0
0.413631,0,0,0,0
0.415017,0,0,0,0
0.416404,0,0,0,0
0.417823,0,0,0,0
0.419337,0,0,0,0
0.420889,0,0,0,0
0.422452,0,0,0,0
0.423998,0,0,0,0
0.425592,0,0,0,0
0.427142,0,0,0,0
0.428688,0,0,0,0
0.430241,0,0,0,0
0.431787,0,0,0,0
0.433271,0,0,0,0
0.434791,0,0,0,0
0.436337,0,0,0,0
0.437886,0,0,0,0
0.439435,0,0,0,0
0.440986,0,0,0,0
0.442536,0,0,0,0
0.444097,0,0,0,0
0.445645,0,0,0,0
0.447193,0,0,0,0
0.448740,0,0,0,0
0.450158,0,0,0,0
0.451550,0,0,0,0
