elapsed_s,TP_DIVERGENT_QUADS_RECEIVED,TP_PRT_NON_RESIDENT_EVENTS,TP_OUTPUT_PIXELS_POINT,TP_OUTPUT_PIXELS_BILINEAR,TP_OUTPUT_PIXELS_MIP,TP_OUTPUT_PIXELS_ANISO,TP_OUTPUT_PIXELS_ZERO_LOD,TP_FLAG_CACHE_REQUESTS,TP_FLAG_CACHE_MISSES,TP_L1_5_L2_REQUESTS,TP_2D_OUTPUT_PIXELS,TP_2D_OUTPUT_PIXELS_POINT
0.410574,0,0,0,0,0,0,0,0,0,0,0,0
0.412165,0,0,0,0,0,0,0,0,0,0,0,0
0.413753,0,0,0,0,0,0,0,0,0,0,0,0
0.415355,0,0,0,0,0,0,0,0,0,0,0,0
0.416943,0,0,0,0,0,0,0,0,0,0,0,0
0.418536,0,0,0,0,0,0,0,0,0,0,0,0
0.420127,0,0,0,0,0,0,0,0,0,0,0,0
0.421718,0,0,0,0,0,0,0,0,0,0,0,0
0.423311,0,0,0,0,0,0,0,0,0,0,0,0
0.424903,0,0,0,0,0,0,0,0,0,0,0,0
0.426511,0,0,0,0,0,0,0,0,0,0,0,0
0.428329,0,0,0,0,0,0,0,0,0,0,0,0
0.429900,0,0,0,0,0,0,0,0,0,0,0,0
0.431493,0,0,0,0,0,0,0,0,0,0,0,0
0.433087,0,0,0,0,0,0,0,0,0,0,0,0
0.434684,0,0,0,0,0,0,0,0,0,0,0,0
0.436279,0,0,0,0,0,0,0,0,0,0,0,0
0.437885,0,0,0,0,0,0,0,0,0,0,0,0
0.439478,0,0,0,0,0,0,0,0,0,0,0,0
0.441072,0,0,0,0,0,0,0,0,0,0,0,0
0.442668,0,0,0,0,0,0,0,0,0,0,0,0
0.444261,0,0,0,0,0,0,0,0,0,0,0,0
0.445853,0,0,0,0,0,0,0,0,0,0,0,0
0.447450,0,0,0,0,0,0,0,0,0,0,0,0
0.449055,0,0,0,0,0,0,0,0,0,0,0,0
0.450651,0,0,0,0,0,0,0,0,0,0,0,0
0.452289,0,0,0,0,0,0,0,0,0,0,0,0
0.453882,0,0,0,0,0,0,0,0,0,0,0,0
0.455477,0,0,0,0,0,0,0,0,0,0,0,0
0.457071,0,0,0,0,0,0,0,0,0,0,0,0
0.458666,0,0,0,0,0,0,0,0,0,0,0,0
0.460274,0,0,0,0,0,0,0,0,0,0,0,0
0.461866,0,0,0,0,0,0,0,0,0,0,0,0
0.463460,0,0,0,0,0,0,0,0,0,0,0,0
0.465054,0,0,0,0,0,0,0,0,0,0,0,0
0.466648,0,0,0,0,0,0,0,0,0,0,0,0
0.468287,0,0,0,0,0,0,0,0,0,0,0,0
0.469878,0,0,0,0,0,0,0,0,0,0,0,0
0.471486,0,0,0,0,0,0,0,0,0,0,0,0
0.473080,0,0,0,0,0,0,0,0,0,0,0,0
0.474906,0,0,0,0,0,0,0,0,0,0,0,0
0.476496,0,0,0,0,0,0,0,0,0,0,0,0
0.478088,0,0,0,0,0,0,0,0,0,0,0,0
0.479731,0,0,0,0,0,0,0,0,0,0,0,0
0.481324,0,0,0,0,0,0,0,0,0,0,0,0
0.482976,0,0,0,0,0,0,0,0,0,0,0,0
0.484571,0,0,0,0,0,0,0,0,0,0,0,0
0.486163,0,0,0,0,0,0,0,0,0,0,0,0
0.487804,0,0,0,0,0,0,0,0,0,0,0,0
0.489396,0,0,0,0,0,0,0,0,0,0,0,0
0.490991,0,0,0,0,0,0,0,0,0,0,0,0
0.492584,0,0,0,0,0,0,0,0,0,0,0,0
0.494190,0,0,0,0,0,0,0,0,0,0,0,0
0.495783,0,0,0,0,0,0,0,0,0,0,0,0
0.497366,0,0,0,0,0,0,0,0,0,0,0,0
0.498826,0,0,0,0,0,0,0,0,0,0,0,0
0.500461,0,0,0,0,0,0,0,0,0,0,0,0
0.502051,0,0,0,0,0,0,0,0,0,0,0,0
0.503642,0,0,0,0,0,0,0,0,0,0,0,0
0.505246,0,0,0,0,0,0,0,0,0,0,0,0
0.506840,0,0,0,0,0,0,0,0,0,0,0,0
0.508432,0,0,0,0,0,0,0,0,0,0,0,0
0.510022,0,0,0,0,0,0,0,0,0,0,0,0
0.511614,0,0,0,0,0,0,0,0,0,0,0,0
0.513205,0,0,0,0,0,0,0,0,0,0,0,0
0.514800,0,0,0,0,0,0,0,0,0,0,0,0
0.516452,0,0,0,0,0,0,0,0,0,0,0,0
0.518042,0,0,0,0,0,0,0,0,0,0,0,0
0.519634,0,0,0,0,0,0,0,0,0,0,0,0
0.521381,0,0,0,0,0,0,0,0,0,0,0,0
0.522901,0,0,0,0,0,0,0,0,0,0,0,0
0.524373,0,0,0,0,0,0,0,0,0,0,0,0
0.525805,0,0,0,0,0,0,0,0,0,0,0,0
0.527611,0,0,0,0,0,0,0,0,0,0,0,0
0.529110,0,0,0,0,0,0,0,0,0,0,0,0
0.530565,0,0,0,0,0,0,0,0,0,0,0,0
0.532198,0,0,0,0,0,0,0,0,0,0,0,0
0.533821,0,0,0,0,0,0,0,0,0,0,0,0
0.535441,0,0,0,0,0,0,0,0,0,0,0,0
0.536982,0,0,0,0,0,0,0,0,0,0,0,0
0.538928,0,0,0,0,0,0,0,0,0,0,0,0
0.540693,0,0,0,0,0,0,0,0,0,0,0,0
0.542319,0,0,0,0,0,0,0,0,0,0,0,0
0.543878,0,0,0,0,0,0,0,0,0,0,0,0
0.545318,0,0,0,0,0,0,0,0,0,0,0,0
0.546772,0,0,0,0,0,0,0,0,0,0,0,0
0.548213,0,0,0,0,0,0,0,0,0,0,0,0
0.549623,0,0,0,0,0,0,0,0,0,0,0,0
0.551019,0,0,0,0,0,0,0,0,0,0,0,0
0.552415,0,0,0,0,0,0,0,0,0,0,0,0
0.553811,0,0,0,0,0,0,0,0,0,0,0,0
0.555209,0,0,0,0,0,0,0,0,0,0,0,0
0.556609,0,0,0,0,0,0,0,0,0,0,0,0
0.558007,0,0,0,0,0,0,0,0,0,0,0,0
0.559505,0,0,0,0,0,0,0,0,0,0,0,0
0.560943,0,0,0,0,0,0,0,0,0,0,0,0
0.562347,0,0,0,0,0,0,0,0,0,0,0,0
0.563799,0,0,0,0,0,0,0,0,0,0,0,0
0.565275,0,0,0,0,0,0,0,0,0,0,0,0
0.566706,0,0,0,0,0,0,0,0,0,0,0,0
0.568134,0,0,0,0,0,0,0,0,0,0,0,0
0.569691,0,0,0,0,0,0,0,0,0,0,0,0
0.571296,0,0,0,0,0,0,0,0,0,0,0,0
0.572888,0,0,0,0,0,0,0,0,0,0,0,0
0.574481,0,0,0,0,0,0,0,0,0,0,0,0
0.576074,0,0,0,0,0,0,0,0,0,0,0,0
0.577664,0,0,0,0,0,0,0,0,0,0,0,0
0.579300,0,0,0,0,0,0,0,0,0,0,0,0
0.580894,0,0,0,0,0,0,0,0,0,0,0,0
0.582499,0,0,0,0,0,0,0,0,0,0,0,0
0.584091,0,0,0,0,0,0,0,0,0,0,0,0
0.585681,0,0,0,0,0,0,0,0,0,0,0,0
0.587274,0,0,0,0,0,0,0,0,0,0,0,0
0.588864,0,0,0,0,0,0,0,0,0,0,0,0
0.590332,0,0,0,0,0,0,0,0,0,0,0,0
0.591899,0,0,0,0,0,0,0,0,0,0,0,0
0.593373,0,0,0,0,0,0,0,0,0,0,0,0
0.594926,0,0,0,0,0,0,0,0,0,0,0,0
0.596497,0,0,0,0,0,0,0,0,0,0,0,0
0.598311,0,0,0,0,0,0,0,0,0,0,0,0
0.599794,0,0,0,0,0,0,0,0,0,0,0,0
0.601224,0,0,0,0,0,0,0,0,0,0,0,0
0.602652,0,0,0,0,0,0,0,0,0,0,0,0
0.604094,0,0,0,0,0,0,0,0,0,0,0,0
0.605523,0,0,0,0,0,0,0,0,0,0,0,0
0.606952,0,0,0,0,0,0,0,0,0,0,0,0
0.608509,0,0,0,0,0,0,0,0,0,0,0,0
0.610099,0,0,0,0,0,0,0,0,0,0,0,0
0.611755,0,0,0,0,0,0,0,0,0,0,0,0
0.613345,0,0,0,0,0,0,0,0,0,0,0,0
0.614952,0,0,0,0,0,0,0,0,0,0,0,0
0.616544,0,0,0,0,0,0,0,0,0,0,0,0
0.618134,0,0,0,0,0,0,0,0,0,0,0,0
0.619780,0,0,0,0,0,0,0,0,0,0,0,0
0.621369,0,0,0,0,0,0,0,0,0,0,0,0
0.622964,0,0,0,0,0,0,0,0,0,0,0,0
0.624555,0,0,0,0,0,0,0,0,0,0,0,0
0.626157,0,0,0,0,0,0,0,0,0,0,0,0
0.627849,0,0,0,0,0,0,0,0,0,0,0,0
0.629408,0,0,0,0,0,0,0,0,0,0,0,0
0.630857,0,0,0,0,0,0,0,0,0,0,0,0
0.632419,0,0,0,0,0,0,0,0,0,0,0,0
0.634010,0,0,0,0,0,0,0,0,0,0,0,0
0.635605,0,0,0,0,0,0,0,0,0,0,0,0
0.637204,0,0,0,0,0,0,0,0,0,0,0,0
0.638787,0,0,0,0,0,0,0,0,0,0,0,0
0.640351,0,0,0,0,0,0,0,0,0,0,0,0
0.641942,0,0,0,0,0,0,0,0,0,0,0,0
0.643579,0,0,0,0,0,0,0,0,0,0,0,0
0.645174,0,0,0,0,0,0,0,0,0,0,0,0
0.646771,0,0,0,0,0,0,0,0,0,0,0,0
0.648378,0,0,0,0,0,0,0,0,0,0,0,0
0.649970,0,0,0,0,0,0,0,0,0,0,0,0
0.651565,0,0,0,0,0,0,0,0,0,0,0,0
0.653158,0,0,0,0,0,0,0,0,0,0,0,0
0.654752,0,0,0,0,0,0,0,0,0,0,0,0
0.656345,0,0,0,0,0,0,0,0,0,0,0,0
0.657938,0,0,0,0,0,0,0,0,0,0,0,0
0.659587,0,0,0,0,0,0,0,0,0,0,0,0
0.661181,0,0,0,0,0,0,0,0,0,0,0,0
0.662778,0,0,0,0,0,0,0,0,0,0,0,0
0.664371,0,0,0,0,0,0,0,0,0,0,0,0
0.665963,0,0,0,0,0,0,0,0,0,0,0,0
0.667556,0,0,0,0,0,0,0,0,0,0,0,0
0.669150,0,0,0,0,0,0,0,0,0,0,0,0
0.670759,0,0,0,0,0,0,0,0,0,0,0,0
0.672353,0,0,0,0,0,0,0,0,0,0,0,0
0.673945,0,0,0,0,0,0,0,0,0,0,0,0
0.675582,0,0,0,0,0,0,0,0,0,0,0,0
0.677176,0,0,0,0,0,0,0,0,0,0,0,0
0.678772,0,0,0,0,0,0,0,0,0,0,0,0
0.680366,0,0,0,0,0,0,0,0,0,0,0,0
0.681971,0,0,0,0,0,0,0,0,0,0,0,0
0.683565,0,0,0,0,0,0,0,0,0,0,0,0
0.685158,0,0,0,0,0,0,0,0,0,0,0,0
0.686753,0,0,0,0,0,0,0,0,0,0,0,0
0.688346,0,0,0,0,0,0,0,0,0,0,0,0
0.689939,0,0,0,0,0,0,0,0,0,0,0,0
0.691576,0,0,0,0,0,0,0,0,0,0,0,0
0.693183,0,0,0,0,0,0,0,0,0,0,0,0
0.694779,0,0,0,0,0,0,0,0,0,0,0,0
0.696372,0,0,0,0,0,0,0,0,0,0,0,0
0.697964,0,0,0,0,0,0,0,0,0,0,0,0
