elapsed_s,RBBM_US_VSC_BUSY,RBBM_US_UCHE_BUSY,RBBM_US_HLSQ_BUSY,RBBM_S_HLSQ_BUSY
0.604916,0,0,104,0
0.606498,0,0,104,0
0.607920,0,0,104,0
0.609307,0,0,104,0
0.610695,0,0,104,0
0.612077,0,0,104,0
0.613622,109,1897,1961,0
0.615305,0,0,104,0
0.616682,0,0,104,0
0.618047,0,0,104,0
0.619487,0,0,104,0
0.620868,0,0,104,0
0.622256,0,0,104,0
0.623636,0,0,104,0
0.625017,0,0,104,0
0.626396,0,0,104,0
0.627773,0,0,104,0
0.629192,740,591440,391402,0
0.630491,0,0,104,0
0.631876,0,0,104,0
0.633261,0,0,104,0
0.634647,0,0,104,0
0.636032,0,0,104,0
0.637417,0,0,104,0
0.638841,0,0,104,0
0.640230,0,0,104,0
0.642343,0,0,104,0
0.643722,0,0,104,0
0.645099,0,0,104,0
0.646479,0,0,104,0
0.647858,0,0,104,0
0.649239,0,0,104,0
0.650626,0,0,104,0
0.652005,0,0,104,0
0.653388,0,0,104,0
0.654769,0,0,104,0
0.656146,0,0,104,0
0.657523,0,0,104,0
0.658897,0,0,104,0
0.660251,0,0,104,0
0.661613,0,0,104,0
0.662969,0,0,104,0
0.664326,0,0,104,0
0.665681,0,0,104,0
0.667086,0,0,104,0
0.668466,0,0,104,0
0.669845,0,0,104,0
0.671191,0,0,104,0
0.672714,0,0,104,0
0.674309,0,0,104,0
0.675860,0,0,104,0
0.677409,0,0,104,0
0.678962,0,0,104,0
0.680512,0,0,104,0
0.682102,0,0,104,0
0.683671,0,0,104,0
0.685220,0,0,104,0
0.686772,0,0,104,0
0.688322,0,0,104,0
0.689871,0,0,104,0
0.691516,0,0,104,0
0.693066,0,0,104,0
0.694532,0,0,104,0
0.696080,0,0,104,0
0.697629,0,0,104,0
0.699225,0,0,104,0
0.700775,0,0,104,0
0.702328,0,0,104,0
0.703880,0,0,104,0
0.705316,0,0,104,0
0.706804,0,0,104,0
0.708357,0,0,104,0
0.709905,0,0,104,0
0.711459,0,0,104,0
0.713008,0,0,104,0
0.714603,0,0,104,0
0.716168,0,0,104,0
0.717717,0,0,104,0
0.719268,0,0,104,0
0.720819,0,0,104,0
0.722414,0,0,104,0
0.723964,0,0,104,0
0.725512,0,0,104,0
0.727075,0,0,104,0
0.728626,0,0,104,0
0.730221,0,0,104,0
0.731772,0,0,104,0
0.733321,0,0,104,0
0.734873,0,0,104,0
0.736422,0,0,104,0
0.738027,0,0,104,0
0.739581,0,0,104,0
0.741131,0,0,104,0
0.742683,0,0,104,0
0.744233,0,0,104,0
0.745783,0,0,104,0
0.747333,0,0,104,0
0.748863,0,0,104,0
0.750415,0,0,104,0
0.751966,0,0,104,0
0.753515,0,0,104,0
0.755066,0,0,104,0
0.756616,0,0,104,0
0.758231,0,0,104,0
0.759861,0,0,104,0
0.761410,0,0,104,0
0.762964,0,0,104,0
0.764514,0,0,104,0
0.766063,0,0,104,0
0.767617,0,0,104,0
0.769165,0,0,104,0
0.770732,0,0,104,0
0.772283,0,0,104,0
0.773832,0,0,104,0
0.775444,0,0,104,0
0.776994,0,0,104,0
0.778590,0,0,104,0
0.780141,0,0,104,0
0.781703,0,0,104,0
0.783253,0,0,104,0
0.784804,0,0,104,0
0.786397,0,0,104,0
0.787948,0,0,104,0
0.789496,0,0,104,0
0.791046,0,0,104,0
0.792609,0,0,104,0
0.794205,0,0,104,0
0.795747,0,0,104,0
0.797286,0,0,104,0
0.798700,0,0,104,0
0.800212,0,0,104,0
0.801751,0,0,104,0
0.803354,0,0,104,0
0.804902,0,0,104,0
0.806452,0,0,104,0
0.808001,0,0,104,0
0.809548,0,0,104,0
0.811096,0,0,104,0
0.812645,0,0,104,0
0.814210,0,0,104,0
0.815759,0,0,104,0
0.817307,0,0,104,0
0.818857,0,0,104,0
0.820406,0,0,104,0
0.821953,0,0,104,0
0.823505,0,0,104,0
0.825066,0,0,104,0
0.826659,0,0,104,0
0.828208,0,0,104,0
0.829755,0,0,104,0
0.831303,0,0,104,0
