elapsed_s,HLSQ_BV_SP_CCTX_ACTIVE_CNT,HLSQ_VS_SP_SCTX_ACTIVE_CNT,HLSQ_FS_SP_SCTX_ACTIVE_CNT,HLSQ_BV_SP_SCTX_ACTIVE_CNT,HLSQ_VS_SP_CTX_ALIVE_CYCLE,HLSQ_FS_SP_CTX_ALIVE_CYCLE
0.887525,0,0,0,0,0,0
0.889087,0,0,0,0,0,0
0.890647,0,0,0,0,0,0
0.892242,0,0,0,0,0,0
0.893808,0,0,0,0,0,0
0.895368,0,0,0,0,0,0
0.896929,0,0,0,0,0,0
0.898496,0,0,0,0,0,0
0.900046,0,0,0,0,0,0
0.901848,0,0,0,0,0,0
0.903408,0,0,0,0,0,0
0.904969,0,0,0,0,0,0
0.906530,0,0,0,0,0,0
0.908089,0,0,0,0,0,0
0.909738,0,0,0,0,0,0
0.911297,0,0,0,0,0,0
0.912859,0,0,0,0,0,0
0.914410,0,0,0,0,0,0
0.915959,0,0,0,0,0,0
0.917429,0,0,0,0,0,0
0.918958,0,0,0,0,0,0
0.920545,0,0,0,0,0,0
0.922370,0,0,0,0,0,0
0.923741,0,0,0,0,0,0
0.925155,0,0,0,0,0,0
0.926609,0,0,0,0,0,0
0.928016,0,0,0,0,0,0
0.929415,0,0,0,0,0,0
0.930958,0,0,0,0,0,0
0.932575,0,0,0,0,0,0
0.934092,0,0,0,0,0,0
0.935574,0,0,0,0,0,0
0.936973,0,0,0,0,0,0
0.938371,0,0,0,0,0,0
0.939767,0,0,0,0,0,0
0.942166,0,0,0,0,0,0
0.943552,0,0,0,0,0,0
0.945070,0,0,0,0,0,0
0.946741,0,0,0,0,0,0
0.948949,0,0,0,0,0,0
0.950349,0,0,0,0,0,0
0.951760,0,0,0,0,0,0
0.953153,0,0,0,0,0,0
0.954549,0,0,0,0,0,0
0.955949,0,0,0,0,0,0
0.957389,0,0,0,0,0,0
0.958786,0,0,0,0,0,0
0.960181,0,0,0,0,0,0
0.961581,0,0,0,0,0,0
0.962986,0,0,0,0,0,0
0.964382,0,0,0,0,0,0
0.965829,0,0,0,0,0,0
0.967226,0,0,0,0,0,0
0.968624,0,0,0,0,0,0
0.970020,0,0,0,0,0,0
0.971415,0,0,0,0,0,0
0.972845,0,0,0,0,0,0
0.974379,0,0,0,0,0,0
0.975936,0,0,0,0,0,0
0.977495,0,0,0,0,0,0
0.979055,0,0,0,0,0,0
0.980616,0,0,0,0,0,0
0.982175,0,0,0,0,0,0
0.983731,0,0,0,0,0,0
0.985213,0,0,0,0,0,0
0.986746,0,0,0,0,0,0
0.988304,0,0,0,0,0,0
0.989872,0,0,0,0,0,0
