elapsed_s,HLSQ_STALL_CYCLES_VPC_BE,HLSQ_RESERVED_19,HLSQ_RESERVED_20,HLSQ_VSBR_STALL_CYCLES,HLSQ_FS_STALL_CYCLES,HLSQ_LPAC_STALL_CYCLES
0.845801,0,0,0,0,0,0
0.847362,0,0,0,0,0,0
0.848987,0,0,0,0,0,0
0.850548,0,0,0,0,0,0
0.852112,0,0,0,0,0,0
0.853674,0,0,0,0,0,0
0.855234,0,0,0,0,0,0
0.856682,0,0,0,0,0,0
0.858215,0,0,0,0,0,0
0.859780,0,0,0,0,0,0
0.861343,0,0,0,0,0,0
0.862903,0,0,0,0,0,0
0.864511,0,0,0,0,0,0
0.866073,0,0,0,0,0,0
0.867649,0,0,0,0,0,0
0.869213,0,0,0,0,0,0
0.870774,0,0,0,0,0,0
0.872338,0,0,0,0,0,0
0.873891,0,0,0,0,0,0
0.875441,0,0,0,0,0,0
0.877060,0,0,0,0,0,0
0.878633,0,0,0,0,0,0
0.880239,0,0,0,0,0,0
0.881801,0,0,0,0,0,0
0.883360,0,0,0,0,0,0
0.884976,0,0,0,0,0,0
0.886528,0,0,0,0,0,0
0.887958,0,0,0,0,0,0
0.889502,0,0,0,0,0,0
0.891096,0,0,0,0,0,0
0.892657,0,0,0,0,0,0
0.894217,0,0,0,0,0,0
0.895790,0,0,0,0,0,0
0.897296,0,0,0,0,0,0
0.898698,0,0,0,0,0,0
0.900247,0,0,0,0,0,0
0.901806,0,0,0,0,0,0
0.903365,0,0,0,0,0,0
0.904985,0,0,0,0,0,0
0.906546,0,0,0,0,0,0
0.908110,0,0,0,0,0,0
0.909672,0,0,0,0,0,0
0.911244,0,0,0,0,0,0
0.912849,0,0,0,0,0,0
0.914411,0,0,0,0,0,0
0.915972,0,0,0,0,0,0
0.917524,0,0,0,0,0,0
0.919076,0,0,0,0,0,0
0.920503,0,0,0,0,0,0
0.922043,0,0,0,0,0,0
0.923601,0,0,0,0,0,0
0.925166,0,0,0,0,0,0
0.926722,0,0,0,0,0,0
0.928327,0,0,0,0,0,0
0.929887,0,0,0,0,0,0
