elapsed_s,HLSQ_NEVER_COUNT,HLSQ_BUSY_CYCLES,HLSQ_STALL_CYCLES_SP_STATE,HLSQ_STALL_CYCLES_SP_FS_STAGE,HLSQ_UCHE_LATENCY_CYCLES,HLSQ_UCHE_LATENCY_COUNT
0.945157,0,104,0,0,0,0
0.946763,0,104,0,0,0,0
0.948325,0,104,0,0,0,0
0.949887,0,104,0,0,0,0
0.951340,0,104,0,0,0,0
0.952876,0,104,0,0,0,0
0.954441,0,104,0,0,0,0
0.956001,0,104,0,0,0,0
0.957560,0,104,0,0,0,0
0.959209,0,104,0,0,0,0
0.960771,0,104,0,0,0,0
0.962391,0,104,0,0,0,0
0.963954,0,104,0,0,0,0
0.965515,0,104,0,0,0,0
0.967141,0,104,0,0,0,0
0.968704,0,104,0,0,0,0
0.970266,0,104,0,0,0,0
0.971832,0,104,0,0,0,0
0.973185,0,104,0,0,0,0
0.974608,0,104,0,0,0,0
0.976022,0,104,0,0,0,0
0.977421,0,104,0,0,0,0
0.978864,0,104,0,0,0,0
0.980262,0,104,0,0,0,0
0.981785,0,104,0,0,0,0
0.983360,0,104,0,0,0,0
0.984912,0,104,0,0,0,0
0.986345,0,104,0,0,0,0
0.987875,0,104,0,0,0,0
0.989436,0,104,0,0,0,0
0.990996,0,104,0,0,0,0
0.992558,0,104,0,0,0,0
0.994132,0,104,0,0,0,0
0.995738,0,104,0,0,0,0
0.997297,0,104,0,0,0,0
0.998857,0,104,0,0,0,0
1.000311,0,104,0,0,0,0
1.001759,0,104,0,0,0,0
1.003229,0,104,0,0,0,0
1.004683,0,104,0,0,0,0
1.006243,0,104,0,0,0,0
1.007804,0,104,0,0,0,0
1.009365,0,104,0,0,0,0
1.010977,0,104,0,0,0,0
1.012541,0,104,0,0,0,0
1.014126,0,104,0,0,0,0
1.015578,0,104,0,0,0,0
1.017111,0,104,0,0,0,0
1.018675,0,104,0,0,0,0
1.020239,0,104,0,0,0,0
1.021801,0,104,0,0,0,0
1.023369,0,104,0,0,0,0
1.024930,0,104,0,0,0,0
1.026558,0,104,0,0,0,0
1.028122,0,104,0,0,0,0
1.029683,0,104,0,0,0,0
1.031225,0,104,0,0,0,0
1.032747,0,104,0,0,0,0
1.034185,0,104,0,0,0,0
1.035719,0,104,0,0,0,0
1.037169,0,104,0,0,0,0
1.038703,0,104,0,0,0,0
1.040266,0,104,0,0,0,0
1.041829,0,104,0,0,0,0
1.043251,0,104,0,0,0,0
1.044653,0,104,0,0,0,0
1.046182,0,104,0,0,0,0
1.047760,0,104,0,0,0,0
1.049321,0,104,0,0,0,0
1.050884,0,104,0,0,0,0
1.052448,0,104,0,0,0,0
1.054013,0,104,0,0,0,0
1.055459,0,104,0,0,0,0
1.056994,0,104,0,0,0,0
1.058615,0,104,0,0,0,0
1.060178,0,104,0,0,0,0
1.061741,0,104,0,0,0,0
1.063309,0,104,0,0,0,0
1.064871,0,104,0,0,0,0
1.066436,0,104,0,0,0,0
1.067999,0,104,0,0,0,0
1.069575,0,104,0,0,0,0
1.071143,0,104,0,0,0,0
1.072704,0,104,0,0,0,0
1.074312,0,104,0,0,0,0
1.075875,0,104,0,0,0,0
1.077437,0,104,0,0,0,0
1.079001,0,104,0,0,0,0
1.080579,0,104,0,0,0,0
1.082145,0,104,0,0,0,0
1.083708,0,104,0,0,0,0
1.085271,0,104,0,0,0,0
1.086870,0,104,0,0,0,0
1.088425,0,104,0,0,0,0
1.090085,0,104,0,0,0,0
1.091546,0,104,0,0,0,0
1.092954,0,104,0,0,0,0
1.094485,0,104,0,0,0,0
1.096050,0,104,0,0,0,0
1.097613,0,104,0,0,0,0
1.099183,0,104,0,0,0,0
1.100747,0,104,0,0,0,0
1.102325,0,104,0,0,0,0
1.103889,0,104,0,0,0,0
1.105457,0,104,0,0,0,0
1.106952,0,104,0,0,0,0
1.111059,0,104,0,0,0,0
1.112500,0,104,0,0,0,0
1.113956,0,104,0,0,0,0
1.115358,0,104,0,0,0,0
1.116758,0,104,0,0,0,0
1.118186,0,104,0,0,0,0
1.119586,0,104,0,0,0,0
1.121112,0,104,0,0,0,0
1.122734,0,104,0,0,0,0
1.124175,0,104,0,0,0,0
1.125579,0,104,0,0,0,0
1.127081,0,104,0,0,0,0
1.128482,0,104,0,0,0,0
1.129884,0,104,0,0,0,0
1.131285,0,104,0,0,0,0
1.132695,0,104,0,0,0,0
1.134096,0,104,0,0,0,0
1.135496,0,104,0,0,0,0
1.136894,0,104,0,0,0,0
1.138332,0,104,0,0,0,0
1.139731,0,104,0,0,0,0
1.141130,0,104,0,0,0,0
1.142530,0,104,0,0,0,0
1.143950,0,104,0,0,0,0
1.145348,0,104,0,0,0,0
1.146878,0,104,0,0,0,0
1.148443,0,104,0,0,0,0
1.150009,0,104,0,0,0,0
1.151475,0,104,0,0,0,0
1.153022,0,104,0,0,0,0
1.154649,0,104,0,0,0,0
1.156217,0,104,0,0,0,0
1.157783,0,104,0,0,0,0
1.159356,0,104,0,0,0,0
1.160922,0,104,0,0,0,0
1.162491,0,104,0,0,0,0
1.164058,0,104,0,0,0,0
1.165638,0,104,0,0,0,0
1.167209,0,104,0,0,0,0
1.168774,0,104,0,0,0,0
1.170387,0,104,0,0,0,0
1.171955,0,104,0,0,0,0
1.173520,0,104,0,0,0,0
1.175051,0,104,0,0,0,0
1.176594,0,104,0,0,0,0
1.178162,0,104,0,0,0,0
1.179729,0,104,0,0,0,0
1.181294,0,104,0,0,0,0
1.182861,0,104,0,0,0,0
1.184428,0,104,0,0,0,0
1.185997,0,104,0,0,0,0
1.187623,0,104,0,0,0,0
1.189189,0,104,0,0,0,0
1.190756,0,104,0,0,0,0
1.192314,0,104,0,0,0,0
1.194027,0,104,0,0,0,0
1.195589,0,104,0,0,0,0
1.197153,0,104,0,0,0,0
1.198730,0,104,0,0,0,0
1.200296,0,104,0,0,0,0
1.201915,0,104,0,0,0,0
1.203480,0,104,0,0,0,0
1.205042,0,104,0,0,0,0
1.206609,0,104,0,0,0,0
1.208174,0,104,0,0,0,0
