elapsed_s,SP_TTU_GPR_WR_REQ,SP_GPR_CACHE_SRC0_GPR_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC1_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC2_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HINT_RDCNT,SP_UCHE_READ_BURST,SP_UCHE_WRITE_BURST,SP_LDST_GMEM_REQ_NUM
0.181221,0,0,0,0,0,0,0,0,0,0,0,0,0
0.182819,0,0,0,0,0,0,0,0,0,0,0,0,0
0.184334,0,0,0,0,0,0,0,0,0,0,0,0,0
0.185904,0,0,0,0,0,0,0,0,0,0,0,0,0
0.187505,0,0,0,0,0,0,0,0,0,0,0,0,0
0.189106,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190718,0,0,0,0,0,0,0,0,0,0,0,0,0
0.192318,0,0,0,0,0,0,0,0,0,0,0,0,0
0.193918,0,0,0,0,0,0,0,0,0,0,0,0,0
0.195518,0,0,0,0,0,0,0,0,0,0,0,0,0
0.197118,0,0,0,0,0,0,0,0,0,0,0,0,0
0.198714,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200354,0,0,0,0,0,0,0,0,0,0,0,0,0
0.201966,0,0,0,0,0,0,0,0,0,0,0,0,0
0.203567,0,0,0,0,0,0,0,0,0,0,0,0,0
0.205166,0,0,0,0,0,0,0,0,0,0,0,0,0
0.206764,0,0,0,0,0,0,0,0,0,0,0,0,0
0.208363,0,0,0,0,0,0,0,0,0,0,0,0,0
0.209961,0,0,0,0,0,0,0,0,0,0,0,0,0
0.211561,0,0,0,0,0,0,0,0,0,0,0,0,0
0.213173,0,0,0,0,0,0,0,0,0,0,0,0,0
0.214771,0,0,0,0,0,0,0,0,0,0,0,0,0
0.216412,0,0,0,0,0,0,0,0,0,0,0,0,0
0.218011,0,0,0,0,0,0,0,0,0,0,0,0,0
0.223351,0,0,0,0,0,0,0,0,0,0,0,0,0
0.224856,0,0,0,0,0,0,0,0,0,0,0,0,0
0.227097,0,0,0,0,0,0,0,0,0,0,0,0,0
0.228580,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230013,0,0,0,0,0,0,0,0,0,0,0,0,0
0.231446,0,0,0,0,0,0,0,0,0,0,0,0,0
0.232925,0,0,0,0,0,0,0,0,0,0,0,0,0
0.234358,0,0,0,0,0,0,0,0,0,0,0,0,0
0.235807,0,0,0,0,0,0,0,0,0,0,0,0,0
0.237241,0,0,0,0,0,0,0,0,0,0,0,0,0
0.238675,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240110,0,0,0,0,0,0,0,0,0,0,0,0,0
0.241544,0,0,0,0,0,0,0,0,0,0,0,0,0
0.242978,0,0,0,0,0,0,0,0,0,0,0,0,0
0.244413,0,0,0,0,0,0,0,0,0,0,0,0,0
0.245864,0,0,0,0,0,0,0,0,0,0,0,0,0
0.247300,0,0,0,0,0,0,0,0,0,0,0,0,0
0.248734,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250168,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251604,0,0,0,0,0,0,0,0,0,0,0,0,0
0.253037,0,0,0,0,0,0,0,0,0,0,0,0,0
0.254470,0,0,0,0,0,0,0,0,0,0,0,0,0
0.255920,0,0,0,0,0,0,0,0,0,0,0,0,0
0.257483,0,0,0,0,0,0,0,0,0,0,0,0,0
0.259081,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260684,0,0,0,0,0,0,0,0,0,0,0,0,0
0.262281,0,0,0,0,0,0,0,0,0,0,0,0,0
0.263923,0,0,0,0,0,0,0,0,0,0,0,0,0
0.265523,0,0,0,0,0,0,0,0,0,0,0,0,0
0.267134,0,0,0,0,0,0,0,0,0,0,0,0,0
0.268747,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270275,0,0,0,0,0,0,0,0,0,0,0,0,0
0.271771,0,0,0,0,0,0,0,0,0,0,0,0,0
0.273250,0,0,0,0,0,0,0,0,0,0,0,0,0
0.274688,0,0,0,0,0,0,0,0,0,0,0,0,0
0.276206,0,0,0,0,0,0,0,0,0,0,0,0,0
0.277684,0,0,0,0,0,0,0,0,0,0,0,0,0
0.279701,0,0,0,0,0,0,0,0,0,0,0,0,0
0.281271,0,0,0,0,0,0,0,0,0,0,0,0,0
0.282763,0,0,0,0,0,0,0,0,0,0,0,0,0
0.284445,0,0,0,0,0,0,0,0,0,0,0,0,0
0.285887,0,0,0,0,0,0,0,0,0,0,0,0,0
0.287377,0,0,0,0,0,0,0,0,0,0,0,0,0
0.288826,0,0,0,0,0,0,0,0,0,0,0,0,0
0.290256,0,0,0,0,0,0,0,0,0,0,0,0,0
0.291685,0,0,0,0,0,0,0,0,0,0,0,0,0
0.293115,0,0,0,0,0,0,0,0,0,0,0,0,0
0.294544,0,0,0,0,0,0,0,0,0,0,0,0,0
0.295981,0,0,0,0,0,0,0,0,0,0,0,0,0
0.297547,0,0,0,0,0,0,0,0,0,0,0,0,0
0.299157,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300760,0,0,0,0,0,0,0,0,0,0,0,0,0
0.302356,0,0,0,0,0,0,0,0,0,0,0,0,0
