elapsed_s,ALWAYSON
1.255142,29382
1.256673,29321
1.258196,29229
1.259899,32768
1.261430,29415
1.262960,29390
1.264492,29411
1.266024,29391
1.267599,30293
1.269132,29395
1.270676,29647
1.272209,29447
1.273742,29420
1.275273,29487
1.276811,29420
1.278340,29380
1.279874,29471
1.281295,26883
1.282798,29229
1.284334,29504
1.285867,29416
1.287397,29493
1.288934,29400
1.290465,29405
1.292014,29748
1.293547,29424
1.295078,29396
1.296611,29432
1.298142,29388
1.299718,30263
1.301250,29399
1.302794,29635
1.304327,29434
1.305857,29380
1.307387,29488
1.308923,29361
1.310452,29374
1.311985,29445
1.313528,29612
1.315056,30203
1.316632,29407
1.318163,29390
1.319695,29424
1.321226,29391
1.322756,29344
1.324302,29709
1.325833,29389
1.327363,28333
1.328713,26573
1.330084,26278
1.331626,30086
1.333158,29368
1.334701,29615
1.336233,29470
1.337766,29377
1.339294,29432
1.340828,29385
1.342358,29381
1.343892,29451
1.345436,29624
1.346965,30172
1.348538,29419
1.350070,29378
1.351602,29441
1.353133,29383
1.354662,29360
1.356101,27570
1.357628,29382
1.359158,29359
1.360690,29418
1.362220,29375
1.363793,30233
1.365326,29388
1.366868,29612
1.368398,29407
1.369929,29372
1.371458,29623
1.372880,26758
1.374387,29250
1.375922,29479
1.377467,29624
1.378997,30253
1.380573,29413
1.382105,29401
1.383639,29458
1.385171,29446
1.386706,29437
1.388254,29750
1.389787,29411
1.391318,29486
1.392855,29401
1.394385,29395
1.395961,30274
1.397493,29403
1.399038,29661
1.400570,29430
1.402103,29396
1.403636,29449
1.405167,29407
1.406698,29381
1.408232,29460
1.409776,29645
1.411349,30947
1.412793,26586
1.414166,26322
1.415667,29266
1.417200,29410
1.418730,29387
1.420277,29725
1.421810,29397
1.423340,29482
1.424940,32725
1.426454,27150
1.427975,29033
1.429507,29390
1.431050,29646
1.432583,29421
1.434158,30179
1.435656,28509
1.437795,45291
1.439389,26581
1.440785,26421
1.442165,26470
1.443681,29142
1.445045,26148
1.446406,26608
1.447792,26136
1.449279,28995
1.450800,29201
1.452209,26662
1.453703,29078
1.455224,29207
1.456882,31936
1.458414,29388
1.459990,30293
1.461523,29428
1.463069,29677
1.464603,29440
1.466135,29431
1.467670,29455
1.469201,29407
1.470732,29385
1.472266,29459
1.473810,29635
1.475383,30317
1.476921,29412
1.478451,29381
1.479985,29371
1.481508,29217
1.483028,29209
1.484441,26801
1.485943,29241
1.487473,29398
1.489006,29402
1.490536,29387
1.492112,30267
1.493644,29411
1.495189,29661
1.496593,26548
1.498094,29238
1.499628,29441
1.501159,29393
1.502690,29394
1.504224,29461
1.505769,29655
1.507341,30273
1.508877,29413
1.510407,29366
1.511941,29379
1.513464,29218
1.514984,29188
1.516396,26803
1.517898,29258
1.519429,29466
1.520968,29455
1.522497,29385
1.524073,30267
1.525606,29410
1.527151,29660
1.528684,29445
1.530216,29406
1.531751,29489
1.533284,29409
1.534815,29407
1.536349,29476
1.537894,29631
1.539468,30249
1.540995,29209
1.542516,29208
1.543927,26673
1.545420,29072
1.546941,29199
1.548353,27338
1.549760,26463
1.551130,26273
1.552499,26281
1.553866,26243
1.555232,26230
1.556643,27098
1.558138,29143
1.559684,29678
1.561214,29366
1.562743,29354
1.564275,29413
1.566035,33863
1.567570,29411
1.569100,29381
1.570641,29575
1.572323,33317
1.573783,26664
1.575285,29289
1.576821,29395
1.578350,29370
1.579884,29480
1.581431,29668
1.582961,29382
1.584493,29439
1.586026,29429
1.587601,30262
1.589135,29416
1.590665,29391
1.592214,29742
1.593747,29401
1.595277,29469
1.596813,29421
1.598344,29381
1.599877,29465
1.601567,32472
1.602988,27626
1.604534,29283
1.606065,29396
1.607600,29476
1.609132,29416
1.610662,29391
1.612196,29471
1.613623,26905
1.615117,29071
1.616516,26532
1.618019,29266
1.619596,30323
1.621129,29398
1.622660,29399
1.624209,29740
1.625740,29396
1.627272,29494
1.628808,29400
1.630339,29391
1.631872,29454
1.633403,29370
1.634945,29630
1.636478,29429
1.638050,30149
1.639583,29478
1.641115,29396
1.642645,29374
1.644179,29372
1.645716,29502
1.647238,31880
1.648906,29437
1.650433,29318
1.652008,30258
1.653539,29321
1.655065,29342
1.656608,29662
1.658140,29385
1.659672,29418
1.661202,29360
1.662730,29350
1.664262,29407
1.665791,29335
1.667207,29065
1.668828,28547
1.670321,29432
1.671858,29430
1.673384,29289
1.674909,29296
1.676311,26580
1.677828,29524
1.679360,29446
1.680897,29481
1.682429,29431
1.684010,30369
1.685545,29436
1.687077,29416
1.688625,29743
1.690159,29446
1.691696,29537
1.693232,29447
1.694764,29425
1.696299,29496
1.697834,29451
1.699422,30591
1.700962,29436
1.702493,29432
1.704030,29523
1.705565,29451
1.707098,29426
1.708632,29469
1.710180,29724
1.711717,29510
1.713251,29407
1.714782,29430
1.716320,29531
1.717855,29458
1.719387,29533
1.720814,26892
1.722318,29287
1.723855,29515
1.725390,29449
1.726922,29426
1.728457,29480
1.729991,29437
1.731582,30547
1.733140,29908
1.734672,29441
1.736209,29520
1.737744,29463
1.739278,29538
1.740818,29488
1.742366,29721
1.743903,29530
1.745440,29469
1.746973,30332
1.748554,29392
1.750080,29287
1.751712,31762
1.753273,29611
1.754805,29432
1.756340,29493
1.757876,29465
1.759408,29490
1.760946,29453
1.762479,29457
1.764071,30572
1.765606,29447
1.767138,29406
1.768672,29457
1.770206,29451
1.771742,29487
1.773166,27195
1.774571,26741
1.775948,26416
1.777451,29291
1.778986,30343
1.780568,29508
1.782103,29471
1.783641,29551
1.785191,29755
1.786726,29455
1.788266,29574
1.789802,29483
1.791337,29531
1.792876,29482
1.794410,29463
1.796004,30645
1.797542,29487
1.799076,29444
1.800612,29501
1.802148,29495
1.803685,29528
1.805222,29474
1.806769,29713
1.808306,29507
1.809842,29492
1.811419,30377
1.812960,29485
1.814494,29458
1.816032,29536
1.817582,29750
1.819116,29433
1.820651,29502
1.822186,29455
1.823722,29521
1.825258,29446
1.826791,29441
1.828214,26942
1.829720,29297
1.831254,29562
1.832794,29471
1.834328,29451
1.835865,29535
1.837401,29474
1.838950,29730
1.840486,29515
1.842022,29467
1.843602,30369
1.845139,29495
1.846673,29452
1.848211,29527
1.849761,29747
1.851295,29543
1.852830,29300
1.854355,29268
1.855880,28994
1.857264,26553
1.858768,29270
1.860318,29784
1.861853,29448
1.863386,29507
1.864920,29304
1.866444,29258
1.867844,26586
1.869350,29288
1.870897,29699
1.872432,29495
1.873967,29465
1.875611,30686
1.877101,29485
1.878635,29447
1.880171,29506
1.881592,26866
1.883095,29235
1.884627,29434
1.886159,29407
1.887693,29464
1.889226,29414
1.890757,29401
1.892313,29870
1.893845,29420
1.895376,29488
1.896913,29415
1.898444,29389
1.899977,29455
1.901509,29398
1.903053,29642
1.904586,29440
1.906118,29414
1.907694,30291
1.909228,29398
1.910757,29370
1.912291,29484
1.913838,29689
1.915369,28332
1.916720,26575
1.918222,29249
1.919756,29474
1.921289,29414
1.922818,29372
1.924364,29680
1.925896,29405
1.927426,29501
1.928964,29406
1.930495,29401
1.932030,29472
1.933562,29409
1.934981,26845
1.936485,29297
1.938018,29408
1.939596,30336
1.941130,29410
1.942660,29390
1.944195,29483
1.945741,29686
1.947273,29474
1.948809,29424
1.950340,29402
1.951875,29477
1.953408,29416
1.954940,29410
1.956528,30409
1.958051,29252
1.959682,31340
1.961084,26539
1.962454,26267
1.963953,29245
1.965485,29379
1.967026,29600
1.968557,29398
1.970088,29395
1.971662,30228
1.973253,31503
1.974709,26639
1.976216,29305
1.977636,26845
1.979137,29251
1.980671,29458
1.982204,29400
1.983738,29484
1.985272,29431
1.986802,29409
1.988227,26967
1.989733,29311
1.991267,29535
1.992807,29482
1.994341,29454
1.995878,29525
1.997415,29483
1.998962,29702
2.000088,21235
