elapsed_s,TSE_BE_CINVOCATION,TSE_BE_CPRIMITIVES,TSE_BE_2D_INPUT_PRIM,TSE_BE_2D_ALIVE_CYCLES
1.386921,0,0,0,0
1.388474,0,0,0,0
1.390029,0,0,0,0
1.391597,0,0,0,0
1.393149,0,0,0,0
1.394748,0,0,0,0
1.396302,0,0,0,0
1.397854,0,0,0,0
1.399410,0,0,0,0
1.400962,0,0,0,0
1.402575,0,0,0,0
1.404050,0,0,0,0
1.405579,0,0,0,0
1.407136,0,0,0,0
1.408691,0,0,0,0
1.410247,0,0,0,0
1.411849,0,0,0,0
1.413292,0,0,0,0
1.414819,0,0,0,0
1.416375,0,0,0,0
1.417930,0,0,0,0
1.419487,0,0,0,0
1.421040,0,0,0,0
1.422596,0,0,0,0
1.424166,0,0,0,0
1.425720,0,0,0,0
1.427281,0,0,0,0
1.428836,0,0,0,0
1.430392,0,0,0,0
1.431948,0,0,0,0
1.433503,0,0,0,0
1.435117,0,0,0,0
1.436673,0,0,0,0
1.438229,0,0,0,0
1.439785,0,0,0,0
1.441340,0,0,0,0
1.442939,0,0,0,0
1.444495,0,0,0,0
1.446066,0,0,0,0
1.447622,0,0,0,0
1.449175,0,0,0,0
1.450777,0,0,0,0
1.452334,0,0,0,0
1.453887,0,0,0,0
1.455441,0,0,0,0
1.457000,0,0,0,0
1.458443,0,0,0,0
1.459967,0,0,0,0
1.461521,0,0,0,0
1.463075,0,0,0,0
1.464631,0,0,0,0
1.466768,0,0,0,0
1.468303,0,0,0,0
1.469855,0,0,0,0
1.471413,0,0,0,0
1.472965,0,0,0,0
1.474564,0,0,0,0
1.476149,0,0,0,0
1.477748,0,0,0,0
1.479274,0,0,0,0
1.480795,0,0,0,0
1.482441,0,0,0,0
1.483997,0,0,0,0
1.485549,0,0,0,0
1.487102,0,0,0,0
1.488656,0,0,0,0
1.490224,0,0,0,0
1.491823,0,0,0,0
1.493374,0,0,0,0
1.494928,0,0,0,0
1.496481,0,0,0,0
1.498036,0,0,0,0
1.499590,0,0,0,0
1.501154,0,0,0,0
1.502709,0,0,0,0
1.504262,0,0,0,0
1.505685,0,0,0,0
1.507168,0,0,0,0
1.508557,0,0,0,0
1.509971,0,0,0,0
1.511365,0,0,0,0
1.512748,0,0,0,0
1.514142,0,0,0,0
1.515564,0,0,0,0
1.516947,0,0,0,0
1.518332,0,0,0,0
1.519727,0,0,0,0
1.521447,0,0,0,0
1.522958,0,0,0,0
