elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
0.638750,0,0,0,0
0.640301,0,0,0,0
0.641850,0,0,0,0
0.643445,0,0,0,0
0.644994,0,0,0,0
0.646555,0,0,0,0
0.648104,0,0,0,0
0.649643,0,0,0,0
0.651060,0,0,0,0
0.652579,0,0,0,0
0.654126,0,0,0,0
0.655674,0,0,0,0
0.657235,0,0,0,0
0.658785,0,0,0,0
0.660376,0,0,0,0
0.661923,0,0,0,0
0.663473,0,0,0,0
0.665021,0,0,0,0
0.666568,0,0,0,0
0.668135,0,0,0,0
0.669682,0,0,0,0
0.671232,0,0,0,0
0.672781,0,0,0,0
0.674328,0,0,0,0
0.675790,0,0,0,0
0.677309,0,0,0,0
0.678872,0,0,0,0
0.680421,0,0,0,0
0.681968,0,0,0,0
0.683517,0,0,0,0
0.685064,0,0,0,0
0.686488,0,0,0,0
0.688039,0,0,0,0
0.689599,0,0,0,0
0.691191,0,0,0,0
0.692737,0,0,0,0
0.694284,0,0,0,0
0.695832,0,0,0,0
0.697379,0,0,0,0
0.698928,0,0,0,0
0.700490,0,0,0,0
0.702035,0,0,0,0
0.703583,0,0,0,0
0.705132,0,0,0,0
0.706741,0,0,0,0
0.708242,0,0,0,0
0.709789,0,0,0,0
0.711352,0,0,0,0
0.712900,0,0,0,0
0.714445,0,0,0,0
