elapsed_s,TSE_CLIP_CODE_WORKING_CYCLE_L1,TSE_CLIP_WORKING_CYCLE_L1,TSE_CLIP_CTRL_WORKING_CYCLE_L2,TSE_CLIP_VP_FMUL_WORKING_CYCLE_L2
0.420937,0,0,0,0
0.422486,0,0,0,0
0.424055,0,0,0,0
0.425604,0,0,0,0
0.427156,0,0,0,0
0.428706,0,0,0,0
0.430254,0,0,0,0
0.431847,0,0,0,0
0.433397,0,0,0,0
0.434961,0,0,0,0
0.436511,0,0,0,0
0.438059,0,0,0,0
0.439652,0,0,0,0
0.441203,0,0,0,0
0.442754,0,0,0,0
0.444304,0,0,0,0
0.445867,0,0,0,0
0.447461,0,0,0,0
0.449011,0,0,0,0
0.450559,0,0,0,0
0.452012,0,0,0,0
0.453559,0,0,0,0
0.455155,0,0,0,0
0.456720,0,0,0,0
0.458267,0,0,0,0
0.459816,0,0,0,0
0.461367,0,0,0,0
0.462918,0,0,0,0
0.464512,0,0,0,0
0.466060,0,0,0,0
0.467622,0,0,0,0
0.469173,0,0,0,0
0.470725,0,0,0,0
0.472275,0,0,0,0
0.473823,0,0,0,0
0.475374,0,0,0,0
0.476924,0,0,0,0
0.478486,0,0,0,0
0.480040,0,0,0,0
0.481589,0,0,0,0
0.483140,0,0,0,0
0.484690,0,0,0,0
0.486238,0,0,0,0
0.487831,0,0,0,0
0.489394,0,0,0,0
0.490946,0,0,0,0
0.492486,0,0,0,0
0.494026,0,0,0,0
0.495486,0,0,0,0
0.497068,0,0,0,0
0.498613,0,0,0,0
0.500071,0,0,0,0
0.501568,0,0,0,0
0.503145,0,0,0,0
0.504694,0,0,0,0
0.506240,0,0,0,0
0.507787,0,0,0,0
0.509286,0,0,0,0
0.510906,0,0,0,0
0.512310,0,0,0,0
0.513696,0,0,0,0
0.515078,0,0,0,0
0.516460,0,0,0,0
0.517841,0,0,0,0
0.519261,0,0,0,0
0.520642,0,0,0,0
0.522031,0,0,0,0
0.523410,0,0,0,0
0.524916,0,0,0,0
0.526455,0,0,0,0
0.528058,0,0,0,0
0.529597,0,0,0,0
0.531012,0,0,0,0
0.532536,0,0,0,0
0.534076,0,0,0,0
