elapsed_s,TSE_BE_INPUT_NULL_PRIM,TSE_BE_TRIVAL_REJ_PRIM,TSE_BE_CLIPPED_PRIM,TSE_BE_ZERO_AREA_PRIM
0.695310,0,0,0,0
0.696860,0,0,0,0
0.698423,0,0,0,0
0.699973,0,0,0,0
0.701399,0,0,0,0
0.702922,0,0,0,0
0.704493,0,0,0,0
0.706041,0,0,0,0
0.707592,0,0,0,0
0.709155,0,0,0,0
0.710704,0,0,0,0
0.712259,0,0,0,0
0.713808,0,0,0,0
0.715359,0,0,0,0
0.716909,0,0,0,0
0.718457,0,0,0,0
0.720062,0,0,0,0
0.721611,0,0,0,0
0.723162,0,0,0,0
0.724712,0,0,0,0
0.726260,0,0,0,0
0.727889,0,0,0,0
0.729439,0,0,0,0
0.731005,0,0,0,0
0.732556,0,0,0,0
0.734103,0,0,0,0
0.735699,0,0,0,0
0.737248,0,0,0,0
0.738796,0,0,0,0
0.740349,0,0,0,0
0.741911,0,0,0,0
0.743506,0,0,0,0
0.744935,0,0,0,0
0.746461,0,0,0,0
0.748011,0,0,0,0
0.749563,0,0,0,0
0.751116,0,0,0,0
0.752726,0,0,0,0
0.754275,0,0,0,0
0.755825,0,0,0,0
0.757375,0,0,0,0
0.758924,0,0,0,0
0.760537,0,0,0,0
0.761929,0,0,0,0
0.763457,0,0,0,0
0.765008,0,0,0,0
0.766557,0,0,0,0
0.768152,0,0,0,0
0.769703,0,0,0,0
0.771256,0,0,0,0
0.772805,0,0,0,0
0.774367,0,0,0,0
0.775962,0,0,0,0
0.777512,0,0,0,0
0.779065,0,0,0,0
0.780606,0,0,0,0
0.782147,0,0,0,0
0.783614,0,0,0,0
0.785151,0,0,0,0
0.786700,0,0,0,0
0.788255,0,0,0,0
0.789805,0,0,0,0
0.791402,0,0,0,0
0.792953,0,0,0,0
0.794503,0,0,0,0
0.796068,0,0,0,0
0.797619,0,0,0,0
0.799172,0,0,0,0
0.800767,0,0,0,0
0.802316,0,0,0,0
0.803866,0,0,0,0
