elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
1.475696,0,0,0,0
1.477302,0,0,0,0
1.478970,0,0,0,0
1.480562,0,0,0,0
1.482195,0,0,0,0
1.483789,0,0,0,0
1.485384,0,0,0,0
1.486979,0,0,0,0
1.488583,0,0,0,0
1.490179,0,0,0,0
1.491774,0,0,0,0
1.493369,0,0,0,0
1.494964,0,0,0,0
1.496557,0,0,0,0
1.498150,0,0,0,0
1.499759,0,0,0,0
1.501442,0,0,0,0
1.502984,0,0,0,0
1.504412,0,0,0,0
1.505972,0,0,0,0
1.507559,0,0,0,0
1.509168,0,0,0,0
1.510603,0,0,0,0
1.512175,0,0,0,0
1.513772,0,0,0,0
1.515368,0,0,0,0
1.516962,0,0,0,0
1.518639,0,0,0,0
1.520234,0,0,0,0
1.521844,0,0,0,0
1.523439,0,0,0,0
1.525032,0,0,0,0
1.526676,0,0,0,0
1.528270,0,0,0,0
1.529868,0,0,0,0
1.531463,0,0,0,0
1.533069,0,0,0,0
1.534670,0,0,0,0
1.536263,0,0,0,0
1.537859,0,0,0,0
1.539445,0,0,0,0
1.541029,0,0,0,0
1.542609,0,0,0,0
1.544212,0,0,0,0
1.545807,0,0,0,0
1.547400,0,0,0,0
1.548991,0,0,0,0
1.550644,0,0,0,0
1.552236,0,0,0,0
1.553829,0,0,0,0
1.555436,0,0,0,0
1.556898,0,0,0,0
