elapsed_s,TP_DIVERGENT_QUADS_RECEIVED,TP_PRT_NON_RESIDENT_EVENTS,TP_OUTPUT_PIXELS_POINT,TP_OUTPUT_PIXELS_BILINEAR,TP_OUTPUT_PIXELS_MIP,TP_OUTPUT_PIXELS_ANISO,TP_OUTPUT_PIXELS_ZERO_LOD,TP_FLAG_CACHE_REQUESTS,TP_FLAG_CACHE_MISSES,TP_L1_5_L2_REQUESTS,TP_2D_OUTPUT_PIXELS,TP_2D_OUTPUT_PIXELS_POINT
0.432834,0,0,0,0,0,0,0,0,0,0,0,0
0.434186,0,0,0,0,0,0,0,0,0,0,0,0
0.435582,0,0,0,0,0,0,0,0,0,0,0,0
0.436932,0,0,0,0,0,0,0,0,0,0,0,0
0.438282,0,0,0,0,0,0,0,0,0,0,0,0
0.439663,0,0,0,0,0,0,0,0,0,0,0,0
0.441007,0,0,0,0,0,0,0,0,0,0,0,0
0.442350,0,0,0,0,0,0,0,0,0,0,0,0
0.443696,0,0,0,0,0,0,0,0,0,0,0,0
0.445051,0,0,0,0,0,0,0,0,0,0,0,0
0.446381,0,0,0,0,0,0,0,0,0,0,0,0
0.447724,0,0,0,0,0,0,0,0,0,0,0,0
0.449054,0,0,0,0,0,0,0,0,0,0,0,0
0.450385,0,0,0,0,0,0,0,0,0,0,0,0
0.451733,0,0,0,0,0,0,0,0,0,0,0,0
0.453070,0,0,0,0,0,0,0,0,0,0,0,0
0.454401,0,0,0,0,0,0,0,0,0,0,0,0
0.455744,0,0,0,0,0,0,0,0,0,0,0,0
0.457076,0,0,0,0,0,0,0,0,0,0,0,0
0.458408,0,0,0,0,0,0,0,0,0,0,0,0
0.459760,0,0,0,0,0,0,0,0,0,0,0,0
0.461088,0,0,0,0,0,0,0,0,0,0,0,0
0.462479,0,0,0,0,0,0,0,0,0,0,0,0
0.463871,0,0,0,0,0,0,0,0,0,0,0,0
0.465263,0,0,0,0,0,0,0,0,0,0,0,0
0.466657,0,0,0,0,0,0,0,0,0,0,0,0
0.468049,0,0,0,0,0,0,0,0,0,0,0,0
0.469441,0,0,0,0,0,0,0,0,0,0,0,0
0.470883,0,0,0,0,0,0,0,0,0,0,0,0
0.472331,0,0,0,0,0,0,0,0,0,0,0,0
0.473732,0,0,0,0,0,0,0,0,0,0,0,0
0.475124,0,0,0,0,0,0,0,0,0,0,0,0
0.476531,0,0,0,0,0,0,0,0,0,0,0,0
0.477930,0,0,0,0,0,0,0,0,0,0,0,0
0.479396,0,0,0,0,0,0,0,0,0,0,0,0
0.480777,0,0,0,0,0,0,0,0,0,0,0,0
0.482159,0,0,0,0,0,0,0,0,0,0,0,0
0.483543,0,0,0,0,0,0,0,0,0,0,0,0
0.484951,0,0,0,0,0,0,0,0,0,0,0,0
0.486211,0,0,0,0,0,0,0,0,0,0,0,0
0.487654,0,0,0,0,0,0,0,0,0,0,0,0
0.489060,0,0,0,0,0,0,0,0,0,0,0,0
0.490445,0,0,0,0,0,0,0,0,0,0,0,0
0.491829,0,0,0,0,0,0,0,0,0,0,0,0
0.493304,0,0,0,0,0,0,0,0,0,0,0,0
0.494825,0,0,87040,0,0,0,129024,0,0,19840,0,0
0.496156,0,0,175104,0,0,0,133120,0,0,12928,0,0
0.497601,0,0,0,0,0,0,0,0,0,0,0,0
0.499038,0,0,0,0,0,0,0,0,0,0,0,0
0.500480,0,0,0,0,0,0,0,0,0,0,0,0
0.501912,0,0,0,0,0,0,0,0,0,0,0,0
0.504570,0,0,0,0,0,0,0,0,0,0,0,0
0.506002,0,0,0,0,0,0,0,0,0,0,0,0
0.507431,0,0,0,0,0,0,0,0,0,0,0,0
0.509304,0,0,0,0,0,0,0,0,0,0,0,0
0.513930,0,0,0,0,0,0,0,0,0,0,0,0
0.515818,0,0,0,0,0,0,0,0,0,0,0,0
0.517244,0,0,0,0,0,0,0,0,0,0,0,0
0.518670,0,0,0,0,0,0,0,0,0,0,0,0
0.521096,0,0,0,0,0,0,0,0,0,0,0,0
0.522520,0,0,0,0,0,0,0,0,0,0,0,0
0.524037,0,0,0,0,0,0,0,0,0,0,0,0
0.525513,0,0,0,0,0,0,0,0,0,0,0,0
0.526975,0,0,0,0,0,0,0,0,0,0,0,0
0.528412,0,0,0,0,0,0,0,0,0,0,0,0
0.529798,0,0,0,0,0,0,0,0,0,0,0,0
0.531196,0,0,0,0,0,0,0,0,0,0,0,0
0.532580,0,0,0,0,0,0,0,0,0,0,0,0
0.533962,0,0,0,0,0,0,0,0,0,0,0,0
0.535346,0,0,0,0,0,0,0,0,0,0,0,0
0.536767,0,0,0,0,0,0,0,0,0,0,0,0
0.538149,0,0,0,0,0,0,0,0,0,0,0,0
0.539532,0,0,0,0,0,0,0,0,0,0,0,0
0.541047,0,0,0,0,0,0,0,0,0,0,0,0
0.542542,0,0,0,0,0,0,0,0,0,0,0,0
0.544123,0,0,0,0,0,0,0,0,0,0,0,0
0.545554,0,0,0,0,0,0,0,0,0,0,0,0
