elapsed_s,HLSQ_DUAL_FS_PROG_ACTIVE,HLSQ_DUAL_VS_PROG_ACTIVE,HLSQ_FS_BATCH_COUNT_ZERO,HLSQ_VS_BATCH_COUNT_ZERO,HLSQ_WAVE_PENDING_NO_QUAD,HLSQ_WAVE_PENDING_NO_PRIM_BASE
2.053879,0,0,2027484,2027472,0,0
2.055308,0,0,1997502,1997424,0,0
2.056843,0,0,2053608,2053680,0,0
2.058409,0,0,2057886,2057802,0,0
2.059973,0,0,2056092,2056212,0,0
2.061536,0,0,2054028,2053902,0,0
2.062989,0,0,2006748,2007612,0,0
2.064527,0,0,2052114,2052486,0,0
2.066092,0,0,2245104,2244690,0,0
2.067570,0,0,2212944,2212896,0,0
2.069148,0,0,2118090,2118150,0,0
2.070601,0,0,2024706,2024832,0,0
2.072145,0,0,2055678,2055594,0,0
2.073724,0,0,2061516,2061516,0,0
2.075293,0,0,2036286,2036166,0,0
2.076851,0,0,2040510,2040486,0,0
2.078510,0,0,2079096,2079090,0,0
2.080077,0,0,2047902,2047824,0,0
2.081641,0,0,2054112,2054328,0,0
2.083243,0,0,2057382,2057148,0,0
2.084821,0,0,2065140,2065218,0,0
2.086388,0,0,2056494,2056608,0,0
