elapsed_s,HLSQ_DUAL_FS_PROG_ACTIVE,HLSQ_DUAL_VS_PROG_ACTIVE,HLSQ_FS_BATCH_COUNT_ZERO,HLSQ_VS_BATCH_COUNT_ZERO,HLSQ_WAVE_PENDING_NO_QUAD,HLSQ_WAVE_PENDING_NO_PRIM_BASE
0.287589,0,0,2664426,2664318,0,0
0.289150,0,0,2599230,2599230,0,0
0.290713,0,0,2583870,2583996,0,0
0.292275,0,0,2600790,2600844,0,0
0.293835,0,0,2602386,2602194,0,0
0.295411,0,0,2566386,2566404,0,0
0.296973,0,0,2600802,2600802,0,0
0.298532,0,0,2750142,2750202,0,0
0.300117,0,0,2586720,2586744,0,0
0.301554,0,0,2547918,2547786,0,0
0.303089,0,0,2600832,2600862,0,0
0.304653,0,0,2604246,2604300,0,0
0.306104,0,0,2359380,2357778,0,0
0.307681,0,0,2435646,2435730,0,0
0.309245,0,0,2488218,2488128,0,0
0.310810,0,0,2487948,2487972,0,0
0.312373,0,0,2483808,2483868,0,0
0.313934,0,0,2545116,2545002,0,0
0.315542,0,0,2488980,2489010,0,0
0.317118,0,0,2490834,2490900,0,0
0.318680,0,0,3183510,3183444,0,0
0.320306,0,0,2419770,2419758,0,0
0.321708,0,0,2479518,2479578,0,0
0.323282,0,0,2437650,2437554,0,0
0.324844,0,0,2483856,2483940,0,0
0.326405,0,0,2508420,2508414,0,0
0.327982,0,0,2460972,2460954,0,0
0.329535,0,0,2453910,2453940,0,0
0.330965,0,0,2699646,2699646,0,0
0.332413,0,0,2340660,2340564,0,0
0.333813,0,0,2419128,2419176,0,0
0.335212,0,0,2292648,2292588,0,0
0.336611,0,0,2292852,2292996,0,0
0.338021,0,0,2411052,2410896,0,0
0.339403,0,0,2412510,2412498,0,0
0.340930,0,0,2493942,2493936,0,0
0.342492,0,0,2524734,2524788,0,0
0.344058,0,0,2551218,2551146,0,0
0.345619,0,0,2493630,2493636,0,0
0.347228,0,0,2495412,2495652,0,0
0.348806,0,0,2559774,2559480,0,0
0.350367,0,0,2482818,2482914,0,0
0.351990,0,0,2876148,2876046,0,0
0.353551,0,0,2481456,2481540,0,0
0.355158,0,0,2493324,2493258,0,0
0.356721,0,0,2489022,2489010,0,0
0.358282,0,0,2488446,2488506,0,0
0.359732,0,0,2414454,2414544,0,0
0.361264,0,0,2499108,2499414,0,0
0.362828,0,0,2773314,2772846,0,0
0.364434,0,0,2488392,2488440,0,0
0.365996,0,0,2491962,2491950,0,0
0.367559,0,0,2489688,2489628,0,0
0.369123,0,0,2488890,2488884,0,0
0.370764,0,0,3156492,3156552,0,0
0.372431,0,0,2488386,2488374,0,0
0.373993,0,0,2485026,2485050,0,0
0.375556,0,0,2466768,2466642,0,0
0.377155,0,0,2429766,2429844,0,0
0.378720,0,0,2495928,2495928,0,0
0.380283,0,0,2496144,2496048,0,0
0.381858,0,0,2494926,2495010,0,0
0.383422,0,0,2497122,2497212,0,0
0.384985,0,0,2487042,2486940,0,0
0.386547,0,0,2574954,2574852,0,0
0.388114,0,0,2493378,2493468,0,0
0.389676,0,0,2488944,2489040,0,0
0.391241,0,0,2467254,2467044,0,0
0.392809,0,0,2473134,2473236,0,0
0.394363,0,0,2457702,2457630,0,0
0.396030,0,0,2485290,2485344,0,0
0.397589,0,0,2488500,2488428,0,0
0.399151,0,0,2480022,2480022,0,0
0.400712,0,0,2620716,2620806,0,0
0.402174,0,0,2459418,2459316,0,0
0.403645,0,0,2426286,2426346,0,0
0.405048,0,0,2334636,2334528,0,0
0.406447,0,0,2440524,2440716,0,0
0.407848,0,0,2420718,2420646,0,0
0.409246,0,0,2420508,2420376,0,0
0.410649,0,0,2366478,2366508,0,0
0.412180,0,0,2493282,2493360,0,0
0.413755,0,0,2496264,2496228,0,0
0.415320,0,0,2501502,2501484,0,0
0.416884,0,0,2483664,2483766,0,0
0.418444,0,0,2514684,2514522,0,0
0.420010,0,0,2484654,2484804,0,0
0.421570,0,0,2486070,2485908,0,0
0.423133,0,0,2489652,2489712,0,0
0.424708,0,0,2482500,2482488,0,0
0.426268,0,0,2474946,2474874,0,0
0.427871,0,0,2490648,2490744,0,0
0.429434,0,0,2480652,2480610,0,0
0.430997,0,0,2480082,2480016,0,0
0.432559,0,0,2483442,2483502,0,0
0.434118,0,0,2534292,2534286,0,0
0.435737,0,0,2481648,2481672,0,0
