elapsed_s,RAS_SLICE_BLOCK_EMPTY,RAS_SAMPLE_MASK_GEN_LANE_0_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_1_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_2_WORKING_CC_L2
0.689246,0,0,0,0
0.690841,0,0,0,0
0.692391,0,0,0,0
0.693941,0,0,0,0
0.695372,0,0,0,0
0.696768,0,0,0,0
0.698190,0,0,0,0
0.699595,0,0,0,0
0.701093,0,0,0,0
0.702488,0,0,0,0
0.705205,0,0,0,0
0.706952,0,0,0,0
0.708361,0,0,0,0
0.709747,0,0,0,0
0.711130,0,0,0,0
0.712510,0,0,0,0
0.713892,0,0,0,0
0.715407,0,0,0,0
0.717012,0,0,0,0
0.718574,0,0,0,0
0.720123,0,0,0,0
0.721717,0,0,0,0
0.723268,0,0,0,0
0.724817,0,0,0,0
0.726371,0,0,0,0
0.727921,0,0,0,0
0.729486,0,0,0,0
0.731036,0,0,0,0
0.732620,0,0,0,0
0.734230,0,0,0,0
0.735780,0,0,0,0
0.737331,0,0,0,0
0.738882,0,0,0,0
0.740445,0,0,0,0
0.741995,0,0,0,0
0.743544,0,0,0,0
0.745095,0,0,0,0
0.746645,0,0,0,0
0.748193,0,0,0,0
0.749744,0,0,0,0
0.751307,0,0,0,0
0.752856,0,0,0,0
0.754412,0,0,0,0
0.755960,0,0,0,0
0.757511,0,0,0,0
0.759060,0,0,0,0
0.760608,0,0,0,0
0.762108,0,0,0,0
0.763628,0,0,0,0
0.765180,0,0,0,0
0.766729,0,0,0,0
0.768277,0,0,0,0
0.769872,0,0,0,0
0.771421,0,0,0,0
0.772987,0,0,0,0
0.774536,0,0,0,0
0.776084,0,0,0,0
0.777636,0,0,0,0
0.779185,0,0,0,0
0.780733,0,0,0,0
0.782287,0,0,0,0
0.783848,0,0,0,0
0.785431,0,0,0,0
0.786982,0,0,0,0
0.788526,0,0,0,0
0.790074,0,0,0,0
0.791624,0,0,0,0
0.793174,0,0,0,0
0.794762,0,0,0,0
0.796309,0,0,0,0
0.797858,0,0,0,0
0.799409,0,0,0,0
0.801036,0,0,0,0
0.802567,0,0,0,0
0.803957,0,0,0,0
0.805482,0,0,0,0
0.807032,0,0,0,0
0.808579,0,0,0,0
0.810128,0,0,0,0
0.811676,0,0,0,0
0.813227,0,0,0,0
0.814777,0,0,0,0
0.816336,0,0,0,0
0.817930,0,0,0,0
0.819481,0,0,0,0
0.821031,0,0,0,0
0.822580,0,0,0,0
0.824127,0,0,0,0
0.825677,0,0,0,0
0.827240,0,0,0,0
0.828787,0,0,0,0
0.830361,0,0,0,0
0.831908,0,0,0,0
0.833500,0,0,0,0
0.835049,0,0,0,0
0.836596,0,0,0,0
0.838210,0,0,0,0
0.839758,0,0,0,0
0.841309,0,0,0,0
0.842857,0,0,0,0
0.844405,0,0,0,0
0.845954,0,0,0,0
0.847503,0,0,0,0
0.849066,0,0,0,0
0.850660,0,0,0,0
0.852207,0,0,0,0
0.853757,0,0,0,0
0.855305,0,0,0,0
0.856852,0,0,0,0
0.858405,0,0,0,0
0.859966,0,0,0,0
0.861516,0,0,0,0
0.863065,0,0,0,0
0.864612,0,0,0,0
0.866152,0,0,0,0
0.867672,0,0,0,0
0.869222,0,0,0,0
0.870784,0,0,0,0
0.872331,0,0,0,0
0.873880,0,0,0,0
0.875427,0,0,0,0
0.877030,0,0,0,0
0.878556,0,0,0,0
0.880106,0,0,0,0
0.881715,0,0,0,0
0.883267,0,0,0,0
0.884818,0,0,0,0
0.886375,0,0,0,0
0.887924,0,0,0,0
0.889477,0,0,0,0
0.891028,0,0,0,0
0.892592,0,0,0,0
0.894013,0,0,0,0
0.895525,0,0,0,0
0.897093,0,0,0,0
0.898686,0,0,0,0
0.900234,0,0,0,0
0.901785,0,0,0,0
0.903349,0,0,0,0
0.904897,0,0,0,0
0.906450,0,0,0,0
0.907997,0,0,0,0
0.909548,0,0,0,0
0.911098,0,0,0,0
0.912646,0,0,0,0
0.914144,0,0,0,0
0.915664,0,0,0,0
0.917215,0,0,0,0
0.918765,0,0,0,0
0.920313,0,0,0,0
0.921863,0,0,0,0
0.923413,0,0,0,0
0.924978,0,0,0,0
0.926529,0,0,0,0
0.928077,0,0,0,0
0.929670,0,0,0,0
0.931220,0,0,0,0
0.932768,0,0,0,0
0.934322,0,0,0,0
0.935883,0,0,0,0
0.937435,0,0,0,0
0.938985,0,0,0,0
0.940534,0,0,0,0
0.942084,0,0,0,0
0.943633,0,0,0,0
0.945185,0,0,0,0
0.946794,0,0,0,0
0.948343,0,0,0,0
0.949893,0,0,0,0
0.951443,0,0,0,0
0.952994,0,0,0,0
0.955494,0,0,0,0
0.957155,0,0,0,0
0.958571,0,0,0,0
0.960080,0,0,0,0
0.961542,0,0,0,0
0.963060,0,0,0,0
0.964608,0,0,0,0
0.966209,0,0,0,0
0.967771,0,0,0,0
0.969322,0,0,0,0
0.970871,0,0,0,0
0.972418,0,0,0,0
0.973967,0,0,0,0
0.975516,0,0,0,0
0.977066,0,0,0,0
0.979192,0,0,0,0
0.980733,0,0,0,0
0.982360,0,0,0,0
0.983908,0,0,0,0
0.985458,0,0,0,0
0.987007,0,0,0,0
0.988554,0,0,0,0
0.990113,0,0,0,0
0.994131,0,0,0,0
0.995549,0,0,0,0
0.996933,0,0,0,0
0.998457,0,0,0,0
0.999844,0,0,0,0
1.001240,0,0,0,0
1.002627,0,0,0,0
1.004012,0,0,0,0
1.005399,0,0,0,0
1.006781,0,0,0,0
1.008165,0,0,0,0
1.009589,0,0,0,0
1.011552,0,0,0,0
1.013241,0,0,0,0
1.014791,0,0,0,0
1.016340,0,0,0,0
1.017890,0,0,0,0
1.019441,0,0,0,0
1.020993,0,0,0,0
1.022536,0,0,0,0
1.024089,0,0,0,0
1.025552,0,0,0,0
1.027105,0,0,0,0
1.028652,0,0,0,0
1.030290,0,0,0,0
1.031838,0,0,0,0
1.033388,0,0,0,0
1.034824,0,0,0,0
1.036336,0,0,0,0
1.037755,0,0,0,0
1.039273,0,0,0,0
1.040821,0,0,0,0
1.042376,0,0,0,0
1.043923,0,0,0,0
1.045365,0,0,0,0
1.046885,0,0,0,0
1.048432,0,0,0,0
1.049982,0,0,0,0
1.051532,0,0,0,0
1.053083,0,0,0,0
1.054633,0,0,0,0
1.056194,0,0,0,0
1.057789,0,0,0,0
1.059339,0,0,0,0
1.060886,0,0,0,0
1.062440,0,0,0,0
1.063989,0,0,0,0
1.065540,0,0,0,0
1.067102,0,0,0,0
1.068650,0,0,0,0
1.070297,0,0,0,0
1.071846,0,0,0,0
1.073439,0,0,0,0
1.074989,0,0,0,0
1.076538,0,0,0,0
1.077978,0,0,0,0
1.079505,0,0,0,0
1.081059,0,0,0,0
1.082610,0,0,0,0
1.084160,0,0,0,0
1.085713,0,0,0,0
1.087256,0,0,0,0
1.088810,0,0,0,0
1.090235,0,0,0,0
1.091755,0,0,0,0
1.093306,0,0,0,0
1.094854,0,0,0,0
1.096384,0,0,0,0
1.097935,0,0,0,0
1.099374,0,0,0,0
1.100898,0,0,0,0
1.102453,0,0,0,0
1.104005,0,0,0,0
1.105606,0,0,0,0
1.107160,0,0,0,0
1.108746,0,0,0,0
1.110318,0,0,0,0
1.111872,0,0,0,0
1.113428,0,0,0,0
1.114982,0,0,0,0
1.116534,0,0,0,0
1.118500,0,0,0,0
1.120057,0,0,0,0
1.121671,0,0,0,0
1.123226,0,0,0,0
1.124780,0,0,0,0
1.126361,0,0,0,0
1.127914,0,0,0,0
1.129471,0,0,0,0
1.131025,0,0,0,0
1.132592,0,0,0,0
1.134145,0,0,0,0
1.135700,0,0,0,0
1.137255,0,0,0,0
1.138855,0,0,0,0
1.140408,0,0,0,0
1.141964,0,0,0,0
1.143532,0,0,0,0
1.145089,0,0,0,0
1.146644,0,0,0,0
1.148197,0,0,0,0
1.149753,0,0,0,0
1.151299,0,0,0,0
1.152843,0,0,0,0
1.154399,0,0,0,0
1.155885,0,0,0,0
1.157354,0,0,0,0
1.158752,0,0,0,0
1.160321,0,0,0,0
1.161715,0,0,0,0
1.163105,0,0,0,0
1.164503,0,0,0,0
1.167523,0,0,0,0
1.169043,0,0,0,0
1.170644,0,0,0,0
1.172197,0,0,0,0
1.173752,0,0,0,0
1.175322,0,0,0,0
1.176875,0,0,0,0
1.178435,0,0,0,0
1.179989,0,0,0,0
1.181546,0,0,0,0
1.183100,0,0,0,0
1.184653,0,0,0,0
1.186181,0,0,0,0
1.187705,0,0,0,0
1.189262,0,0,0,0
1.190816,0,0,0,0
1.192369,0,0,0,0
1.193924,0,0,0,0
1.195479,0,0,0,0
1.197047,0,0,0,0
1.198602,0,0,0,0
1.200156,0,0,0,0
1.201756,0,0,0,0
1.203310,0,0,0,0
1.204861,0,0,0,0
1.206417,0,0,0,0
1.207982,0,0,0,0
1.209508,0,0,0,0
1.211688,0,0,0,0
1.213466,0,0,0,0
1.214915,0,0,0,0
1.216407,0,0,0,0
1.218329,0,0,0,0
1.219853,0,0,0,0
1.221548,0,0,0,0
1.223219,0,0,0,0
1.224916,0,0,0,0
1.226552,0,0,0,0
1.228780,0,0,0,0
1.230322,0,0,0,0
1.232499,0,0,0,0
1.233926,0,0,0,0
1.235291,0,0,0,0
1.236652,0,0,0,0
1.238017,0,0,0,0
1.239377,0,0,0,0
1.240752,0,0,0,0
1.242107,0,0,0,0
1.243471,0,0,0,0
1.244835,0,0,0,0
1.246248,0,0,0,0
1.247577,0,0,0,0
1.248894,0,0,0,0
1.250230,0,0,0,0
1.251630,0,0,0,0
1.253023,0,0,0,0
1.254412,0,0,0,0
1.255930,0,0,0,0
1.257486,0,0,0,0
1.259032,0,0,0,0
1.260575,0,0,0,0
1.262011,0,0,0,0
1.263534,0,0,0,0
1.265089,0,0,0,0
1.266688,0,0,0,0
1.268240,0,0,0,0
1.269796,0,0,0,0
1.271349,0,0,0,0
1.272912,0,0,0,0
1.274334,0,0,0,0
1.275727,0,0,0,0
1.277246,0,0,0,0
1.278946,0,0,0,0
1.280348,0,0,0,0
1.281916,0,0,0,0
1.283360,0,0,0,0
1.284884,0,0,0,0
1.286443,0,0,0,0
1.287997,0,0,0,0
1.289555,0,0,0,0
1.291111,0,0,0,0
1.292665,0,0,0,0
1.294311,0,0,0,0
1.295866,0,0,0,0
1.297467,0,0,0,0
1.299022,0,0,0,0
1.300576,0,0,0,0
1.302133,0,0,0,0
1.303689,0,0,0,0
1.305259,0,0,0,0
1.306815,0,0,0,0
1.308367,0,0,0,0
1.309815,0,0,0,0
1.311367,0,0,0,0
1.312921,0,0,0,0
1.314405,0,0,0,0
1.315811,0,0,0,0
1.317333,0,0,0,0
1.318884,0,0,0,0
1.320435,0,0,0,0
1.321987,0,0,0,0
1.323540,0,0,0,0
1.325093,0,0,0,0
1.326664,0,0,0,0
1.328215,0,0,0,0
1.329663,0,0,0,0
1.331210,0,0,0,0
1.332760,0,0,0,0
1.334315,0,0,0,0
1.335865,0,0,0,0
1.337430,0,0,0,0
1.338983,0,0,0,0
1.340532,0,0,0,0
1.342084,0,0,0,0
1.343635,0,0,0,0
1.345189,0,0,0,0
1.346785,0,0,0,0
1.348348,0,0,0,0
1.349900,0,0,0,0
1.351442,0,0,0,0
1.353057,0,0,0,0
1.354484,0,0,0,0
1.355875,0,0,0,0
1.357393,0,0,0,0
1.358955,0,0,0,0
1.360504,0,0,0,0
1.362098,0,0,0,0
1.363649,0,0,0,0
1.365201,0,0,0,0
1.366752,0,0,0,0
1.368302,0,0,0,0
1.369745,0,0,0,0
1.371267,0,0,0,0
1.372816,0,0,0,0
1.374371,0,0,0,0
1.375920,0,0,0,0
1.377516,0,0,0,0
1.379067,0,0,0,0
1.380629,0,0,0,0
1.382244,0,0,0,0
1.383793,0,0,0,0
1.385345,0,0,0,0
1.386895,0,0,0,0
1.388445,0,0,0,0
1.389995,0,0,0,0
1.391558,0,0,0,0
1.393111,0,0,0,0
1.394706,0,0,0,0
1.396256,0,0,0,0
1.397808,0,0,0,0
1.399359,0,0,0,0
1.400909,0,0,0,0
1.402338,0,0,0,0
1.403730,0,0,0,0
1.405248,0,0,0,0
1.406799,0,0,0,0
1.408348,0,0,0,0
1.409942,0,0,0,0
1.411494,0,0,0,0
1.413060,0,0,0,0
1.414611,0,0,0,0
1.416159,0,0,0,0
1.417711,0,0,0,0
1.419261,0,0,0,0
1.420810,0,0,0,0
1.422364,0,0,0,0
1.423801,0,0,0,0
1.425327,0,0,0,0
1.426880,0,0,0,0
1.428432,0,0,0,0
1.429938,0,0,0,0
1.431426,0,0,0,0
1.433112,0,0,0,0
1.434665,0,0,0,0
1.436210,0,0,0,0
1.437632,0,0,0,0
1.439155,0,0,0,0
1.440706,0,0,0,0
1.442263,0,0,0,0
1.443815,0,0,0,0
1.445388,0,0,0,0
1.446943,0,0,0,0
1.448508,0,0,0,0
1.449952,0,0,0,0
1.451482,0,0,0,0
1.453038,0,0,0,0
1.454594,0,0,0,0
1.456161,0,0,0,0
1.457761,0,0,0,0
1.459317,0,0,0,0
1.460871,0,0,0,0
1.462430,0,0,0,0
1.463983,0,0,0,0
1.465539,0,0,0,0
1.467108,0,0,0,0
1.468662,0,0,0,0
1.470300,0,0,0,0
1.471845,0,0,0,0
1.473267,0,0,0,0
