elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_15_WORKING_CC_L2,RAS_EMPTY_SBLOCK_SCAN_CYCLE_PERFCOUNTER,RAS_STEGN_STALL_BY_LATENCY_FIFO,RAS_STALL_CYCLES_LRZ_PREFETCH
0.394631,0,0,0,0
0.396184,0,0,0,0
0.397815,0,0,0,0
0.399345,0,0,0,0
0.400738,0,0,0,0
0.402256,0,0,0,0
0.403820,0,0,0,0
0.405369,0,0,0,0
0.406981,0,0,0,0
0.408532,0,0,0,0
0.410085,0,0,0,0
0.411635,0,0,0,0
0.413185,0,0,0,0
0.414793,0,0,0,0
0.416344,0,0,0,0
0.417897,0,0,0,0
0.419438,0,0,0,0
0.420978,0,0,0,0
0.422437,0,0,0,0
0.423955,0,0,0,0
0.425515,0,0,0,0
0.427068,0,0,0,0
0.428617,0,0,0,0
0.430209,0,0,0,0
0.431759,0,0,0,0
0.433306,0,0,0,0
0.434856,0,0,0,0
0.436418,0,0,0,0
0.437969,0,0,0,0
0.439562,0,0,0,0
0.441109,0,0,0,0
0.442659,0,0,0,0
0.444208,0,0,0,0
0.445758,0,0,0,0
0.447362,0,0,0,0
0.448910,0,0,0,0
0.450460,0,0,0,0
0.452009,0,0,0,0
0.453555,0,0,0,0
0.454985,0,0,0,0
0.456376,0,0,0,0
0.457902,0,0,0,0
0.459452,0,0,0,0
0.460998,0,0,0,0
0.462593,0,0,0,0
0.464143,0,0,0,0
0.465689,0,0,0,0
0.467261,0,0,0,0
0.468820,0,0,0,0
0.470416,0,0,0,0
0.471964,0,0,0,0
0.473511,0,0,0,0
0.475064,0,0,0,0
0.476611,0,0,0,0
0.478203,0,0,0,0
0.479732,0,0,0,0
0.481152,0,0,0,0
0.482602,0,0,0,0
0.484015,0,0,0,0
0.485486,0,0,0,0
0.486913,0,0,0,0
0.488299,0,0,0,0
0.489695,0,0,0,0
0.491702,0,0,0,0
0.495067,0,0,0,0
0.496433,0,0,0,0
0.497779,0,0,0,0
0.499119,0,0,0,0
0.500472,0,0,0,0
0.501813,0,0,0,0
0.503281,0,0,0,0
0.504843,0,0,0,0
0.506393,0,0,0,0
0.508009,0,0,0,0
0.509456,0,0,0,0
0.510910,0,0,0,0
0.512301,0,0,0,0
0.513687,0,0,0,0
0.515078,0,0,0,0
0.516465,0,0,0,0
0.518143,0,0,0,0
0.519595,0,0,0,0
0.520992,0,0,0,0
0.523009,0,0,0,0
0.524498,0,0,0,0
0.525895,0,0,0,0
0.527317,0,0,0,0
0.528703,0,0,0,0
0.530091,0,0,0,0
0.531487,0,0,0,0
0.532874,0,0,0,0
0.534436,0,0,0,0
0.535987,0,0,0,0
0.537536,0,0,0,0
0.539089,0,0,0,0
0.540639,0,0,0,0
0.542248,0,0,0,0
0.543800,0,0,0,0
0.545350,0,0,0,0
0.546900,0,0,0,0
0.548451,0,0,0,0
0.550003,0,0,0,0
0.551597,0,0,0,0
0.553159,0,0,0,0
0.554708,0,0,0,0
0.556256,0,0,0,0
0.557808,0,0,0,0
0.559403,0,0,0,0
0.560953,0,0,0,0
0.562504,0,0,0,0
0.564068,0,0,0,0
0.565616,0,0,0,0
0.567172,0,0,0,0
0.568720,0,0,0,0
0.570271,0,0,0,0
0.571821,0,0,0,0
