elapsed_s,HLSQ_FS_S2W_CYCLES,HLSQ_LPAC_S2W_CYCLES,HLSQ_BV_S2W_CYCLES,HLSQ_VSBR_WAIT_FS_S2W,HLSQ_FS_WAIT_VS_S2W,HLSQ_LPAC_WAIT_VS_S2W
0.114395,0,0,0,0,0,0
0.115839,0,0,0,0,0,0
0.117249,0,0,0,0,0,0
0.118669,0,0,0,0,0,0
0.120270,0,0,0,0,0,0
0.121662,0,0,0,0,0,0
0.124325,0,0,0,0,0,0
0.125717,0,0,0,0,0,0
0.127108,0,0,0,0,0,0
0.128495,0,0,0,0,0,0
0.129891,0,0,0,0,0,0
0.131344,0,0,0,0,0,0
0.132735,0,0,0,0,0,0
0.134194,0,0,0,0,0,0
0.135619,0,0,0,0,0,0
0.137015,0,0,0,0,0,0
0.138406,0,0,0,0,0,0
0.139798,0,0,0,0,0,0
0.141523,0,0,0,0,0,0
0.142915,0,0,0,0,0,0
0.144432,0,0,0,0,0,0
0.145983,0,0,0,0,0,0
0.147469,0,0,0,0,0,0
0.148868,0,0,0,0,0,0
0.150418,0,0,0,0,0,0
0.151897,0,0,0,0,0,0
0.153410,0,0,0,0,0,0
0.154811,0,0,0,0,0,0
0.156374,0,0,0,0,0,0
0.157935,0,0,0,0,0,0
0.159496,0,0,0,0,0,0
0.161057,0,0,0,0,0,0
0.162552,0,0,0,0,0,0
0.164085,0,0,0,0,0,0
0.165647,0,0,0,0,0,0
0.167208,0,0,0,0,0,0
0.168770,0,0,0,0,0,0
0.170334,0,0,0,0,0,0
0.171896,0,0,0,0,0,0
0.173469,0,0,0,0,0,0
0.175031,0,0,0,0,0,0
0.176592,0,0,0,0,0,0
0.178156,0,0,0,0,0,0
0.179717,0,0,0,0,0,0
0.181277,0,0,0,0,0,0
0.182839,0,0,0,0,0,0
0.184415,0,0,0,0,0,0
0.185975,0,0,0,0,0,0
0.187542,0,0,0,0,0,0
0.189100,0,0,0,0,0,0
0.190663,0,0,0,0,0,0
0.192225,0,0,0,0,0,0
0.193784,0,0,0,0,0,0
0.195300,0,0,0,0,0,0
0.196833,0,0,0,0,0,0
0.198396,0,0,0,0,0,0
0.199957,0,0,0,0,0,0
0.201517,0,0,0,0,0,0
0.203078,0,0,0,0,0,0
0.204640,0,0,0,0,0,0
0.206216,0,0,0,0,0,0
0.207778,0,0,0,0,0,0
0.209338,0,0,0,0,0,0
0.210944,0,0,0,0,0,0
0.212496,0,0,0,0,0,0
0.214047,0,0,0,0,0,0
0.215619,0,0,0,0,0,0
0.217192,0,0,0,0,0,0
0.218755,0,0,0,0,0,0
0.220316,0,0,0,0,0,0
0.221877,0,0,0,0,0,0
0.223441,0,0,0,0,0,0
0.225003,0,0,0,0,0,0
0.226610,0,0,0,0,0,0
0.228185,0,0,0,0,0,0
0.229745,0,0,0,0,0,0
0.231478,0,0,0,0,0,0
0.233040,0,0,0,0,0,0
0.234603,0,0,0,0,0,0
0.236166,0,0,0,0,0,0
0.237725,0,0,0,0,0,0
0.239172,0,0,0,0,0,0
0.240704,0,0,0,0,0,0
0.242267,0,0,0,0,0,0
0.243873,0,0,0,0,0,0
0.245433,0,0,0,0,0,0
0.246995,0,0,0,0,0,0
0.248548,0,0,0,0,0,0
0.250204,0,0,0,0,0,0
0.251774,0,0,0,0,0,0
0.253327,0,0,0,0,0,0
0.254759,0,0,0,0,0,0
0.256291,0,0,0,0,0,0
0.257852,0,0,0,0,0,0
0.259419,0,0,0,0,0,0
0.260992,0,0,0,0,0,0
0.262555,0,0,0,0,0,0
0.264118,0,0,0,0,0,0
0.265677,0,0,0,0,0,0
0.267238,0,0,0,0,0,0
0.268800,0,0,0,0,0,0
0.270364,0,0,0,0,0,0
0.271938,0,0,0,0,0,0
0.273499,0,0,0,0,0,0
0.275104,0,0,0,0,0,0
0.276667,0,0,0,0,0,0
0.278230,0,0,0,0,0,0
0.279792,0,0,0,0,0,0
0.281352,0,0,0,0,0,0
0.282927,0,0,0,0,0,0
0.284490,0,0,0,0,0,0
0.286051,0,0,0,0,0,0
0.287537,0,0,0,0,0,0
0.288938,0,0,0,0,0,0
0.290557,0,0,0,0,0,0
0.292119,0,0,0,0,0,0
0.293692,0,0,0,0,0,0
0.295254,0,0,0,0,0,0
0.296816,0,0,0,0,0,0
