elapsed_s,TSE_NON_CLIP_WORKING_CYCLES,TSE_NULL_WORKING_CYCLES,TSE_OUT_PRIM_WORKING_CYCLES,TSE_INPUT_VERTEX_WORKING_CYCLES
0.819506,0,0,0,0
0.820895,0,0,0,0
0.822240,0,0,0,0
0.823582,0,0,0,0
0.824925,0,0,0,0
0.826263,0,0,0,0
0.827603,0,0,0,0
0.828942,0,0,0,0
0.830281,0,0,0,0
0.831620,0,0,0,0
0.832967,0,0,0,0
0.834307,0,0,0,0
0.835645,0,0,0,0
0.837014,0,0,0,0
0.838426,0,0,0,0
0.839835,0,0,0,0
0.841245,0,0,0,0
0.842654,0,0,0,0
0.844067,0,0,0,0
0.845369,0,0,0,0
0.846779,0,0,0,0
0.848190,0,0,0,0
0.849604,0,0,0,0
0.851023,0,0,0,0
0.852443,0,0,0,0
0.853824,0,0,0,0
0.855194,0,0,0,0
0.856484,0,0,0,0
0.857847,0,0,0,0
0.859209,0,0,0,0
0.860642,0,0,0,0
0.862036,0,0,0,0
0.863483,0,0,0,0
0.864743,0,0,0,0
0.866148,0,0,0,0
0.867529,0,0,0,0
0.868951,0,0,0,0
0.870335,0,0,0,0
0.871717,0,0,0,0
0.873099,0,0,0,0
0.874493,0,0,0,0
0.875903,0,0,0,0
0.877300,0,0,0,0
0.878684,0,0,0,0
0.880071,0,0,0,0
0.881457,0,0,0,0
0.882840,0,0,0,0
0.884223,0,0,0,0
0.885600,0,0,0,0
0.888203,0,0,0,0
0.889583,0,0,0,0
0.890963,0,0,0,0
0.894468,0,0,0,0
0.898085,0,0,0,0
0.899507,0,0,0,0
0.901360,0,0,0,0
0.902762,0,0,0,0
0.904142,0,0,0,0
0.905522,0,0,0,0
0.906901,0,0,0,0
0.908281,0,0,0,0
0.909679,0,0,0,0
0.911056,0,0,0,0
0.912482,0,0,0,0
