elapsed_s,TSE_MVC_STALL_VPC,TSE_VPC_STARVE_TSE,TSE_WORKING_CYCLE_L0
1.476793,0,0,0
1.478353,0,0,0
1.479900,0,0,0
1.481448,0,0,0
1.482996,0,0,0
1.484542,0,0,0
1.486089,0,0,0
1.487640,0,0,0
1.489199,0,0,0
1.490788,0,0,0
1.492334,0,0,0
1.493882,0,0,0
1.495420,0,0,0
1.496955,0,0,0
1.498617,0,0,0
1.500174,0,0,0
1.501722,0,0,0
1.503310,0,0,0
1.504853,0,0,0
1.506399,0,0,0
1.507946,0,0,0
1.509493,0,0,0
1.511051,0,0,0
1.512596,0,0,0
1.514142,0,0,0
1.515687,0,0,0
1.517314,0,0,0
1.518725,0,0,0
1.520110,0,0,0
1.521633,0,0,0
1.523179,0,0,0
1.524723,0,0,0
1.526136,0,0,0
