elapsed_s,TSE_NEVER_COUNT,TSE_BE_BUSY_CYCLES,TSE_BE_CLIPPING_CYCLES,TSE_BE_STALL_CYCLES_RAS
0.891064,0,0,0,0
0.895395,0,0,0,0
0.896780,0,0,0,0
0.898222,0,0,0,0
0.899736,0,0,0,0
0.901135,0,0,0,0
0.902475,0,0,0,0
0.903815,0,0,0,0
0.905154,0,0,0,0
0.906492,0,0,0,0
0.907831,0,0,0,0
0.909170,0,0,0,0
0.910507,0,0,0,0
0.911854,0,0,0,0
0.913323,0,0,0,0
0.914757,0,0,0,0
0.916284,0,0,0,0
0.917823,0,0,0,0
0.919223,0,0,0,0
0.920618,0,0,0,0
0.922020,0,0,0,0
0.923538,0,0,0,0
0.925086,0,0,0,0
0.926634,0,0,0,0
0.928059,0,0,0,0
0.929623,0,0,0,0
0.931173,0,0,0,0
0.932810,0,0,0,0
0.934201,0,0,0,0
0.935720,0,0,0,0
0.937273,0,0,0,0
0.938822,0,0,0,0
0.940373,0,0,0,0
0.941925,0,0,0,0
0.943491,0,0,0,0
0.945086,0,0,0,0
0.946636,0,0,0,0
0.948189,0,0,0,0
0.949741,0,0,0,0
0.951289,0,0,0,0
0.952884,0,0,0,0
0.954444,0,0,0,0
0.955998,0,0,0,0
0.957549,0,0,0,0
0.959100,0,0,0,0
0.960654,0,0,0,0
0.962258,0,0,0,0
0.963811,0,0,0,0
0.965376,0,0,0,0
0.966926,0,0,0,0
0.968478,0,0,0,0
0.970030,0,0,0,0
0.971671,0,0,0,0
0.973141,0,0,0,0
0.974535,0,0,0,0
0.975936,0,0,0,0
0.977497,0,0,0,0
0.979047,0,0,0,0
0.980652,0,0,0,0
0.982201,0,0,0,0
0.983754,0,0,0,0
0.985305,0,0,0,0
0.986868,0,0,0,0
0.988419,0,0,0,0
0.989970,0,0,0,0
0.991523,0,0,0,0
0.993118,0,0,0,0
0.994668,0,0,0,0
0.996220,0,0,0,0
0.997785,0,0,0,0
0.999399,0,0,0,0
1.001006,0,0,0,0
1.002547,0,0,0,0
1.003966,0,0,0,0
1.005435,0,0,0,0
1.006980,0,0,0,0
1.008596,0,0,0,0
1.010192,0,0,0,0
1.011744,0,0,0,0
1.013293,0,0,0,0
1.014842,0,0,0,0
1.016391,0,0,0,0
1.017940,0,0,0,0
1.019502,0,0,0,0
1.021048,0,0,0,0
1.022595,0,0,0,0
1.024146,0,0,0,0
1.025697,0,0,0,0
1.027243,0,0,0,0
1.028797,0,0,0,0
1.030358,0,0,0,0
1.031909,0,0,0,0
1.033456,0,0,0,0
1.035001,0,0,0,0
1.036497,0,0,0,0
1.038018,0,0,0,0
1.039568,0,0,0,0
1.041174,0,0,0,0
1.042722,0,0,0,0
1.044271,0,0,0,0
1.045822,0,0,0,0
1.047373,0,0,0,0
1.048923,0,0,0,0
1.050471,0,0,0,0
1.052035,0,0,0,0
1.053585,0,0,0,0
1.055133,0,0,0,0
1.056686,0,0,0,0
1.058235,0,0,0,0
1.059786,0,0,0,0
1.061334,0,0,0,0
1.062901,0,0,0,0
1.064451,0,0,0,0
1.066000,0,0,0,0
1.067498,0,0,0,0
1.069091,0,0,0,0
1.070640,0,0,0,0
1.072192,0,0,0,0
1.073757,0,0,0,0
1.075306,0,0,0,0
1.076799,0,0,0,0
1.078317,0,0,0,0
1.079871,0,0,0,0
1.081421,0,0,0,0
1.082970,0,0,0,0
1.084531,0,0,0,0
1.086082,0,0,0,0
1.087635,0,0,0,0
1.089229,0,0,0,0
1.090779,0,0,0,0
1.092331,0,0,0,0
1.093881,0,0,0,0
1.095447,0,0,0,0
1.096999,0,0,0,0
1.098549,0,0,0,0
1.100101,0,0,0,0
1.101652,0,0,0,0
1.103201,0,0,0,0
1.104755,0,0,0,0
1.106363,0,0,0,0
1.107915,0,0,0,0
1.109466,0,0,0,0
1.111015,0,0,0,0
1.112636,0,0,0,0
1.114185,0,0,0,0
1.115737,0,0,0,0
1.117189,0,0,0,0
1.118717,0,0,0,0
1.120268,0,0,0,0
1.121822,0,0,0,0
1.123376,0,0,0,0
1.124929,0,0,0,0
1.126481,0,0,0,0
1.128048,0,0,0,0
1.129591,0,0,0,0
1.131132,0,0,0,0
1.132965,0,0,0,0
1.134410,0,0,0,0
1.135826,0,0,0,0
1.137258,0,0,0,0
1.138655,0,0,0,0
1.140164,0,0,0,0
1.143089,0,0,0,0
1.144609,0,0,0,0
1.146149,0,0,0,0
1.147565,0,0,0,0
1.149087,0,0,0,0
1.150628,0,0,0,0
1.152046,0,0,0,0
1.153610,0,0,0,0
1.155161,0,0,0,0
1.156714,0,0,0,0
1.158263,0,0,0,0
1.159831,0,0,0,0
1.161383,0,0,0,0
1.162932,0,0,0,0
1.164483,0,0,0,0
1.166035,0,0,0,0
1.167587,0,0,0,0
1.169181,0,0,0,0
1.170743,0,0,0,0
1.172295,0,0,0,0
1.173846,0,0,0,0
1.175399,0,0,0,0
1.176949,0,0,0,0
1.178499,0,0,0,0
1.180051,0,0,0,0
1.181614,0,0,0,0
1.183164,0,0,0,0
1.184689,0,0,0,0
1.186252,0,0,0,0
1.187804,0,0,0,0
1.189355,0,0,0,0
1.190905,0,0,0,0
1.192469,0,0,0,0
1.194020,0,0,0,0
1.195572,0,0,0,0
1.197108,0,0,0,0
1.198658,0,0,0,0
1.200211,0,0,0,0
1.201766,0,0,0,0
1.203329,0,0,0,0
1.204902,0,0,0,0
1.206453,0,0,0,0
1.208007,0,0,0,0
1.209561,0,0,0,0
1.211112,0,0,0,0
1.212669,0,0,0,0
1.214231,0,0,0,0
1.215785,0,0,0,0
1.217380,0,0,0,0
1.218932,0,0,0,0
1.220484,0,0,0,0
