elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
0.290340,0,0,0,0
0.291745,0,0,0,0
0.293148,0,0,0,0
0.294808,0,0,0,0
0.297218,0,0,0,0
0.299524,0,0,0,0
0.300960,0,0,0,0
0.302392,0,0,0,0
0.303815,0,0,0,0
0.305096,0,0,0,0
0.306450,0,0,0,0
0.307803,0,0,0,0
0.309154,0,0,0,0
0.310501,0,0,0,0
0.312005,0,0,0,0
0.313443,0,0,0,0
0.314823,0,0,0,0
0.316169,0,0,0,0
0.317525,0,0,0,0
0.318909,0,0,0,0
0.320288,0,0,0,0
0.321667,0,0,0,0
0.323045,0,0,0,0
0.324424,0,0,0,0
0.325810,0,0,0,0
0.327186,0,0,0,0
0.328563,0,0,0,0
0.329940,0,0,0,0
0.331320,0,0,0,0
0.332700,0,0,0,0
0.334079,0,0,0,0
0.335458,0,0,0,0
0.336903,0,0,0,0
0.338290,0,0,0,0
0.339677,0,0,0,0
0.341100,0,0,0,0
0.342478,0,0,0,0
0.343977,0,0,0,0
0.345530,0,0,0,0
0.347092,0,0,0,0
0.348517,0,0,0,0
0.350030,0,0,0,0
0.351615,0,0,0,0
0.353351,0,0,0,0
0.354912,0,0,0,0
0.356467,0,0,0,0
0.357908,0,0,0,0
0.359430,0,0,0,0
0.360986,0,0,0,0
0.362537,0,0,0,0
0.364090,0,0,0,0
0.365687,0,0,0,0
0.367237,0,0,0,0
0.368802,0,0,0,0
0.370344,0,0,0,0
0.371933,0,0,0,0
0.373482,0,0,0,0
0.375031,0,0,0,0
0.376581,0,0,0,0
0.378131,0,0,0,0
0.379764,0,0,0,0
0.381293,0,0,0,0
0.382683,0,0,0,0
0.384212,0,0,0,0
0.385659,0,0,0,0
0.387049,0,0,0,0
0.388566,0,0,0,0
0.390129,0,0,0,0
0.391745,0,0,0,0
0.393359,0,0,0,0
0.394907,0,0,0,0
0.396458,0,0,0,0
0.398050,0,0,0,0
0.399599,0,0,0,0
0.401168,0,0,0,0
0.402717,0,0,0,0
0.404268,0,0,0,0
0.405819,0,0,0,0
0.407366,0,0,0,0
0.408978,0,0,0,0
0.410526,0,0,0,0
0.412090,0,0,0,0
0.413683,0,0,0,0
0.415232,0,0,0,0
0.416781,0,0,0,0
0.418225,0,0,0,0
0.419580,0,0,0,0
0.420998,0,0,0,0
0.422368,0,0,0,0
0.423712,0,0,0,0
0.425053,0,0,0,0
0.426389,0,0,0,0
0.427726,0,0,0,0
0.429066,0,0,0,0
0.430440,0,0,0,0
0.431844,0,0,0,0
0.433256,0,0,0,0
0.434574,0,0,0,0
0.435887,0,0,0,0
0.437198,0,0,0,0
0.438509,0,0,0,0
0.439819,0,0,0,0
0.441130,0,0,0,0
0.442440,0,0,0,0
0.443759,0,0,0,0
0.445069,0,0,0,0
0.446389,0,0,0,0
0.447750,0,0,0,0
0.449111,0,0,0,0
0.450472,0,0,0,0
0.451881,0,0,0,0
0.453242,0,0,0,0
0.454606,0,0,0,0
0.455967,0,0,0,0
0.457328,0,0,0,0
0.458689,0,0,0,0
0.460099,0,0,0,0
0.461372,0,0,0,0
0.462811,0,0,0,0
0.464228,0,0,0,0
0.465745,0,0,0,0
0.467141,0,0,0,0
0.469042,0,0,0,0
0.471585,0,0,0,0
0.473051,0,0,0,0
0.474437,0,0,0,0
0.475981,0,0,0,0
0.477362,0,0,0,0
0.478745,0,0,0,0
0.480128,0,0,0,0
0.481510,0,0,0,0
0.482916,0,0,0,0
0.485330,0,0,0,0
0.486730,0,0,0,0
0.488118,0,0,0,0
0.489504,0,0,0,0
0.490888,0,0,0,0
0.492272,0,0,0,0
0.493654,0,0,0,0
0.495232,0,0,0,0
0.496612,0,0,0,0
0.498001,0,0,0,0
0.499379,0,0,0,0
0.501581,0,0,0,0
0.503075,0,0,0,0
0.506833,0,0,0,0
0.508643,0,0,0,0
0.510037,0,0,0,0
0.511424,0,0,0,0
0.512812,0,0,0,0
0.514190,0,0,0,0
0.515570,0,0,0,0
0.517064,0,0,0,0
0.518418,0,0,0,0
0.519771,0,0,0,0
0.521112,0,0,0,0
0.522448,0,0,0,0
0.523787,0,0,0,0
0.525124,0,0,0,0
0.526530,0,0,0,0
0.527919,0,0,0,0
0.529435,0,0,0,0
0.530875,0,0,0,0
0.532273,0,0,0,0
0.533786,0,0,0,0
0.535167,0,0,0,0
0.536554,0,0,0,0
0.537945,0,0,0,0
0.539460,0,0,0,0
0.540901,0,0,0,0
0.542295,0,0,0,0
0.543732,0,0,0,0
0.545120,0,0,0,0
0.546505,0,0,0,0
0.547892,0,0,0,0
0.549277,0,0,0,0
0.550791,0,0,0,0
0.552355,0,0,0,0
0.553919,0,0,0,0
0.555472,0,0,0,0
0.557028,0,0,0,0
0.558620,0,0,0,0
0.560172,0,0,0,0
0.561724,0,0,0,0
0.563287,0,0,0,0
0.564838,0,0,0,0
0.566388,0,0,0,0
0.567939,0,0,0,0
0.569489,0,0,0,0
0.571038,0,0,0,0
0.572588,0,0,0,0
0.574150,0,0,0,0
0.575576,0,0,0,0
0.577104,0,0,0,0
0.578653,0,0,0,0
0.580170,0,0,0,0
0.581762,0,0,0,0
0.583312,0,0,0,0
0.584873,0,0,0,0
0.586423,0,0,0,0
0.587977,0,0,0,0
0.589573,0,0,0,0
0.591123,0,0,0,0
0.592673,0,0,0,0
0.594232,0,0,0,0
0.596331,0,0,0,0
0.597722,0,0,0,0
0.599103,0,0,0,0
0.600481,0,0,0,0
0.601859,0,0,0,0
0.603237,0,0,0,0
0.604615,0,0,0,0
0.606036,0,0,0,0
0.607425,0,0,0,0
0.608905,0,0,0,0
0.610283,0,0,0,0
0.611659,0,0,0,0
0.613011,0,0,0,0
0.614387,0,0,0,0
0.615793,0,0,0,0
0.617222,0,0,0,0
0.618607,0,0,0,0
0.620091,0,0,0,0
