elapsed_s,TSE_VP0_TRANSFORM_WORKING_CYCLE_L2,TSE_VP1_TRANSFORM_WORKING_CYCLE_L2,TSE_VP2_TRANSFORM_WORKING_CYCLE_L2,TSE_VERTEX_GEN_WORKING_CYCLE_L1
0.955684,0,0,0,0
0.957248,0,0,0,0
0.958798,0,0,0,0
0.960346,0,0,0,0
0.961896,0,0,0,0
0.963445,0,0,0,0
0.965064,0,0,0,0
0.966678,0,0,0,0
0.968240,0,0,0,0
0.969791,0,0,0,0
0.971383,0,0,0,0
0.972932,0,0,0,0
0.974364,0,0,0,0
0.975887,0,0,0,0
0.977441,0,0,0,0
0.979005,0,0,0,0
0.980554,0,0,0,0
0.981978,0,0,0,0
0.983498,0,0,0,0
0.985048,0,0,0,0
0.986645,0,0,0,0
0.988194,0,0,0,0
0.989759,0,0,0,0
0.991310,0,0,0,0
0.992860,0,0,0,0
0.994415,0,0,0,0
0.995964,0,0,0,0
0.997516,0,0,0,0
0.999066,0,0,0,0
1.000627,0,0,0,0
1.002177,0,0,0,0
1.003729,0,0,0,0
1.005281,0,0,0,0
1.006831,0,0,0,0
1.008382,0,0,0,0
1.009932,0,0,0,0
1.011497,0,0,0,0
1.013048,0,0,0,0
1.014609,0,0,0,0
1.017240,0,0,0,0
1.018737,0,0,0,0
1.020149,0,0,0,0
1.021603,0,0,0,0
1.023057,0,0,0,0
1.025275,0,0,0,0
1.027224,0,0,0,0
1.029142,0,0,0,0
1.030540,0,0,0,0
1.031932,0,0,0,0
1.033315,0,0,0,0
1.034737,0,0,0,0
1.036117,0,0,0,0
1.037500,0,0,0,0
1.039070,0,0,0,0
1.040619,0,0,0,0
1.042055,0,0,0,0
1.043576,0,0,0,0
1.045130,0,0,0,0
1.046682,0,0,0,0
1.048233,0,0,0,0
1.049786,0,0,0,0
1.051381,0,0,0,0
1.052944,0,0,0,0
1.054497,0,0,0,0
1.056044,0,0,0,0
1.057598,0,0,0,0
1.059151,0,0,0,0
1.060700,0,0,0,0
1.062212,0,0,0,0
1.063740,0,0,0,0
1.065293,0,0,0,0
1.066888,0,0,0,0
1.068434,0,0,0,0
1.069983,0,0,0,0
1.071535,0,0,0,0
1.073089,0,0,0,0
1.074655,0,0,0,0
1.076205,0,0,0,0
1.077802,0,0,0,0
1.079354,0,0,0,0
1.080904,0,0,0,0
1.082460,0,0,0,0
1.084055,0,0,0,0
1.085623,0,0,0,0
1.087174,0,0,0,0
1.088725,0,0,0,0
1.090278,0,0,0,0
1.091826,0,0,0,0
1.093251,0,0,0,0
1.094777,0,0,0,0
1.096337,0,0,0,0
1.097887,0,0,0,0
1.099438,0,0,0,0
1.100986,0,0,0,0
1.102480,0,0,0,0
1.103871,0,0,0,0
1.105389,0,0,0,0
1.106952,0,0,0,0
1.108501,0,0,0,0
1.110051,0,0,0,0
1.111601,0,0,0,0
1.113152,0,0,0,0
1.114746,0,0,0,0
1.116166,0,0,0,0
1.117704,0,0,0,0
1.119257,0,0,0,0
1.120808,0,0,0,0
1.122365,0,0,0,0
1.123917,0,0,0,0
1.125473,0,0,0,0
1.127027,0,0,0,0
1.128591,0,0,0,0
1.130144,0,0,0,0
1.131698,0,0,0,0
1.133253,0,0,0,0
1.134807,0,0,0,0
1.136357,0,0,0,0
1.137805,0,0,0,0
1.139365,0,0,0,0
1.140917,0,0,0,0
1.142476,0,0,0,0
1.144026,0,0,0,0
1.145582,0,0,0,0
1.147013,0,0,0,0
1.148490,0,0,0,0
1.149954,0,0,0,0
1.151716,0,0,0,0
1.153279,0,0,0,0
1.157239,0,0,0,0
1.159646,0,0,0,0
1.161064,0,0,0,0
1.162502,0,0,0,0
1.163885,0,0,0,0
1.165266,0,0,0,0
1.166647,0,0,0,0
1.168027,0,0,0,0
1.169407,0,0,0,0
1.170786,0,0,0,0
1.172184,0,0,0,0
1.173570,0,0,0,0
1.174959,0,0,0,0
1.176345,0,0,0,0
1.177730,0,0,0,0
1.179156,0,0,0,0
1.180544,0,0,0,0
1.181932,0,0,0,0
1.183330,0,0,0,0
1.184716,0,0,0,0
1.186153,0,0,0,0
1.187669,0,0,0,0
1.189223,0,0,0,0
1.190776,0,0,0,0
1.192327,0,0,0,0
1.193893,0,0,0,0
1.195447,0,0,0,0
1.197067,0,0,0,0
1.198469,0,0,0,0
1.200194,0,0,0,0
1.201598,0,0,0,0
1.202982,0,0,0,0
1.204372,0,0,0,0
1.205756,0,0,0,0
1.207153,0,0,0,0
1.208539,0,0,0,0
1.210056,0,0,0,0
1.211609,0,0,0,0
1.213165,0,0,0,0
1.214731,0,0,0,0
1.216282,0,0,0,0
1.217837,0,0,0,0
1.219390,0,0,0,0
1.220941,0,0,0,0
1.222499,0,0,0,0
1.224050,0,0,0,0
1.225616,0,0,0,0
1.227213,0,0,0,0
1.228765,0,0,0,0
1.230321,0,0,0,0
1.231873,0,0,0,0
1.233428,0,0,0,0
1.234981,0,0,0,0
1.236546,0,0,0,0
1.237968,0,0,0,0
1.239480,0,0,0,0
1.241121,0,0,0,0
1.242719,0,0,0,0
1.244271,0,0,0,0
1.245826,0,0,0,0
1.247382,0,0,0,0
1.248922,0,0,0,0
1.250334,0,0,0,0
1.251855,0,0,0,0
1.253409,0,0,0,0
1.254962,0,0,0,0
1.256513,0,0,0,0
1.258078,0,0,0,0
1.259632,0,0,0,0
1.261187,0,0,0,0
1.262741,0,0,0,0
1.264292,0,0,0,0
1.265848,0,0,0,0
1.267402,0,0,0,0
1.268966,0,0,0,0
1.270562,0,0,0,0
1.272112,0,0,0,0
1.273667,0,0,0,0
1.275264,0,0,0,0
1.276817,0,0,0,0
1.278374,0,0,0,0
1.279937,0,0,0,0
1.281493,0,0,0,0
1.283046,0,0,0,0
1.284598,0,0,0,0
1.286151,0,0,0,0
1.287703,0,0,0,0
1.289258,0,0,0,0
1.290867,0,0,0,0
1.292419,0,0,0,0
1.293972,0,0,0,0
1.295526,0,0,0,0
1.297080,0,0,0,0
1.298633,0,0,0,0
1.300184,0,0,0,0
1.301632,0,0,0,0
1.303174,0,0,0,0
1.304725,0,0,0,0
1.306282,0,0,0,0
1.307878,0,0,0,0
1.309433,0,0,0,0
1.310987,0,0,0,0
1.312551,0,0,0,0
1.314104,0,0,0,0
1.315657,0,0,0,0
1.317211,0,0,0,0
1.318765,0,0,0,0
1.320317,0,0,0,0
1.321871,0,0,0,0
1.323437,0,0,0,0
1.324988,0,0,0,0
1.326658,0,0,0,0
1.328208,0,0,0,0
1.329762,0,0,0,0
1.331307,0,0,0,0
1.332849,0,0,0,0
1.334355,0,0,0,0
1.335785,0,0,0,0
1.337177,0,0,0,0
1.338608,0,0,0,0
1.339997,0,0,0,0
1.341385,0,0,0,0
1.342766,0,0,0,0
1.344274,0,0,0,0
1.345707,0,0,0,0
1.347227,0,0,0,0
1.348777,0,0,0,0
1.350332,0,0,0,0
1.351882,0,0,0,0
1.353435,0,0,0,0
1.355030,0,0,0,0
1.356593,0,0,0,0
1.358145,0,0,0,0
1.359696,0,0,0,0
1.361250,0,0,0,0
1.362802,0,0,0,0
1.364350,0,0,0,0
1.365903,0,0,0,0
1.367467,0,0,0,0
1.369100,0,0,0,0
1.370560,0,0,0,0
1.372080,0,0,0,0
1.373633,0,0,0,0
1.375061,0,0,0,0
1.376586,0,0,0,0
1.378161,0,0,0,0
1.380290,0,0,0,0
1.381824,0,0,0,0
1.383373,0,0,0,0
1.384795,0,0,0,0
1.386319,0,0,0,0
1.387912,0,0,0,0
1.389477,0,0,0,0
1.391030,0,0,0,0
1.392580,0,0,0,0
1.394131,0,0,0,0
1.395683,0,0,0,0
1.397236,0,0,0,0
1.398788,0,0,0,0
1.400350,0,0,0,0
1.401901,0,0,0,0
1.403454,0,0,0,0
1.405097,0,0,0,0
1.406525,0,0,0,0
1.407916,0,0,0,0
1.409436,0,0,0,0
1.411000,0,0,0,0
1.412550,0,0,0,0
1.414101,0,0,0,0
1.415654,0,0,0,0
1.417209,0,0,0,0
1.418804,0,0,0,0
1.420356,0,0,0,0
1.421922,0,0,0,0
1.423474,0,0,0,0
1.425026,0,0,0,0
1.426575,0,0,0,0
1.428123,0,0,0,0
1.429677,0,0,0,0
1.431231,0,0,0,0
1.432793,0,0,0,0
1.434349,0,0,0,0
1.435899,0,0,0,0
1.437452,0,0,0,0
1.439003,0,0,0,0
1.440552,0,0,0,0
1.442103,0,0,0,0
1.443697,0,0,0,0
1.445251,0,0,0,0
1.446795,0,0,0,0
1.448336,0,0,0,0
1.449793,0,0,0,0
1.451358,0,0,0,0
1.452909,0,0,0,0
1.454477,0,0,0,0
1.456028,0,0,0,0
1.457580,0,0,0,0
1.459132,0,0,0,0
1.460682,0,0,0,0
1.462291,0,0,0,0
1.463840,0,0,0,0
1.465405,0,0,0,0
1.467000,0,0,0,0
1.468549,0,0,0,0
1.470101,0,0,0,0
1.471652,0,0,0,0
1.473205,0,0,0,0
1.474757,0,0,0,0
1.476322,0,0,0,0
1.477873,0,0,0,0
1.479424,0,0,0,0
1.480973,0,0,0,0
1.482407,0,0,0,0
1.483972,0,0,0,0
1.485525,0,0,0,0
1.487090,0,0,0,0
1.488640,0,0,0,0
1.490062,0,0,0,0
1.491582,0,0,0,0
1.493135,0,0,0,0
1.494686,0,0,0,0
1.496235,0,0,0,0
1.497671,0,0,0,0
1.499237,0,0,0,0
1.500788,0,0,0,0
1.502343,0,0,0,0
1.503893,0,0,0,0
1.505445,0,0,0,0
1.506995,0,0,0,0
1.508563,0,0,0,0
1.510116,0,0,0,0
1.511665,0,0,0,0
1.513217,0,0,0,0
1.514809,0,0,0,0
1.516234,0,0,0,0
1.517627,0,0,0,0
1.519022,0,0,0,0
1.520414,0,0,0,0
1.521933,0,0,0,0
1.523484,0,0,0,0
1.525036,0,0,0,0
1.526585,0,0,0,0
1.528144,0,0,0,0
1.529680,0,0,0,0
1.531133,0,0,0,0
1.532523,0,0,0,0
1.533913,0,0,0,0
1.535301,0,0,0,0
1.536689,0,0,0,0
1.538260,0,0,0,0
1.539825,0,0,0,0
1.541382,0,0,0,0
1.542935,0,0,0,0
1.544487,0,0,0,0
1.546042,0,0,0,0
