elapsed_s,TSE_BE_CINVOCATION,TSE_BE_CPRIMITIVES,TSE_BE_2D_INPUT_PRIM,TSE_BE_2D_ALIVE_CYCLES
0.507532,0,0,0,0
0.509082,0,0,0,0
0.510643,0,0,0,0
0.512193,0,0,0,0
0.513741,0,0,0,0
0.515292,0,0,0,0
0.516884,0,0,0,0
0.518432,0,0,0,0
0.519983,0,0,0,0
0.521546,0,0,0,0
0.523093,0,0,0,0
0.524648,0,0,0,0
0.526196,0,0,0,0
0.527747,0,0,0,0
0.529297,0,0,0,0
0.530845,0,0,0,0
0.532339,0,0,0,0
0.533859,0,0,0,0
0.535411,0,0,0,0
0.536960,0,0,0,0
0.538509,0,0,0,0
0.540058,0,0,0,0
0.541607,0,0,0,0
0.543043,0,0,0,0
0.544565,0,0,0,0
0.546112,0,0,0,0
0.547622,0,0,0,0
0.549123,0,0,0,0
0.550507,0,0,0,0
0.551888,0,0,0,0
0.553280,0,0,0,0
0.554661,0,0,0,0
0.556040,0,0,0,0
0.557547,0,0,0,0
0.559087,0,0,0,0
0.560634,0,0,0,0
0.562183,0,0,0,0
0.563747,0,0,0,0
0.565353,0,0,0,0
0.566825,0,0,0,0
0.568374,0,0,0,0
0.569820,0,0,0,0
0.571450,0,0,0,0
0.572869,0,0,0,0
0.574732,0,0,0,0
0.576167,0,0,0,0
0.578936,0,0,0,0
0.580596,0,0,0,0
0.582056,0,0,0,0
0.583603,0,0,0,0
0.585672,0,0,0,0
0.587154,0,0,0,0
0.588652,0,0,0,0
0.590595,0,0,0,0
0.592204,0,0,0,0
0.593625,0,0,0,0
0.595018,0,0,0,0
0.596423,0,0,0,0
0.597798,0,0,0,0
0.599153,0,0,0,0
0.600512,0,0,0,0
0.601864,0,0,0,0
0.603240,0,0,0,0
0.604695,0,0,0,0
0.606049,0,0,0,0
0.607432,0,0,0,0
0.608787,0,0,0,0
0.610142,0,0,0,0
0.611572,0,0,0,0
0.612995,0,0,0,0
0.614409,0,0,0,0
0.615819,0,0,0,0
0.617270,0,0,0,0
0.618657,0,0,0,0
0.620020,0,0,0,0
0.621433,0,0,0,0
0.622795,0,0,0,0
0.624156,0,0,0,0
0.625516,0,0,0,0
0.626931,0,0,0,0
0.628343,0,0,0,0
0.629771,0,0,0,0
0.631197,0,0,0,0
0.633465,0,0,0,0
0.634853,0,0,0,0
0.636606,0,0,0,0
0.638118,0,0,0,0
0.639549,0,0,0,0
0.640935,0,0,0,0
0.642321,0,0,0,0
0.643703,0,0,0,0
0.645132,0,0,0,0
0.646517,0,0,0,0
0.647901,0,0,0,0
0.649400,0,0,0,0
0.651086,0,0,0,0
0.652486,0,0,0,0
0.653872,0,0,0,0
0.655481,0,0,0,0
0.656918,0,0,0,0
0.658306,0,0,0,0
0.659689,0,0,0,0
0.661117,0,0,0,0
0.662716,0,0,0,0
0.664095,0,0,0,0
0.665864,0,0,0,0
0.667296,0,0,0,0
0.668674,0,0,0,0
0.670049,0,0,0,0
0.671433,0,0,0,0
0.672810,0,0,0,0
0.674186,0,0,0,0
0.675567,0,0,0,0
0.676969,0,0,0,0
0.678387,0,0,0,0
0.679775,0,0,0,0
0.681155,0,0,0,0
0.682544,0,0,0,0
0.683925,0,0,0,0
0.685305,0,0,0,0
0.686814,0,0,0,0
0.688233,0,0,0,0
0.689754,0,0,0,0
0.691306,0,0,0,0
0.692916,0,0,0,0
0.694465,0,0,0,0
0.696017,0,0,0,0
0.697567,0,0,0,0
0.699117,0,0,0,0
0.700672,0,0,0,0
0.702221,0,0,0,0
0.703661,0,0,0,0
0.705180,0,0,0,0
0.706618,0,0,0,0
0.708187,0,0,0,0
0.709613,0,0,0,0
0.711130,0,0,0,0
0.712722,0,0,0,0
0.714282,0,0,0,0
0.715835,0,0,0,0
0.717386,0,0,0,0
0.718935,0,0,0,0
0.720490,0,0,0,0
0.722037,0,0,0,0
0.723590,0,0,0,0
0.725196,0,0,0,0
0.726746,0,0,0,0
0.728297,0,0,0,0
0.729849,0,0,0,0
0.731399,0,0,0,0
0.732950,0,0,0,0
0.734498,0,0,0,0
0.736063,0,0,0,0
0.737613,0,0,0,0
0.739163,0,0,0,0
0.740830,0,0,0,0
0.742222,0,0,0,0
0.743740,0,0,0,0
0.745288,0,0,0,0
0.746860,0,0,0,0
0.748440,0,0,0,0
0.749840,0,0,0,0
0.751359,0,0,0,0
0.752911,0,0,0,0
0.754460,0,0,0,0
0.756013,0,0,0,0
0.757576,0,0,0,0
0.759125,0,0,0,0
0.760717,0,0,0,0
0.762480,0,0,0,0
0.763881,0,0,0,0
0.765270,0,0,0,0
0.766654,0,0,0,0
0.768050,0,0,0,0
0.769431,0,0,0,0
0.770808,0,0,0,0
0.772186,0,0,0,0
0.773608,0,0,0,0
0.774985,0,0,0,0
0.776415,0,0,0,0
0.777793,0,0,0,0
0.779197,0,0,0,0
