elapsed_s,RAS_STGEN_BOTTLENECK_CYCLES,RAS_MTGEN_BOTTLENECK_CYCLES,RAS_TGEN_BOTTLENECK_CYCLES
0.455073,0,0,0
0.456565,0,0,0
0.458077,0,0,0
0.459668,0,0,0
0.461213,0,0,0
0.462758,0,0,0
0.464367,0,0,0
0.465913,0,0,0
0.467459,0,0,0
0.469006,0,0,0
0.470550,0,0,0
0.472094,0,0,0
0.473640,0,0,0
0.475199,0,0,0
0.476788,0,0,0
0.478332,0,0,0
0.479879,0,0,0
0.481424,0,0,0
0.482969,0,0,0
0.484519,0,0,0
0.486077,0,0,0
0.487625,0,0,0
0.489169,0,0,0
0.490713,0,0,0
0.492302,0,0,0
0.493848,0,0,0
0.495395,0,0,0
0.496954,0,0,0
0.498497,0,0,0
0.500041,0,0,0
0.501587,0,0,0
0.503135,0,0,0
0.504680,0,0,0
0.506224,0,0,0
0.507826,0,0,0
0.509372,0,0,0
0.510915,0,0,0
0.512465,0,0,0
0.514008,0,0,0
0.515555,0,0,0
0.517102,0,0,0
0.518660,0,0,0
0.520205,0,0,0
0.521742,0,0,0
0.523393,0,0,0
0.524977,0,0,0
0.526440,0,0,0
0.527954,0,0,0
0.529514,0,0,0
0.531057,0,0,0
0.532673,0,0,0
0.534216,0,0,0
0.535763,0,0,0
0.537309,0,0,0
0.538852,0,0,0
0.540415,0,0,0
0.541957,0,0,0
0.543503,0,0,0
0.545046,0,0,0
0.546589,0,0,0
0.548133,0,0,0
0.549677,0,0,0
0.551236,0,0,0
0.552780,0,0,0
0.554323,0,0,0
0.555912,0,0,0
0.557457,0,0,0
0.558998,0,0,0
0.560545,0,0,0
0.562101,0,0,0
0.563646,0,0,0
0.565190,0,0,0
0.566731,0,0,0
0.568275,0,0,0
0.569817,0,0,0
0.571364,0,0,0
0.572842,0,0,0
0.574355,0,0,0
0.575900,0,0,0
0.577444,0,0,0
0.578987,0,0,0
0.580535,0,0,0
0.582077,0,0,0
0.583634,0,0,0
0.585178,0,0,0
0.586721,0,0,0
0.588308,0,0,0
0.589749,0,0,0
0.591142,0,0,0
0.592546,0,0,0
0.593999,0,0,0
0.595553,0,0,0
0.597096,0,0,0
0.598638,0,0,0
0.600182,0,0,0
0.601726,0,0,0
0.603271,0,0,0
0.604873,0,0,0
0.606405,0,0,0
0.607951,0,0,0
0.609494,0,0,0
0.611035,0,0,0
0.612582,0,0,0
0.614124,0,0,0
0.615625,0,0,0
0.617186,0,0,0
0.618740,0,0,0
0.620313,0,0,0
