csv_path,group,chunk,n_rows,n_counters,n_regions_detected,expected_regions,region_ok
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk029.csv,TSE,29,2557,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk030.csv,TSE,30,2590,3,2,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/08_RAS/RAS_chunk001.csv,RAS,1,2567,4,2,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/08_RAS/RAS_chunk002.csv,RAS,2,2567,4,5,5,True
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/08_RAS/RAS_chunk003.csv,RAS,3,2552,4,2,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/08_RAS/RAS_chunk004.csv,RAS,4,2549,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/08_RAS/RAS_chunk005.csv,RAS,5,2573,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/08_RAS/RAS_chunk006.csv,RAS,6,2570,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/08_RAS/RAS_chunk007.csv,RAS,7,2558,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/08_RAS/RAS_chunk008.csv,RAS,8,2563,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/08_RAS/RAS_chunk009.csv,RAS,9,2582,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/08_RAS/RAS_chunk010.csv,RAS,10,2572,3,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk001.csv,UCHE,1,2399,24,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk002.csv,UCHE,2,2406,24,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk003.csv,UCHE,3,2403,24,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk004.csv,UCHE,4,2403,24,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk005.csv,UCHE,5,2398,24,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk006.csv,UCHE,6,2393,24,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk007.csv,UCHE,7,2406,24,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk008.csv,UCHE,8,2404,24,0,5,False
