elapsed_s,TSE_CLIP_VP_FMUL_4_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_5_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_WORKING_CYCLE_L2,TSE_CLIP_VP_FADD_0_WORKING_CYCLE_L3
0.922658,0,0,0,0
0.924207,0,0,0,0
0.925755,0,0,0,0
0.927346,0,0,0,0
0.928887,0,0,0,0
0.930468,0,0,0,0
0.932018,0,0,0,0
0.933579,0,0,0,0
0.935127,0,0,0,0
0.936677,0,0,0,0
0.938226,0,0,0,0
0.939821,0,0,0,0
0.941369,0,0,0,0
0.942963,0,0,0,0
0.944526,0,0,0,0
0.946075,0,0,0,0
0.947623,0,0,0,0
0.949162,0,0,0,0
0.950587,0,0,0,0
0.952110,0,0,0,0
0.953658,0,0,0,0
0.955219,0,0,0,0
0.956768,0,0,0,0
0.958334,0,0,0,0
0.959883,0,0,0,0
0.961431,0,0,0,0
0.962982,0,0,0,0
0.964532,0,0,0,0
0.966093,0,0,0,0
0.967551,0,0,0,0
0.968946,0,0,0,0
0.970466,0,0,0,0
0.972016,0,0,0,0
0.973563,0,0,0,0
0.975159,0,0,0,0
0.977016,0,0,0,0
0.978676,0,0,0,0
0.980069,0,0,0,0
0.981450,0,0,0,0
0.982832,0,0,0,0
0.984213,0,0,0,0
0.985594,0,0,0,0
0.986982,0,0,0,0
0.988363,0,0,0,0
0.989969,0,0,0,0
0.991635,0,0,0,0
0.993175,0,0,0,0
0.994588,0,0,0,0
0.996096,0,0,0,0
0.997649,0,0,0,0
0.999066,0,0,0,0
1.000577,0,0,0,0
1.002116,0,0,0,0
1.003510,0,0,0,0
1.004902,0,0,0,0
1.006421,0,0,0,0
1.007904,0,0,0,0
1.009416,0,0,0,0
1.010832,0,0,0,0
1.012344,0,0,0,0
1.013884,0,0,0,0
1.015302,0,0,0,0
1.016737,0,0,0,0
1.018135,0,0,0,0
1.019524,0,0,0,0
1.020909,0,0,0,0
1.022296,0,0,0,0
1.023725,0,0,0,0
1.025114,0,0,0,0
1.026632,0,0,0,0
1.028178,0,0,0,0
1.029617,0,0,0,0
1.031139,0,0,0,0
1.032681,0,0,0,0
1.034222,0,0,0,0
1.035674,0,0,0,0
1.037064,0,0,0,0
1.038582,0,0,0,0
1.040190,0,0,0,0
1.041738,0,0,0,0
1.043286,0,0,0,0
1.044836,0,0,0,0
1.046387,0,0,0,0
1.047937,0,0,0,0
1.049485,0,0,0,0
1.051049,0,0,0,0
1.052598,0,0,0,0
1.054144,0,0,0,0
1.055698,0,0,0,0
1.057246,0,0,0,0
1.058797,0,0,0,0
1.060345,0,0,0,0
1.061905,0,0,0,0
1.063326,0,0,0,0
1.064843,0,0,0,0
1.066393,0,0,0,0
1.067942,0,0,0,0
1.069489,0,0,0,0
1.071084,0,0,0,0
1.072646,0,0,0,0
1.074193,0,0,0,0
1.075746,0,0,0,0
1.077293,0,0,0,0
1.078842,0,0,0,0
1.080392,0,0,0,0
1.081938,0,0,0,0
1.083451,0,0,0,0
1.084994,0,0,0,0
1.086547,0,0,0,0
1.088146,0,0,0,0
1.089698,0,0,0,0
1.091251,0,0,0,0
1.092843,0,0,0,0
1.094411,0,0,0,0
1.095963,0,0,0,0
1.097513,0,0,0,0
1.099067,0,0,0,0
1.100619,0,0,0,0
1.102168,0,0,0,0
1.103726,0,0,0,0
1.105289,0,0,0,0
1.106843,0,0,0,0
1.108396,0,0,0,0
1.109947,0,0,0,0
1.111447,0,0,0,0
1.112968,0,0,0,0
1.114521,0,0,0,0
1.116085,0,0,0,0
1.117635,0,0,0,0
1.119232,0,0,0,0
1.120785,0,0,0,0
1.122340,0,0,0,0
1.123892,0,0,0,0
1.125443,0,0,0,0
1.127011,0,0,0,0
1.128563,0,0,0,0
1.130114,0,0,0,0
1.131935,0,0,0,0
1.133458,0,0,0,0
1.135055,0,0,0,0
1.136601,0,0,0,0
1.138038,0,0,0,0
1.139621,0,0,0,0
1.141173,0,0,0,0
1.142727,0,0,0,0
1.144278,0,0,0,0
1.145827,0,0,0,0
1.147378,0,0,0,0
1.148943,0,0,0,0
1.150496,0,0,0,0
1.152093,0,0,0,0
1.153644,0,0,0,0
1.155195,0,0,0,0
1.158540,0,0,0,0
1.163490,0,0,0,0
1.164895,0,0,0,0
1.166375,0,0,0,0
1.167940,0,0,0,0
1.169362,0,0,0,0
1.170768,0,0,0,0
1.172138,0,0,0,0
1.173507,0,0,0,0
1.174854,0,0,0,0
1.176196,0,0,0,0
1.177538,0,0,0,0
1.178882,0,0,0,0
1.180223,0,0,0,0
1.181564,0,0,0,0
1.183039,0,0,0,0
1.184620,0,0,0,0
1.186170,0,0,0,0
1.187727,0,0,0,0
1.189220,0,0,0,0
1.190618,0,0,0,0
1.192010,0,0,0,0
1.193398,0,0,0,0
1.194801,0,0,0,0
1.196190,0,0,0,0
1.197578,0,0,0,0
1.199140,0,0,0,0
1.200692,0,0,0,0
1.202243,0,0,0,0
1.203878,0,0,0,0
1.205280,0,0,0,0
1.206802,0,0,0,0
1.208356,0,0,0,0
1.209906,0,0,0,0
1.211456,0,0,0,0
1.213005,0,0,0,0
1.214558,0,0,0,0
1.216168,0,0,0,0
1.217718,0,0,0,0
1.219145,0,0,0,0
1.220666,0,0,0,0
1.222216,0,0,0,0
1.223587,0,0,0,0
1.225065,0,0,0,0
1.226611,0,0,0,0
1.228166,0,0,0,0
1.229718,0,0,0,0
1.231316,0,0,0,0
1.232870,0,0,0,0
1.234426,0,0,0,0
1.235980,0,0,0,0
1.237546,0,0,0,0
1.239101,0,0,0,0
1.240646,0,0,0,0
1.242189,0,0,0,0
1.243700,0,0,0,0
1.245093,0,0,0,0
1.246613,0,0,0,0
1.248177,0,0,0,0
1.249728,0,0,0,0
1.251279,0,0,0,0
1.252831,0,0,0,0
1.254385,0,0,0,0
1.255937,0,0,0,0
1.257487,0,0,0,0
1.259053,0,0,0,0
1.260605,0,0,0,0
1.262155,0,0,0,0
1.263632,0,0,0,0
1.265163,0,0,0,0
1.266720,0,0,0,0
1.268273,0,0,0,0
1.269840,0,0,0,0
1.271266,0,0,0,0
1.272790,0,0,0,0
1.274345,0,0,0,0
1.275900,0,0,0,0
1.277452,0,0,0,0
1.279050,0,0,0,0
1.280492,0,0,0,0
1.282013,0,0,0,0
1.283568,0,0,0,0
1.285117,0,0,0,0
1.286670,0,0,0,0
1.288221,0,0,0,0
1.289770,0,0,0,0
1.291340,0,0,0,0
1.292891,0,0,0,0
1.294443,0,0,0,0
1.296037,0,0,0,0
1.297586,0,0,0,0
