elapsed_s,TSE_CLIP_VP_FADD_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_2_WORKING_CYCLE_L3,TSE_CLIP_VP_RCP_WORKING_CYCLE_L2,TSE_VP_TRANSFORM_WORKING_CYCLE_L1
1.133899,0,0,0,0
1.135468,0,0,0,0
1.137020,0,0,0,0
1.138572,0,0,0,0
1.140125,0,0,0,0
1.141678,0,0,0,0
1.143232,0,0,0,0
1.144785,0,0,0,0
1.146350,0,0,0,0
1.147902,0,0,0,0
1.149454,0,0,0,0
1.151004,0,0,0,0
1.152464,0,0,0,0
1.153855,0,0,0,0
1.155374,0,0,0,0
1.156940,0,0,0,0
1.158490,0,0,0,0
1.160086,0,0,0,0
1.161639,0,0,0,0
1.163244,0,0,0,0
1.164793,0,0,0,0
1.166305,0,0,0,0
1.167866,0,0,0,0
1.169418,0,0,0,0
1.170969,0,0,0,0
1.172524,0,0,0,0
1.174412,0,0,0,0
1.176705,0,0,0,0
1.178394,0,0,0,0
1.179799,0,0,0,0
1.181190,0,0,0,0
1.182602,0,0,0,0
1.183984,0,0,0,0
1.185367,0,0,0,0
1.186747,0,0,0,0
1.188127,0,0,0,0
1.189647,0,0,0,0
1.191500,0,0,0,0
1.193027,0,0,0,0
1.194414,0,0,0,0
1.195801,0,0,0,0
1.197192,0,0,0,0
1.198579,0,0,0,0
1.199980,0,0,0,0
1.201488,0,0,0,0
1.203030,0,0,0,0
1.204648,0,0,0,0
1.206200,0,0,0,0
1.207796,0,0,0,0
1.209349,0,0,0,0
1.210915,0,0,0,0
1.212471,0,0,0,0
1.214020,0,0,0,0
1.215573,0,0,0,0
1.217126,0,0,0,0
1.218677,0,0,0,0
1.220229,0,0,0,0
1.221787,0,0,0,0
1.223357,0,0,0,0
1.224941,0,0,0,0
1.226492,0,0,0,0
1.228044,0,0,0,0
1.229596,0,0,0,0
1.231148,0,0,0,0
1.232700,0,0,0,0
1.234095,0,0,0,0
1.235488,0,0,0,0
1.236877,0,0,0,0
1.238265,0,0,0,0
1.239697,0,0,0,0
1.241212,0,0,0,0
1.242764,0,0,0,0
1.244330,0,0,0,0
1.245882,0,0,0,0
1.247436,0,0,0,0
1.248989,0,0,0,0
1.250540,0,0,0,0
1.252091,0,0,0,0
1.253643,0,0,0,0
1.255081,0,0,0,0
1.256613,0,0,0,0
1.258166,0,0,0,0
1.259724,0,0,0,0
1.261270,0,0,0,0
1.263148,0,0,0,0
1.265513,0,0,0,0
1.267086,0,0,0,0
1.268533,0,0,0,0
1.269926,0,0,0,0
1.271318,0,0,0,0
1.272750,0,0,0,0
1.274138,0,0,0,0
1.275527,0,0,0,0
1.277032,0,0,0,0
1.278464,0,0,0,0
1.279860,0,0,0,0
1.281250,0,0,0,0
1.282637,0,0,0,0
1.285074,0,0,0,0
1.286499,0,0,0,0
1.287888,0,0,0,0
1.289291,0,0,0,0
1.290681,0,0,0,0
1.292073,0,0,0,0
1.293463,0,0,0,0
1.294967,0,0,0,0
1.296528,0,0,0,0
1.298081,0,0,0,0
1.299652,0,0,0,0
1.301207,0,0,0,0
1.302762,0,0,0,0
1.304362,0,0,0,0
1.305910,0,0,0,0
1.307427,0,0,0,0
1.308982,0,0,0,0
1.310424,0,0,0,0
1.311951,0,0,0,0
1.313499,0,0,0,0
1.315043,0,0,0,0
1.316631,0,0,0,0
1.318185,0,0,0,0
1.319786,0,0,0,0
1.321357,0,0,0,0
1.322910,0,0,0,0
1.324465,0,0,0,0
1.326011,0,0,0,0
1.327564,0,0,0,0
1.329089,0,0,0,0
1.330642,0,0,0,0
1.332209,0,0,0,0
1.333762,0,0,0,0
1.335317,0,0,0,0
1.336915,0,0,0,0
1.338468,0,0,0,0
1.340023,0,0,0,0
1.341577,0,0,0,0
1.343143,0,0,0,0
1.344740,0,0,0,0
1.346292,0,0,0,0
1.347847,0,0,0,0
1.349401,0,0,0,0
1.350953,0,0,0,0
1.352512,0,0,0,0
1.354078,0,0,0,0
1.355633,0,0,0,0
1.357187,0,0,0,0
1.358740,0,0,0,0
1.360292,0,0,0,0
1.361846,0,0,0,0
1.363404,0,0,0,0
1.364970,0,0,0,0
1.366522,0,0,0,0
1.368121,0,0,0,0
1.369676,0,0,0,0
1.371231,0,0,0,0
1.372787,0,0,0,0
1.374340,0,0,0,0
1.375909,0,0,0,0
1.377461,0,0,0,0
1.378892,0,0,0,0
1.380496,0,0,0,0
1.382051,0,0,0,0
1.383652,0,0,0,0
1.385208,0,0,0,0
1.386775,0,0,0,0
1.388332,0,0,0,0
1.389888,0,0,0,0
1.391400,0,0,0,0
1.393328,0,0,0,0
1.394890,0,0,0,0
1.396449,0,0,0,0
1.398016,0,0,0,0
1.399574,0,0,0,0
1.401131,0,0,0,0
1.402685,0,0,0,0
1.404241,0,0,0,0
1.405796,0,0,0,0
1.407354,0,0,0,0
1.408913,0,0,0,0
1.410459,0,0,0,0
1.411881,0,0,0,0
1.413406,0,0,0,0
1.414960,0,0,0,0
1.416520,0,0,0,0
1.418075,0,0,0,0
1.419647,0,0,0,0
1.421203,0,0,0,0
1.422757,0,0,0,0
