elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.771676,0,0,0,0
0.773227,0,0,0,0
0.774788,0,0,0,0
0.776337,0,0,0,0
0.777878,0,0,0,0
0.779296,0,0,0,0
0.780815,0,0,0,0
0.782364,0,0,0,0
0.783915,0,0,0,0
0.785479,0,0,0,0
0.787031,0,0,0,0
0.788580,0,0,0,0
0.790130,0,0,0,0
0.791726,0,0,0,0
0.793278,0,0,0,0
0.794827,0,0,0,0
0.796390,0,0,0,0
0.797930,0,0,0,0
0.799351,0,0,0,0
0.800869,0,0,0,0
0.802415,0,0,0,0
0.803964,0,0,0,0
0.805513,0,0,0,0
0.807076,0,0,0,0
0.808669,0,0,0,0
0.810216,0,0,0,0
0.811767,0,0,0,0
0.813316,0,0,0,0
0.814863,0,0,0,0
0.816416,0,0,0,0
0.817976,0,0,0,0
0.819527,0,0,0,0
0.821076,0,0,0,0
0.822623,0,0,0,0
0.824262,0,0,0,0
0.825811,0,0,0,0
0.827361,0,0,0,0
0.828925,0,0,0,0
0.830473,0,0,0,0
0.832021,0,0,0,0
0.833570,0,0,0,0
0.835120,0,0,0,0
0.836669,0,0,0,0
0.838217,0,0,0,0
0.839822,0,0,0,0
0.841373,0,0,0,0
0.843002,0,0,0,0
0.844475,0,0,0,0
0.845864,0,0,0,0
0.847381,0,0,0,0
0.848929,0,0,0,0
0.850488,0,0,0,0
0.852036,0,0,0,0
0.853585,0,0,0,0
0.855135,0,0,0,0
0.856686,0,0,0,0
0.858234,0,0,0,0
0.859782,0,0,0,0
0.861345,0,0,0,0
0.862891,0,0,0,0
0.864485,0,0,0,0
0.866032,0,0,0,0
0.867582,0,0,0,0
0.869131,0,0,0,0
0.870679,0,0,0,0
0.872244,0,0,0,0
0.873790,0,0,0,0
0.875264,0,0,0,0
0.876665,0,0,0,0
0.878181,0,0,0,0
0.879734,0,0,0,0
0.881276,0,0,0,0
0.882830,0,0,0,0
0.884305,0,0,0,0
0.885823,0,0,0,0
0.887419,0,0,0,0
0.888968,0,0,0,0
0.890516,0,0,0,0
0.892066,0,0,0,0
0.893631,0,0,0,0
0.895183,0,0,0,0
0.896732,0,0,0,0
0.898280,0,0,0,0
0.899829,0,0,0,0
0.901378,0,0,0,0
0.902998,0,0,0,0
0.904669,0,0,0,0
0.906218,0,0,0,0
