elapsed_s,PC_S_DS_INVOCATIONS,PC_S_VS_INVOCATIONS,PC_S_GS_INVOCATIONS,PC_S_DS_PRIMITIVES,PC_S_TESS_BUSY_CYCLES,PC_S_TESS_WORKING_CYCLES,PC_S_TESS_STALL_CYCLES_PC,PC_S_TESS_STARVE_CYCLES_PC
0.376462,0,0,0,0,0,0,0,14298
0.378033,0,0,0,0,0,0,0,13149
0.379623,0,0,0,0,0,0,0,13554
0.381194,0,0,0,0,0,0,0,13908
0.382812,0,0,0,0,0,0,0,14322
0.384386,0,0,0,0,0,0,0,14703
0.385957,0,0,0,0,0,0,0,13935
0.387620,0,0,0,0,0,0,0,14346
0.389191,0,0,0,0,0,0,0,14556
0.390778,0,0,0,0,0,0,0,14592
0.392351,0,0,0,0,0,0,0,14097
0.393922,0,0,0,0,0,0,0,15255
0.395544,0,0,0,0,0,0,0,14064
0.397117,0,0,0,0,0,0,0,13134
0.398734,0,0,0,0,0,0,0,14460
0.400308,0,0,0,0,0,0,0,13440
0.401892,0,0,0,0,0,0,0,15018
0.403465,0,0,0,0,0,0,0,13476
0.405038,0,0,0,0,0,0,0,14175
0.406612,0,0,0,0,0,0,0,14577
0.408185,0,0,0,0,0,0,0,14133
0.409757,0,0,0,0,0,0,0,14778
0.411330,0,0,0,0,0,0,0,13221
0.412915,0,0,0,0,0,0,0,13269
0.414490,0,0,0,0,0,0,0,15129
0.416065,0,0,0,0,0,0,0,14064
0.417636,0,0,0,0,0,0,0,14541
0.419209,0,0,0,0,0,0,0,13668
0.420781,0,0,0,0,0,0,0,14319
0.422354,0,0,0,0,0,0,0,15453
0.423940,0,0,0,0,0,0,0,14799
0.425510,0,0,0,0,0,0,0,15477
0.427083,0,0,0,0,0,0,0,13530
0.428654,0,0,0,0,0,0,0,13503
0.430224,0,0,0,0,0,0,0,13524
0.431833,0,0,0,0,0,0,0,15615
0.433402,0,0,0,0,0,0,0,15009
0.434866,0,0,0,0,0,0,0,14931
0.436408,0,0,0,0,0,0,0,14580
0.437979,0,0,0,0,0,0,0,13716
0.439637,0,0,0,0,0,0,0,13605
0.441207,0,0,0,0,0,0,0,14112
0.442780,0,0,0,0,0,0,0,14511
0.444351,0,0,0,0,0,0,0,13572
0.445934,0,0,0,0,0,0,0,13578
0.447575,0,0,0,0,0,0,0,13569
0.449158,0,0,0,0,0,0,0,13602
0.450740,0,0,0,0,0,0,0,13491
0.452312,0,0,0,0,0,0,0,13716
0.453882,0,0,0,0,0,0,0,13719
0.455452,0,0,0,0,0,0,0,14280
0.457036,0,0,0,0,0,0,0,13626
0.458610,0,0,0,0,0,0,0,13647
0.460181,0,0,0,0,0,0,0,13761
0.461752,0,0,0,0,0,0,0,14082
0.463369,0,0,0,0,0,0,0,14001
0.464941,0,0,0,0,0,0,0,14625
0.466515,0,0,0,0,0,0,0,14184
0.468100,0,0,0,0,0,0,0,13719
0.469669,0,0,0,0,0,0,0,13620
0.474370,0,0,0,0,0,0,0,13911
0.477532,0,0,0,0,0,0,0,13596
0.478987,0,0,0,0,0,0,0,14085
0.480397,0,0,0,0,0,0,0,13893
0.481801,0,0,0,0,0,0,0,13815
0.483207,0,0,0,0,0,0,0,13926
0.484616,0,0,0,0,0,0,0,13674
0.486023,0,0,0,0,0,0,0,13833
0.487432,0,0,0,0,0,0,0,14316
0.488864,0,0,0,0,0,0,0,13665
0.490419,0,0,0,0,0,0,0,13692
0.491837,0,0,0,0,0,0,0,13911
0.493207,0,0,0,0,0,0,0,13566
0.494570,0,0,0,0,0,0,0,13965
0.496927,0,0,0,0,0,0,0,5475030
0.498886,0,0,0,0,0,0,0,5070270
0.500863,0,0,0,0,0,0,0,6416553
0.502343,0,0,0,0,0,0,0,4421436
0.503903,0,0,0,0,0,0,0,4892961
0.505183,0,0,0,0,0,0,0,4019556
0.506440,0,0,0,0,0,0,0,3986982
0.507726,0,0,0,0,0,0,0,4024692
0.509000,0,0,0,0,0,0,0,4009071
0.510466,0,0,0,0,0,0,0,9305094
0.513267,0,0,0,0,0,0,0,4203480
0.514579,0,12,0,0,0,0,0,4148298
0.515838,0,48,0,0,0,0,0,3935115
0.517092,0,0,0,0,0,0,0,3859332
0.518304,0,0,0,0,0,0,0,3859857
0.519529,0,0,0,0,0,0,0,3811905
0.520790,0,0,0,0,0,0,0,3980184
0.522003,0,0,0,0,0,0,0,3808302
0.523268,0,0,0,0,0,0,0,3989376
0.524476,0,0,0,0,0,0,0,3804237
0.525683,0,0,0,0,0,0,0,3800709
0.526896,0,0,0,0,0,0,0,3856770
0.528125,0,0,0,0,0,0,0,3866475
0.529353,0,0,0,0,0,0,0,3868200
0.530582,0,0,0,0,0,0,0,3872862
0.531810,0,0,0,0,0,0,0,3867696
