elapsed_s,TSE_BE_EARLY_CULL_CLIPPED_PRIM,TSE_BE_BR_STALLS_DUETO_BV_CLIP,TSE_BE_BR_STALLS_DUETO_BV_POLY,TSE_BE_BV_STALLS_DUETO_BR_CLIP
0.556456,0,0,0,0
0.558062,0,0,0,0
0.559603,0,0,0,0
0.561021,0,0,0,0
0.562542,0,0,0,0
0.564103,0,0,0,0
0.565655,0,0,0,0
0.567204,0,0,0,0
0.568752,0,0,0,0
0.570133,0,0,0,0
0.571651,0,0,0,0
0.573202,0,0,0,0
0.574642,0,0,0,0
0.576162,0,0,0,0
0.577711,0,0,0,0
0.579261,0,0,0,0
0.580872,0,0,0,0
0.582375,0,0,0,0
0.583923,0,0,0,0
0.585531,0,0,0,0
0.587081,0,0,0,0
0.588630,0,0,0,0
0.590183,0,0,0,0
0.591732,0,0,0,0
0.593283,0,0,0,0
0.594833,0,0,0,0
0.596395,0,0,0,0
0.597945,0,0,0,0
0.599495,0,0,0,0
0.601047,0,0,0,0
0.602641,0,0,0,0
0.604190,0,0,0,0
0.605739,0,0,0,0
0.607302,0,0,0,0
0.608853,0,0,0,0
0.610404,0,0,0,0
0.611953,0,0,0,0
0.613502,0,0,0,0
0.615052,0,0,0,0
0.616601,0,0,0,0
0.618168,0,0,0,0
0.619717,0,0,0,0
0.621268,0,0,0,0
0.622809,0,0,0,0
0.624348,0,0,0,0
0.625768,0,0,0,0
0.627286,0,0,0,0
0.628848,0,0,0,0
0.630396,0,0,0,0
0.631942,0,0,0,0
0.633535,0,0,0,0
0.635082,0,0,0,0
0.636630,0,0,0,0
0.638183,0,0,0,0
0.639743,0,0,0,0
0.641293,0,0,0,0
0.642841,0,0,0,0
0.644387,0,0,0,0
0.645935,0,0,0,0
0.647482,0,0,0,0
0.649030,0,0,0,0
0.650636,0,0,0,0
0.652183,0,0,0,0
0.653730,0,0,0,0
0.655275,0,0,0,0
0.656699,0,0,0,0
0.658246,0,0,0,0
0.659794,0,0,0,0
0.661356,0,0,0,0
0.662903,0,0,0,0
0.664451,0,0,0,0
0.666075,0,0,0,0
0.667624,0,0,0,0
0.669174,0,0,0,0
0.670721,0,0,0,0
0.672281,0,0,0,0
0.673828,0,0,0,0
0.675377,0,0,0,0
0.676924,0,0,0,0
0.678470,0,0,0,0
0.679894,0,0,0,0
0.681460,0,0,0,0
0.683020,0,0,0,0
0.684566,0,0,0,0
0.686118,0,0,0,0
0.687681,0,0,0,0
0.689145,0,0,0,0
0.690592,0,0,0,0
0.691981,0,0,0,0
0.693384,0,0,0,0
0.694772,0,0,0,0
0.696157,0,0,0,0
0.697692,0,0,0,0
0.699241,0,0,0,0
0.700863,0,0,0,0
0.702481,0,0,0,0
0.704472,0,0,0,0
0.705864,0,0,0,0
0.707252,0,0,0,0
0.708637,0,0,0,0
0.710024,0,0,0,0
0.711408,0,0,0,0
0.712922,0,0,0,0
0.714514,0,0,0,0
0.715980,0,0,0,0
0.717382,0,0,0,0
0.718778,0,0,0,0
0.720165,0,0,0,0
0.721549,0,0,0,0
0.722936,0,0,0,0
0.724320,0,0,0,0
0.725833,0,0,0,0
0.727221,0,0,0,0
0.728742,0,0,0,0
0.730174,0,0,0,0
0.731570,0,0,0,0
0.732995,0,0,0,0
0.734382,0,0,0,0
0.735767,0,0,0,0
0.737155,0,0,0,0
0.738551,0,0,0,0
0.740063,0,0,0,0
0.741613,0,0,0,0
0.743162,0,0,0,0
0.744709,0,0,0,0
0.746263,0,0,0,0
0.747853,0,0,0,0
0.749264,0,0,0,0
0.750773,0,0,0,0
0.752313,0,0,0,0
0.753736,0,0,0,0
0.755261,0,0,0,0
0.756865,0,0,0,0
0.758410,0,0,0,0
0.759850,0,0,0,0
0.761418,0,0,0,0
0.762968,0,0,0,0
0.764515,0,0,0,0
0.766067,0,0,0,0
0.767612,0,0,0,0
0.769162,0,0,0,0
0.770724,0,0,0,0
0.772272,0,0,0,0
