elapsed_s,HLSQ_FS_SP_CCTX_NUM,HLSQ_BV_SP_CCTX_NUM,HLSQ_VS_SP_SCTX_NUM,HLSQ_FS_SP_SCTX_NUM,HLSQ_BV_SP_SCTX_NUM
0.660882,0,0,0,0,0
0.662808,0,0,0,0,0
0.664357,0,0,0,0,0
0.665909,0,0,0,0,0
0.667457,0,0,0,0,0
0.669070,0,0,0,0,0
0.670752,0,0,0,0,0
0.672502,0,0,0,0,0
0.674124,0,0,0,0,0
0.675884,0,0,0,0,0
0.677684,0,0,0,0,0
0.679490,0,0,0,0,0
0.681291,0,0,0,0,0
0.683098,0,0,0,0,0
0.684804,0,0,0,0,0
0.686572,0,0,0,0,0
0.688374,0,0,0,0,0
0.690176,0,0,0,0,0
0.691782,0,0,0,0,0
0.693557,0,0,0,0,0
0.695383,0,0,0,0,0
0.697187,0,0,0,0,0
0.698809,0,0,0,0,0
0.700640,0,0,0,0,0
0.702236,0,0,0,0,0
0.703999,0,0,0,0,0
0.706009,0,0,0,0,0
0.707690,0,0,0,0,0
0.709478,0,0,0,0,0
0.711201,0,0,0,0,0
0.712918,0,0,0,0,0
0.714642,0,0,0,0,0
0.716320,0,0,0,0,0
0.717845,0,0,0,0,0
0.719643,0,0,0,0,0
0.721508,0,0,0,0,0
0.723309,0,0,0,0,0
0.725089,0,0,0,0,0
0.726829,0,0,0,0,0
0.728363,0,0,0,0,0
0.730055,0,0,0,0,0
0.731762,0,0,0,0,0
0.733591,0,0,0,0,0
0.735161,0,0,0,0,0
0.736696,0,0,0,0,0
0.738173,0,0,0,0,0
0.739648,0,0,0,0,0
0.741633,0,0,0,0,0
0.743306,0,0,0,0,0
0.745769,0,0,0,0,0
0.748877,0,0,0,0,0
0.750432,0,0,0,0,0
0.751976,0,0,0,0,0
0.753645,0,0,0,0,0
0.755367,0,0,0,0,0
0.756934,0,0,0,0,0
0.758686,0,0,0,0,0
0.760248,0,0,0,0,0
0.761789,0,0,0,0,0
0.763330,0,0,0,0,0
0.764937,0,0,0,0,0
0.766704,0,0,0,0,0
0.768460,0,0,0,0,0
0.770270,0,0,0,0,0
0.771894,0,0,0,0,0
0.773666,0,0,0,0,0
0.775459,0,0,0,0,0
0.777250,0,0,0,0,0
0.778863,0,0,0,0,0
0.780422,0,0,0,0,0
0.782089,0,0,0,0,0
0.783642,0,0,0,0,0
0.785192,0,0,0,0,0
0.786739,0,0,0,0,0
0.788287,0,0,0,0,0
0.789906,0,0,0,0,0
0.791454,0,0,0,0,0
0.793222,0,0,0,0,0
0.795035,0,0,0,0,0
0.796916,0,0,0,0,0
0.798660,0,0,0,0,0
0.800422,0,0,0,0,0
0.802230,0,0,0,0,0
0.803855,0,0,0,0,0
0.805626,0,0,0,0,0
0.807433,0,0,0,0,0
0.809237,0,0,0,0,0
0.811050,0,0,0,0,0
0.812929,0,0,0,0,0
0.814676,0,0,0,0,0
0.816438,0,0,0,0,0
0.818241,0,0,0,0,0
0.820045,0,0,0,0,0
0.821850,0,0,0,0,0
0.823651,0,0,0,0,0
0.825493,0,0,0,0,0
0.827158,0,0,0,0,0
0.828999,0,0,0,0,0
0.830759,0,0,0,0,0
0.832520,0,0,0,0,0
0.834320,0,0,0,0,0
0.835933,0,0,0,0,0
0.838115,0,0,0,0,0
0.839813,0,0,0,0,0
0.841375,0,0,0,0,0
0.842993,0,0,0,0,0
0.844619,0,0,0,0,0
0.846191,0,0,0,0,0
0.847742,0,0,0,0,0
0.849501,0,0,0,0,0
0.851309,0,0,0,0,0
0.853191,0,0,0,0,0
0.854779,0,0,0,0,0
0.856353,0,0,0,0,0
0.858117,0,0,0,0,0
0.859925,0,0,0,0,0
0.861734,0,0,0,0,0
0.863540,0,0,0,0,0
0.865343,0,0,0,0,0
0.866982,0,0,0,0,0
0.868827,0,0,0,0,0
0.870635,0,0,0,0,0
0.872442,0,0,0,0,0
0.874252,0,0,0,0,0
0.876062,0,0,0,0,0
0.877974,0,0,0,0,0
0.879781,0,0,0,0,0
0.881591,0,0,0,0,0
0.883399,0,0,0,0,0
0.885280,0,0,0,0,0
0.887093,0,0,0,0,0
0.888917,0,0,0,0,0
0.890661,0,0,0,0,0
0.892424,0,0,0,0,0
0.893961,0,0,0,0,0
0.895512,0,0,0,0,0
0.897256,0,0,0,0,0
0.898847,0,0,0,0,0
0.900686,0,0,0,0,0
0.902341,0,0,0,0,0
0.904139,0,0,0,0,0
0.905946,0,0,0,0,0
0.907751,0,0,0,0,0
0.909371,0,0,0,0,0
0.911274,0,0,0,0,0
0.913074,0,0,0,0,0
0.914885,0,0,0,0,0
0.916765,0,0,0,0,0
0.918568,0,0,0,0,0
0.920393,0,0,0,0,0
0.922199,0,0,0,0,0
0.924001,0,0,0,0,0
0.925806,0,0,0,0,0
0.927608,0,0,0,0,0
0.929182,0,0,0,0,0
0.930803,0,0,0,0,0
0.932641,0,0,0,0,0
0.934448,0,0,0,0,0
0.936253,0,0,0,0,0
0.938063,0,0,0,0,0
0.939869,0,0,0,0,0
0.941501,0,0,0,0,0
0.943266,0,0,0,0,0
0.945069,0,0,0,0,0
0.946881,0,0,0,0,0
0.948764,0,0,0,0,0
0.950570,0,0,0,0,0
0.952398,0,0,0,0,0
0.954206,0,0,0,0,0
0.955998,0,0,0,0,0
0.957694,0,0,0,0,0
0.959752,0,0,0,0,0
0.961618,0,0,0,0,0
0.963340,0,0,0,0,0
0.965179,0,0,0,0,0
0.966862,0,0,0,0,0
0.968418,0,0,0,0,0
0.969967,0,0,0,0,0
0.971512,0,0,0,0,0
0.973128,0,0,0,0,0
0.974687,0,0,0,0,0
0.976233,0,0,0,0,0
0.977879,0,0,0,0,0
0.979436,0,0,0,0,0
0.981054,0,0,0,0,0
0.982745,0,0,0,0,0
0.984294,0,0,0,0,0
0.985861,0,0,0,0,0
0.987618,0,0,0,0,0
0.989505,0,0,0,0,0
0.991409,0,0,0,0,0
0.993062,0,0,0,0,0
0.994720,0,0,0,0,0
0.996292,0,0,0,0,0
0.997930,0,0,0,0,0
0.999485,0,0,0,0,0
1.001035,0,0,0,0,0
1.003164,0,0,0,0,0
1.005437,0,0,0,0,0
1.007030,0,0,0,0,0
1.008579,0,0,0,0,0
1.010313,0,0,0,0,0
1.011897,0,0,0,0,0
1.013831,0,0,0,0,0
1.015628,0,0,0,0,0
1.017570,0,0,0,0,0
1.019229,0,0,0,0,0
1.020838,0,0,0,0,0
1.022388,0,0,0,0,0
1.023940,0,0,0,0,0
1.025494,0,0,0,0,0
1.027043,0,0,0,0,0
