elapsed_s,HLSQ_BV_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_VS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_BV_CONST_BUF_FULL_BLOCK_CPI,HLSQ_VS_INS_BUF_FULL_BLOCK_CPI,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI
0.425981,0,0,0,0,0,0
0.427310,0,0,0,0,0,0
0.428631,0,0,0,0,0,0
0.429921,0,0,0,0,0,0
0.431340,0,0,0,0,0,0
0.432603,0,0,0,0,0,0
0.433863,0,0,0,0,0,0
0.435223,0,0,0,0,0,0
0.436586,0,0,0,0,0,0
0.437881,0,0,0,0,0,0
0.439174,0,0,0,0,0,0
0.440469,0,0,0,0,0,0
0.441764,0,0,0,0,0,0
0.443186,0,0,0,0,0,0
0.444512,0,0,0,0,0,0
0.445879,0,0,0,0,0,0
0.447179,0,0,0,0,0,0
0.448581,0,0,0,0,0,0
0.450093,0,0,0,0,0,0
0.451390,0,0,0,0,0,0
0.452732,0,0,0,0,0,0
0.454031,0,0,0,0,0,0
0.455322,0,0,0,0,0,0
0.456627,0,0,0,0,0,0
0.457923,0,0,0,0,0,0
0.459219,0,0,0,0,0,0
0.460709,0,0,0,0,0,0
0.462380,0,0,0,0,0,0
0.463676,0,0,0,0,0,0
0.465190,0,0,0,0,0,0
0.466686,0,0,0,0,0,0
0.467985,0,0,0,0,0,0
0.469326,0,0,0,0,0,0
0.470831,0,0,0,0,0,0
0.472121,0,0,0,0,0,0
0.473423,0,0,0,0,0,0
0.474819,0,0,0,0,0,0
0.476576,0,0,0,0,0,0
0.477873,0,0,0,0,0,0
0.479160,0,0,0,0,0,0
0.480446,0,0,0,0,0,0
0.481736,0,0,0,0,0,0
0.483021,0,0,0,0,0,0
0.484306,0,0,0,0,0,0
0.485595,0,0,0,0,0,0
0.486875,0,0,0,0,0,0
0.488153,0,0,0,0,0,0
0.489586,0,0,0,0,0,0
0.490873,0,0,0,0,0,0
0.492526,0,0,0,0,0,0
0.493897,0,0,0,0,0,0
0.495378,0,0,0,0,0,0
0.496716,0,0,0,0,0,0
0.498694,0,0,0,0,0,0
0.500208,0,0,0,0,0,0
0.501519,0,0,0,0,0,0
0.502905,0,0,0,0,0,0
0.505223,0,0,0,0,0,0
0.506788,0,0,0,0,0,0
0.508310,0,0,0,0,0,0
0.509724,0,0,0,0,0,0
0.510993,0,0,0,0,0,0
0.512250,0,0,0,0,0,0
0.513507,0,0,0,0,0,0
0.514762,0,0,0,0,0,0
0.516019,0,0,0,0,0,0
0.517280,0,0,0,0,0,0
0.518532,0,0,0,0,0,0
0.519785,0,0,0,0,0,0
0.521035,0,0,0,0,0,0
0.522283,0,0,0,0,0,0
0.523524,0,0,0,0,0,0
0.524927,0,0,0,0,0,0
0.526149,0,0,0,0,0,0
0.527454,0,0,0,0,0,0
0.528716,0,0,0,0,0,0
0.529977,0,0,0,0,0,0
0.531282,0,0,0,0,0,0
0.532731,0,0,0,0,0,0
0.534237,0,0,0,0,0,0
0.535592,0,0,0,0,0,0
0.537101,0,0,0,0,0,0
0.538432,0,0,0,0,0,0
0.539786,0,0,0,0,0,0
0.541084,0,0,0,0,0,0
0.542536,0,0,0,0,0,0
0.544046,0,0,0,0,0,0
0.545344,0,0,0,0,0,0
0.546635,0,0,0,0,0,0
0.548108,0,0,0,0,0,0
0.549544,0,0,0,0,0,0
0.550904,0,0,0,0,0,0
0.552498,0,0,0,0,0,0
0.553837,0,0,0,0,0,0
0.555134,0,0,0,0,0,0
0.556427,0,0,0,0,0,0
0.557972,0,0,0,0,0,0
0.559449,0,0,0,0,0,0
0.560807,0,0,0,0,0,0
0.562103,0,0,0,0,0,0
0.563567,0,0,0,0,0,0
0.564926,0,0,0,0,0,0
0.566223,0,0,0,0,0,0
0.567518,0,0,0,0,0,0
0.569010,0,0,0,0,0,0
0.570471,0,0,0,0,0,0
0.571763,0,0,0,0,0,0
0.573116,0,0,0,0,0,0
0.574415,0,0,0,0,0,0
0.575713,0,0,0,0,0,0
0.577003,0,0,0,0,0,0
0.578291,0,0,0,0,0,0
0.579590,0,0,0,0,0,0
0.580986,0,0,0,0,0,0
0.582274,0,0,0,0,0,0
0.583657,0,0,0,0,0,0
0.584942,0,0,0,0,0,0
0.586230,0,0,0,0,0,0
0.587514,0,0,0,0,0,0
0.588844,0,0,0,0,0,0
0.590131,0,0,0,0,0,0
0.591415,0,0,0,0,0,0
0.592699,0,0,0,0,0,0
0.593986,0,0,0,0,0,0
0.595269,0,0,0,0,0,0
0.596599,0,0,0,0,0,0
0.597885,0,0,0,0,0,0
0.601860,0,0,0,0,0,0
0.605266,0,0,0,0,0,0
0.606818,0,0,0,0,0,0
0.608135,0,0,0,0,0,0
0.609439,0,0,0,0,0,0
0.610725,0,0,0,0,0,0
0.611960,0,0,0,0,0,0
0.613222,0,0,0,0,0,0
0.614660,0,0,0,0,0,0
0.615983,0,0,0,0,0,0
0.617287,0,0,0,0,0,0
0.618714,0,0,0,0,0,0
0.620796,0,0,0,0,0,0
0.622106,0,0,0,0,0,0
0.623390,0,0,0,0,0,0
0.624666,0,0,0,0,0,0
0.625959,0,0,0,0,0,0
0.627238,0,0,0,0,0,0
0.628608,0,0,0,0,0,0
0.629853,0,0,0,0,0,0
0.631096,0,0,0,0,0,0
