elapsed_s,HLSQ_L2STC_REQ_INS_HLSQ,HLSQ_L2STC_REQ_INS_HLSQ_HIT,HLSQ_L2STC_REQ_INS_SP,HLSQ_L2STC_REQ_INS_SP_HIT,HLSQ_L2STC_REQ_UCHE,HLSQ_L2STC_LATENCY_CYCLES
0.491693,0,0,0,0,0,0
0.492870,0,0,0,0,0,0
0.494188,0,0,0,0,0,0
0.495362,0,0,0,0,0,0
0.496543,0,0,0,0,0,0
0.497833,0,0,0,0,0,0
0.499010,0,0,0,0,0,0
0.500186,0,0,0,0,0,0
0.501415,0,0,0,0,0,0
0.502646,0,0,0,0,0,0
0.503822,0,0,0,0,0,0
0.504995,0,0,0,0,0,0
0.506171,0,0,0,0,0,0
0.507343,0,0,0,0,0,0
0.508522,0,0,0,0,0,0
0.509694,0,0,0,0,0,0
0.510867,0,0,0,0,0,0
0.512032,0,0,0,0,0,0
0.513205,0,0,0,0,0,0
0.514379,0,0,0,0,0,0
0.515600,0,0,0,0,0,0
0.516788,0,0,0,0,0,0
0.518012,0,0,0,0,0,0
0.519182,0,0,0,0,0,0
0.520357,0,0,0,0,0,0
0.521605,0,0,0,0,0,0
0.522966,0,0,0,0,0,0
0.524499,0,0,0,0,0,0
0.525731,0,0,0,0,0,0
0.527121,0,0,0,0,0,0
0.528520,0,0,0,0,0,0
0.530370,0,0,0,0,0,0
0.531657,0,0,0,0,0,0
0.532840,0,0,0,0,0,0
0.534023,0,0,0,0,0,0
0.535200,0,0,0,0,0,0
0.536379,0,0,0,0,0,0
0.537619,0,0,0,0,0,0
0.538938,0,0,0,0,0,0
0.540774,0,0,0,0,0,0
0.541975,0,0,0,0,0,0
0.543151,0,0,0,0,0,0
0.544916,0,0,0,0,0,0
0.546301,0,0,0,0,0,0
0.547513,0,0,0,0,0,0
0.548692,0,0,0,0,0,0
0.550074,0,0,0,0,0,0
0.551311,0,0,0,0,0,0
0.552678,0,0,0,0,0,0
0.554240,0,0,0,0,0,0
0.555456,0,0,0,0,0,0
