elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.601295,0,0,0,0,0,0,0,0
0.602742,0,0,0,0,0,0,0,0
0.604333,0,0,0,0,0,0,0,0
0.605908,0,0,0,0,0,0,0,0
0.607482,0,0,0,0,0,0,0,0
0.609055,0,0,0,0,0,0,0,0
0.610640,0,0,0,0,0,0,0,0
0.612259,0,0,0,0,0,0,0,0
0.613833,0,0,0,0,0,0,0,0
0.615408,0,0,0,0,0,0,0,0
0.616973,0,0,0,0,0,0,0,0
0.618536,0,0,0,0,0,0,0,0
0.620029,0,0,0,0,0,0,0,0
0.621428,0,0,0,0,0,0,0,0
0.622804,0,0,0,0,0,0,0,0
0.624330,0,0,0,0,0,0,0,0
0.625763,0,0,0,0,0,0,0,0
0.627187,0,0,0,0,0,0,0,0
0.628634,0,0,0,0,0,0,0,0
0.630043,0,0,0,0,0,0,0,0
0.631469,0,0,0,0,0,0,0,0
0.632877,0,0,0,0,0,0,0,0
0.634285,0,0,0,0,0,0,0,0
0.635869,0,0,0,0,0,0,0,0
0.637442,0,0,0,0,0,0,0,0
0.639013,0,0,0,0,0,0,0,0
0.640648,0,0,0,0,0,0,0,0
0.642234,0,0,0,0,0,0,0,0
0.643852,0,0,0,0,0,0,0,0
0.645426,0,0,0,0,0,0,0,0
0.646997,0,0,0,0,0,0,0,0
0.648443,0,0,0,0,0,0,0,0
0.649985,0,0,0,0,0,0,0,0
0.651560,0,0,0,0,0,0,0,0
0.653192,0,0,0,0,0,0,0,0
0.654763,0,0,0,0,0,0,0,0
0.656337,0,0,0,0,0,0,0,0
0.657910,0,0,0,0,0,0,0,0
0.659485,0,0,0,0,0,0,0,0
0.661103,0,0,0,0,0,0,0,0
0.662675,0,0,0,0,0,0,0,0
0.664262,0,0,0,0,0,0,0,0
0.665836,0,0,0,0,0,0,0,0
0.667597,0,0,0,0,0,0,0,0
0.670047,0,0,0,0,0,0,0,0
