elapsed_s,HLSQ_BV2LPAC_SWITCH_CNT,HLSQ_LPAC2BV_SWITCH_CYC,HLSQ_BV2LPAC_SWITCH_CYC,HLSQ_VSDP_BV2BR_SWITCH_CYC,HLSQ_VS_SP_HCTX_ACTIVE_CNT,HLSQ_FS_SP_HCTX_ACTIVE_CNT
0.934379,0,0,0,0,0,0
0.935941,0,0,0,0,0,0
0.937429,0,0,0,0,0,0
0.939050,0,0,0,0,0,0
0.940498,0,0,0,0,0,0
0.942028,0,0,0,0,0,0
0.943590,0,0,0,0,0,0
0.945040,0,0,0,0,0,0
0.946447,0,0,0,0,0,0
0.948247,0,0,0,0,0,0
0.949720,0,0,0,0,0,0
0.951123,0,0,0,0,0,0
0.952521,0,0,0,0,0,0
0.954088,0,0,0,0,0,0
0.955649,0,0,0,0,0,0
0.957209,0,0,0,0,0,0
0.958835,0,0,0,0,0,0
0.960629,0,0,0,0,0,0
0.962214,0,0,0,0,0,0
0.963774,0,0,0,0,0,0
0.965333,0,0,0,0,0,0
0.966894,0,0,0,0,0,0
0.968455,0,0,0,0,0,0
0.969901,0,0,0,0,0,0
0.971457,0,0,0,0,0,0
0.972924,0,0,0,0,0,0
0.974484,0,0,0,0,0,0
0.976047,0,0,0,0,0,0
0.977604,0,0,0,0,0,0
0.979091,0,0,0,0,0,0
0.980500,0,0,0,0,0,0
0.982029,0,0,0,0,0,0
0.983495,0,0,0,0,0,0
0.984947,0,0,0,0,0,0
0.986544,0,0,0,0,0,0
0.988111,0,0,0,0,0,0
0.989672,0,0,0,0,0,0
0.991236,0,0,0,0,0,0
0.992799,0,0,0,0,0,0
0.994415,0,0,0,0,0,0
0.995931,0,0,0,0,0,0
0.997463,0,0,0,0,0,0
0.999026,0,0,0,0,0,0
1.000578,0,0,0,0,0,0
1.002172,0,0,0,0,0,0
1.003602,0,0,0,0,0,0
1.005145,0,0,0,0,0,0
1.006706,0,0,0,0,0,0
1.008272,0,0,0,0,0,0
1.009875,0,0,0,0,0,0
1.011438,0,0,0,0,0,0
1.013000,0,0,0,0,0,0
1.014559,0,0,0,0,0,0
1.016139,0,0,0,0,0,0
1.017699,0,0,0,0,0,0
1.019261,0,0,0,0,0,0
1.020822,0,0,0,0,0,0
1.022382,0,0,0,0,0,0
1.023944,0,0,0,0,0,0
1.025505,0,0,0,0,0,0
1.027125,0,0,0,0,0,0
1.028686,0,0,0,0,0,0
1.030246,0,0,0,0,0,0
1.031808,0,0,0,0,0,0
1.033369,0,0,0,0,0,0
1.034932,0,0,0,0,0,0
1.036494,0,0,0,0,0,0
1.038066,0,0,0,0,0,0
1.039629,0,0,0,0,0,0
1.041190,0,0,0,0,0,0
1.042751,0,0,0,0,0,0
1.044342,0,0,0,0,0,0
1.045744,0,0,0,0,0,0
1.047274,0,0,0,0,0,0
1.048840,0,0,0,0,0,0
1.050433,0,0,0,0,0,0
1.052127,0,0,0,0,0,0
1.053687,0,0,0,0,0,0
1.055249,0,0,0,0,0,0
1.056811,0,0,0,0,0,0
1.058414,0,0,0,0,0,0
1.060051,0,0,0,0,0,0
1.061609,0,0,0,0,0,0
1.063171,0,0,0,0,0,0
1.064731,0,0,0,0,0,0
1.066332,0,0,0,0,0,0
1.067892,0,0,0,0,0,0
1.069451,0,0,0,0,0,0
1.071026,0,0,0,0,0,0
1.072586,0,0,0,0,0,0
1.074187,0,0,0,0,0,0
1.075747,0,0,0,0,0,0
1.077307,0,0,0,0,0,0
1.078869,0,0,0,0,0,0
1.080430,0,0,0,0,0,0
1.082043,0,0,0,0,0,0
1.083605,0,0,0,0,0,0
1.085166,0,0,0,0,0,0
1.086724,0,0,0,0,0,0
1.088226,0,0,0,0,0,0
1.089624,0,0,0,0,0,0
1.091194,0,0,0,0,0,0
1.092767,0,0,0,0,0,0
1.094325,0,0,0,0,0,0
1.095885,0,0,0,0,0,0
1.097445,0,0,0,0,0,0
1.099095,0,0,0,0,0,0
1.100655,0,0,0,0,0,0
1.102214,0,0,0,0,0,0
1.103785,0,0,0,0,0,0
1.105344,0,0,0,0,0,0
1.106906,0,0,0,0,0,0
1.108466,0,0,0,0,0,0
1.110024,0,0,0,0,0,0
1.111587,0,0,0,0,0,0
1.113148,0,0,0,0,0,0
1.114595,0,0,0,0,0,0
1.116130,0,0,0,0,0,0
1.117688,0,0,0,0,0,0
1.119250,0,0,0,0,0,0
1.120810,0,0,0,0,0,0
1.122410,0,0,0,0,0,0
1.124037,0,0,0,0,0,0
1.125608,0,0,0,0,0,0
1.127170,0,0,0,0,0,0
1.128730,0,0,0,0,0,0
1.130330,0,0,0,0,0,0
1.131890,0,0,0,0,0,0
1.133449,0,0,0,0,0,0
1.135011,0,0,0,0,0,0
1.136582,0,0,0,0,0,0
1.138034,0,0,0,0,0,0
1.139577,0,0,0,0,0,0
1.141140,0,0,0,0,0,0
1.142698,0,0,0,0,0,0
1.144265,0,0,0,0,0,0
1.145868,0,0,0,0,0,0
1.147445,0,0,0,0,0,0
1.149008,0,0,0,0,0,0
1.150567,0,0,0,0,0,0
1.152130,0,0,0,0,0,0
1.153682,0,0,0,0,0,0
1.155155,0,0,0,0,0,0
1.156689,0,0,0,0,0,0
1.158260,0,0,0,0,0,0
1.159822,0,0,0,0,0,0
1.161384,0,0,0,0,0,0
1.162948,0,0,0,0,0,0
