elapsed_s,HLSQ_BV_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_VS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_BV_CONST_BUF_FULL_BLOCK_CPI,HLSQ_VS_INS_BUF_FULL_BLOCK_CPI,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI
1.054261,0,0,0,0,0,0
1.055823,0,0,0,0,0,0
1.057431,0,0,0,0,0,0
1.058993,0,0,0,0,0,0
1.060553,0,0,0,0,0,0
1.062114,0,0,0,0,0,0
1.063677,0,0,0,0,0,0
1.065297,0,0,0,0,0,0
1.066860,0,0,0,0,0,0
1.068420,0,0,0,0,0,0
1.069982,0,0,0,0,0,0
1.071545,0,0,0,0,0,0
1.073109,0,0,0,0,0,0
1.074670,0,0,0,0,0,0
1.076242,0,0,0,0,0,0
1.077806,0,0,0,0,0,0
1.079368,0,0,0,0,0,0
1.080931,0,0,0,0,0,0
1.082457,0,0,0,0,0,0
1.083863,0,0,0,0,0,0
1.085393,0,0,0,0,0,0
1.086968,0,0,0,0,0,0
1.088570,0,0,0,0,0,0
1.090132,0,0,0,0,0,0
1.091693,0,0,0,0,0,0
1.093258,0,0,0,0,0,0
1.094820,0,0,0,0,0,0
1.096423,0,0,0,0,0,0
1.097998,0,0,0,0,0,0
1.099560,0,0,0,0,0,0
1.101124,0,0,0,0,0,0
1.102687,0,0,0,0,0,0
1.104289,0,0,0,0,0,0
1.105852,0,0,0,0,0,0
1.107415,0,0,0,0,0,0
1.109042,0,0,0,0,0,0
1.110659,0,0,0,0,0,0
1.112252,0,0,0,0,0,0
1.113684,0,0,0,0,0,0
1.115216,0,0,0,0,0,0
1.116776,0,0,0,0,0,0
1.118340,0,0,0,0,0,0
1.119789,0,0,0,0,0,0
1.121367,0,0,0,0,0,0
1.122931,0,0,0,0,0,0
1.124491,0,0,0,0,0,0
1.126054,0,0,0,0,0,0
1.127616,0,0,0,0,0,0
1.129224,0,0,0,0,0,0
1.130799,0,0,0,0,0,0
1.132359,0,0,0,0,0,0
1.133922,0,0,0,0,0,0
1.135483,0,0,0,0,0,0
1.137048,0,0,0,0,0,0
1.138611,0,0,0,0,0,0
1.140172,0,0,0,0,0,0
1.141748,0,0,0,0,0,0
1.143311,0,0,0,0,0,0
1.144873,0,0,0,0,0,0
1.146439,0,0,0,0,0,0
1.147998,0,0,0,0,0,0
1.149562,0,0,0,0,0,0
1.151123,0,0,0,0,0,0
1.152695,0,0,0,0,0,0
1.154261,0,0,0,0,0,0
1.155820,0,0,0,0,0,0
1.157383,0,0,0,0,0,0
1.158944,0,0,0,0,0,0
1.160546,0,0,0,0,0,0
1.162106,0,0,0,0,0,0
1.163679,0,0,0,0,0,0
1.165241,0,0,0,0,0,0
1.166801,0,0,0,0,0,0
1.168403,0,0,0,0,0,0
1.169965,0,0,0,0,0,0
