elapsed_s,HLSQ_STPROC_L0_INS_LATENCY_CYCLE,HLSQ_STPROC_DPS_RUN_COUNT,HLSQ_STPROC_DPS_RUN_CYCLE,HLSQ_VSDP_BR_QUERY_REQ,HLSQ_VSDP_BV_QUERY_REQ,HLSQ_VSDP_BR_QUERY_REQ_WHEN_BV_PENDING
0.596681,0,0,0,0,0,0
0.598114,0,0,0,0,0,0
0.599515,0,0,0,0,0,0
0.600914,0,0,0,0,0,0
0.602362,0,0,0,0,0,0
0.603753,0,0,0,0,0,0
0.605145,0,0,0,0,0,0
0.606646,0,0,0,0,0,0
0.608108,0,0,0,0,0,0
0.609509,0,0,0,0,0,0
0.610907,0,0,0,0,0,0
0.612305,0,0,0,0,0,0
0.613739,0,0,0,0,0,0
0.615319,0,0,0,0,0,0
0.616895,0,0,0,0,0,0
0.618545,0,0,0,0,0,0
0.620107,0,0,0,0,0,0
0.621716,0,0,0,0,0,0
0.623279,0,0,0,0,0,0
0.624839,0,0,0,0,0,0
0.626274,0,0,0,0,0,0
0.627817,0,0,0,0,0,0
0.629381,0,0,0,0,0,0
0.630989,0,0,0,0,0,0
0.632550,0,0,0,0,0,0
0.634112,0,0,0,0,0,0
0.635665,0,0,0,0,0,0
0.637372,0,0,0,0,0,0
0.639009,0,0,0,0,0,0
0.640571,0,0,0,0,0,0
0.642131,0,0,0,0,0,0
0.643692,0,0,0,0,0,0
0.645253,0,0,0,0,0,0
0.646814,0,0,0,0,0,0
0.648374,0,0,0,0,0,0
0.649834,0,0,0,0,0,0
0.651388,0,0,0,0,0,0
0.652947,0,0,0,0,0,0
0.654512,0,0,0,0,0,0
0.656071,0,0,0,0,0,0
0.657632,0,0,0,0,0,0
0.659193,0,0,0,0,0,0
0.660767,0,0,0,0,0,0
0.662371,0,0,0,0,0,0
0.663932,0,0,0,0,0,0
0.665493,0,0,0,0,0,0
0.667054,0,0,0,0,0,0
0.668612,0,0,0,0,0,0
0.670217,0,0,0,0,0,0
0.671791,0,0,0,0,0,0
0.673353,0,0,0,0,0,0
0.674914,0,0,0,0,0,0
0.676474,0,0,0,0,0,0
0.678079,0,0,0,0,0,0
0.679641,0,0,0,0,0,0
0.681200,0,0,0,0,0,0
0.682912,0,0,0,0,0,0
0.684470,0,0,0,0,0,0
0.686076,0,0,0,0,0,0
0.687636,0,0,0,0,0,0
0.689195,0,0,0,0,0,0
0.690781,0,0,0,0,0,0
0.692183,0,0,0,0,0,0
0.693764,0,0,0,0,0,0
0.695323,0,0,0,0,0,0
0.696881,0,0,0,0,0,0
0.698500,0,0,0,0,0,0
0.700070,0,0,0,0,0,0
0.701518,0,0,0,0,0,0
0.703096,0,0,0,0,0,0
0.704661,0,0,0,0,0,0
0.706092,0,0,0,0,0,0
0.707620,0,0,0,0,0,0
0.709198,0,0,0,0,0,0
0.710797,0,0,0,0,0,0
0.712357,0,0,0,0,0,0
0.713920,0,0,0,0,0,0
0.715497,0,0,0,0,0,0
0.717057,0,0,0,0,0,0
0.718626,0,0,0,0,0,0
0.720187,0,0,0,0,0,0
0.721750,0,0,0,0,0,0
0.723313,0,0,0,0,0,0
0.724873,0,0,0,0,0,0
0.726386,0,0,0,0,0,0
0.727919,0,0,0,0,0,0
0.729482,0,0,0,0,0,0
0.731045,0,0,0,0,0,0
0.732605,0,0,0,0,0,0
0.734210,0,0,0,0,0,0
0.735772,0,0,0,0,0,0
0.737348,0,0,0,0,0,0
0.738901,0,0,0,0,0,0
0.740453,0,0,0,0,0,0
0.741926,0,0,0,0,0,0
0.743458,0,0,0,0,0,0
0.745018,0,0,0,0,0,0
0.746584,0,0,0,0,0,0
0.748158,0,0,0,0,0,0
0.749768,0,0,0,0,0,0
0.751329,0,0,0,0,0,0
0.752890,0,0,0,0,0,0
0.754515,0,0,0,0,0,0
0.756076,0,0,0,0,0,0
0.757683,0,0,0,0,0,0
0.759259,0,0,0,0,0,0
0.760819,0,0,0,0,0,0
0.762381,0,0,0,0,0,0
0.763934,0,0,0,0,0,0
0.765401,0,0,0,0,0,0
0.766993,0,0,0,0,0,0
0.768554,0,0,0,0,0,0
0.770128,0,0,0,0,0,0
0.771691,0,0,0,0,0,0
0.773256,0,0,0,0,0,0
0.774818,0,0,0,0,0,0
0.776378,0,0,0,0,0,0
0.777943,0,0,0,0,0,0
0.779505,0,0,0,0,0,0
0.781079,0,0,0,0,0,0
0.782648,0,0,0,0,0,0
0.784209,0,0,0,0,0,0
0.785773,0,0,0,0,0,0
0.787334,0,0,0,0,0,0
0.788895,0,0,0,0,0,0
0.790420,0,0,0,0,0,0
0.791962,0,0,0,0,0,0
0.793526,0,0,0,0,0,0
0.795088,0,0,0,0,0,0
0.796649,0,0,0,0,0,0
0.798256,0,0,0,0,0,0
0.799819,0,0,0,0,0,0
0.801383,0,0,0,0,0,0
0.802959,0,0,0,0,0,0
0.804521,0,0,0,0,0,0
0.806126,0,0,0,0,0,0
0.807688,0,0,0,0,0,0
0.809252,0,0,0,0,0,0
0.810814,0,0,0,0,0,0
0.812374,0,0,0,0,0,0
0.813997,0,0,0,0,0,0
0.815560,0,0,0,0,0,0
0.817120,0,0,0,0,0,0
0.818687,0,0,0,0,0,0
0.820248,0,0,0,0,0,0
0.821856,0,0,0,0,0,0
0.823418,0,0,0,0,0,0
0.824993,0,0,0,0,0,0
0.826560,0,0,0,0,0,0
0.828120,0,0,0,0,0,0
0.829727,0,0,0,0,0,0
0.831290,0,0,0,0,0,0
0.832850,0,0,0,0,0,0
0.834499,0,0,0,0,0,0
0.836073,0,0,0,0,0,0
0.837680,0,0,0,0,0,0
0.839242,0,0,0,0,0,0
0.840802,0,0,0,0,0,0
0.842364,0,0,0,0,0,0
0.843917,0,0,0,0,0,0
0.845455,0,0,0,0,0,0
0.847070,0,0,0,0,0,0
0.848630,0,0,0,0,0,0
0.850191,0,0,0,0,0,0
0.851753,0,0,0,0,0,0
0.853316,0,0,0,0,0,0
0.854920,0,0,0,0,0,0
0.856480,0,0,0,0,0,0
0.857926,0,0,0,0,0,0
0.859458,0,0,0,0,0,0
0.861018,0,0,0,0,0,0
0.862584,0,0,0,0,0,0
0.864145,0,0,0,0,0,0
0.865709,0,0,0,0,0,0
0.867270,0,0,0,0,0,0
0.868727,0,0,0,0,0,0
0.870304,0,0,0,0,0,0
0.871866,0,0,0,0,0,0
0.873430,0,0,0,0,0,0
0.874992,0,0,0,0,0,0
0.876552,0,0,0,0,0,0
0.878156,0,0,0,0,0,0
0.879610,0,0,0,0,0,0
0.881143,0,0,0,0,0,0
0.882709,0,0,0,0,0,0
0.884268,0,0,0,0,0,0
0.885875,0,0,0,0,0,0
0.887437,0,0,0,0,0,0
0.888996,0,0,0,0,0,0
0.890575,0,0,0,0,0,0
0.892136,0,0,0,0,0,0
