elapsed_s,PC_S_STALL_CYCLES_TESS,PC_S_STALL_CYCLES_VFD_ONLY,PC_S_STALL_CYCLES_VPC_ONLY,PC_S_VPC_PRIMITIVES,PC_S_VERTEX_HITS,PC_S_IA_VERTICES,PC_S_IA_PRIMITIVES,PC_S_HS_INVOCATIONS
0.618808,0,0,0,0,0,0,0,0
0.620207,0,0,0,0,0,0,0,0
0.621617,0,0,0,0,0,0,0,0
0.623069,0,0,0,0,0,0,0,0
0.624443,0,0,0,0,0,0,0,0
0.625889,0,0,0,0,0,0,0,0
0.627263,0,0,0,0,0,0,0,0
0.628635,0,0,0,0,0,0,0,0
0.630009,0,0,0,0,0,0,0,0
0.631383,0,0,0,0,0,0,0,0
0.632768,0,0,0,0,0,0,0,0
0.634141,0,0,0,0,0,0,0,0
0.635514,0,0,0,0,0,0,0,0
0.636927,0,0,0,0,0,0,0,0
0.638393,0,0,0,0,0,0,0,0
0.639754,0,0,0,0,0,0,0,0
0.641112,0,0,0,0,0,0,0,0
0.642470,0,0,0,0,0,0,0,0
0.643834,0,0,0,0,0,0,0,0
0.645193,0,0,0,0,0,0,0,0
0.646552,0,0,0,0,0,0,0,0
0.647909,0,0,0,0,0,0,0,0
0.649269,0,0,0,0,0,0,0,0
0.650629,0,0,0,0,0,0,0,0
0.651987,0,0,0,0,0,0,0,0
0.653344,0,0,0,0,0,0,0,0
0.654738,0,0,0,0,0,0,0,0
0.656165,0,0,0,0,0,0,0,0
0.657590,0,0,0,0,0,0,0,0
0.659017,0,0,0,0,0,0,0,0
0.660443,0,0,0,0,0,0,0,0
0.661870,0,0,0,0,0,0,0,0
0.663295,0,0,0,0,0,0,0,0
0.664745,0,0,0,0,0,0,0,0
0.666182,0,0,0,0,0,0,0,0
0.667628,0,0,0,0,0,0,0,0
0.669012,0,0,0,0,0,0,0,0
0.670388,0,0,0,0,0,0,0,0
0.671763,0,0,0,0,0,0,0,0
0.673218,0,0,0,0,0,0,0,0
0.674581,0,0,0,0,0,0,0,0
0.676005,0,0,0,0,0,0,0,0
0.677368,0,0,0,0,0,0,0,0
0.678747,0,0,0,0,0,0,0,0
0.680255,0,0,0,0,0,0,0,0
0.681618,0,0,0,0,0,0,0,0
0.683034,0,0,0,0,0,0,0,0
0.684422,0,0,0,0,0,0,0,0
0.685805,0,0,0,0,0,0,0,0
0.687208,0,0,0,0,0,0,0,0
0.688631,0,0,0,0,0,0,0,0
0.690129,0,12,0,0,0,0,0,0
