elapsed_s,RB_C_WRITE,RB_TOTAL_PASS,RB_Z_PASS,RB_Z_FAIL,RB_S_FAIL,RB_BLENDED_FXP_COMPONENTS,RB_BLENDED_FP16_COMPONENTS,RB_PS_INVOCATIONS
0.571152,0,0,0,0,0,0,0,0
0.572723,0,0,0,0,0,0,0,0
0.574342,0,0,0,0,0,0,0,0
0.575915,0,0,0,0,0,0,0,0
0.577486,0,0,0,0,0,0,0,0
0.579060,0,0,0,0,0,0,0,0
0.580632,0,0,0,0,0,0,0,0
0.582218,0,0,0,0,0,0,0,0
0.583810,0,0,0,0,0,0,0,0
0.585381,0,0,0,0,0,0,0,0
0.586953,0,0,0,0,0,0,0,0
0.588526,0,0,0,0,0,0,0,0
0.590096,0,0,0,0,0,0,0,0
0.591743,0,0,0,0,0,0,0,0
0.593221,0,0,0,0,0,0,0,0
0.594637,0,0,0,0,0,0,0,0
0.596175,0,0,0,0,0,0,0,0
0.597745,0,0,0,0,0,0,0,0
0.599317,0,0,0,0,0,0,0,0
0.600888,0,0,0,0,0,0,0,0
0.602461,0,0,0,0,0,0,0,0
0.604045,0,0,0,0,0,0,0,0
0.605615,0,0,0,0,0,0,0,0
0.607064,0,0,0,0,0,0,0,0
0.608613,0,0,0,0,0,0,0,0
0.610185,0,0,0,0,0,0,0,0
0.611764,0,0,0,0,0,0,0,0
0.613336,0,0,0,0,0,0,0,0
0.614924,0,0,0,0,0,0,0,0
0.616498,0,0,0,0,0,0,0,0
0.618069,0,0,0,0,0,0,0,0
0.619554,0,0,0,0,0,0,0,0
0.620967,0,0,0,0,0,0,0,0
0.622553,0,0,0,0,0,0,0,0
0.624126,0,0,0,0,0,0,0,0
0.625712,0,0,0,0,0,0,0,0
0.627285,0,0,0,0,0,0,0,0
0.628859,0,0,0,0,0,0,0,0
0.630434,0,0,0,0,0,0,0,0
0.632008,0,0,0,0,0,0,0,0
0.633579,0,0,0,0,0,0,0,0
0.635152,0,0,0,0,0,0,0,0
0.636737,0,0,0,0,0,0,0,0
0.638355,0,0,0,0,0,0,0,0
0.639928,0,0,0,0,0,0,0,0
0.641499,0,0,0,0,0,0,0,0
0.643075,0,0,0,0,0,0,0,0
0.644649,0,0,0,0,0,0,0,0
0.646221,0,0,0,0,0,0,0,0
0.647827,0,0,0,0,0,0,0,0
0.649398,0,0,0,0,0,0,0,0
0.650973,0,0,0,0,0,0,0,0
0.652548,0,0,0,0,0,0,0,0
0.654120,0,0,0,0,0,0,0,0
0.655743,0,0,0,0,0,0,0,0
0.657315,0,0,0,0,0,0,0,0
0.658904,0,0,0,0,0,0,0,0
0.660479,0,0,0,0,0,0,0,0
0.662050,0,0,0,0,0,0,0,0
0.663628,0,0,0,0,0,0,0,0
0.665200,0,0,0,0,0,0,0,0
0.666776,0,0,0,0,0,0,0,0
0.668349,0,0,0,0,0,0,0,0
0.669933,0,0,0,0,0,0,0,0
0.671509,0,0,0,0,0,0,0,0
0.673051,0,0,0,0,0,0,0,0
0.674626,0,0,0,0,0,0,0,0
0.676199,0,0,0,0,0,0,0,0
0.677771,0,0,0,0,0,0,0,0
0.679344,0,0,0,0,0,0,0,0
0.680929,0,0,0,0,0,0,0,0
0.682504,0,0,0,0,0,0,0,0
0.684078,0,0,0,0,0,0,0,0
0.685593,0,0,0,0,0,0,0,0
0.687059,0,0,0,0,0,0,0,0
0.688599,0,0,0,0,0,0,0,0
0.690170,0,0,0,0,0,0,0,0
0.691763,0,0,0,0,0,0,0,0
0.693334,0,0,0,0,0,0,0,0
0.694909,0,0,0,0,0,0,0,0
0.696483,0,0,0,0,0,0,0,0
0.698055,0,0,0,0,0,0,0,0
0.699632,0,0,0,0,0,0,0,0
0.701205,0,0,0,0,0,0,0,0
0.702835,0,0,0,0,0,0,0,0
0.704409,0,0,0,0,0,0,0,0
0.705980,0,0,0,0,0,0,0,0
0.707558,0,0,0,0,0,0,0,0
0.709130,0,0,0,0,0,0,0,0
0.710704,0,0,0,0,0,0,0,0
0.712278,0,0,0,0,0,0,0,0
0.713863,0,0,0,0,0,0,0,0
0.715305,0,0,0,0,0,0,0,0
0.716848,0,0,0,0,0,0,0,0
0.718465,0,0,0,0,0,0,0,0
0.720040,0,0,0,0,0,0,0,0
0.721612,0,0,0,0,0,0,0,0
0.723185,0,0,0,0,0,0,0,0
0.724762,0,0,0,0,0,0,0,0
0.726374,0,0,0,0,0,0,0,0
0.727820,0,0,0,0,0,0,0,0
0.729232,0,0,0,0,0,0,0,0
0.730773,0,0,0,0,0,0,0,0
0.732345,0,0,0,0,0,0,0,0
0.733915,0,0,0,0,0,0,0,0
0.735617,0,0,0,0,0,0,0,0
0.737188,0,0,0,0,0,0,0,0
0.738760,0,0,0,0,0,0,0,0
0.740333,0,0,0,0,0,0,0,0
0.741905,0,0,0,0,0,0,0,0
0.743538,0,0,0,0,0,0,0,0
0.745106,0,0,0,0,0,0,0,0
0.746691,0,0,0,0,0,0,0,0
0.748263,0,0,0,0,0,0,0,0
0.749833,0,0,0,0,0,0,0,0
0.751408,0,0,0,0,0,0,0,0
0.752980,0,0,0,0,0,0,0,0
0.754554,0,0,0,0,0,0,0,0
0.756126,0,0,0,0,0,0,0,0
0.757709,0,0,0,0,0,0,0,0
0.759282,0,0,0,0,0,0,0,0
0.760890,0,0,0,0,0,0,0,0
