elapsed_s,RB_STARVE_CYCLES_CCU,RB_STARVE_CYCLES_Z_PLANE,RB_STARVE_CYCLES_BARY_PLANE,RB_Z_WORKLOAD,RB_HLSQ_ACTIVE,RB_Z_READ,RB_Z_WRITE,RB_C_READ
0.401680,0,0,0,0,0,0,0,0
0.403083,0,0,0,0,0,0,0,0
0.404494,0,0,0,0,0,0,0,0
0.405893,0,0,0,0,0,0,0,0
0.407293,0,0,0,0,0,0,0,0
0.408693,0,0,0,0,0,0,0,0
0.410224,0,0,0,0,0,0,0,0
0.411623,0,0,0,0,0,0,0,0
0.413029,0,0,0,0,0,0,0,0
0.414411,0,0,0,0,0,0,0,0
0.415790,0,0,0,0,0,0,0,0
0.417219,0,0,0,0,0,0,0,0
0.418597,0,0,0,0,0,0,0,0
0.419970,0,0,0,0,0,0,0,0
0.421344,0,0,0,0,0,0,0,0
0.422718,0,0,0,0,0,0,0,0
0.424091,0,0,0,0,0,0,0,0
0.425477,0,0,0,0,0,0,0,0
0.426858,0,0,0,0,0,0,0,0
0.428218,0,0,0,0,0,0,0,0
0.429643,0,0,0,0,0,0,0,0
0.431069,0,0,0,0,0,0,0,0
0.432494,0,0,0,0,0,0,0,0
0.433919,0,0,0,0,0,0,0,0
0.435235,0,0,0,0,0,0,0,0
0.436661,0,0,0,0,0,0,0,0
0.438108,0,0,0,0,0,0,0,0
0.439532,0,0,0,0,0,0,0,0
0.440957,0,0,0,0,0,0,0,0
0.442353,0,0,0,0,0,0,0,0
0.443749,0,0,0,0,0,0,0,0
0.445121,0,0,0,0,0,0,0,0
0.446491,0,0,0,0,0,0,0,0
0.447915,0,0,0,0,0,0,0,0
0.449857,0,0,0,0,0,0,0,0
0.451220,0,0,0,0,0,0,0,0
0.452578,0,0,0,0,0,0,0,0
0.453989,0,0,0,0,0,0,0,0
0.455356,0,0,0,0,0,0,0,0
0.456737,0,48,0,0,48,0,0,0
0.458104,0,0,0,0,0,0,0,0
0.459468,0,0,0,0,0,0,0,0
0.460842,0,0,0,0,0,0,0,0
0.462281,0,0,0,0,0,0,0,0
0.463687,0,0,0,0,0,0,0,0
0.465096,0,0,0,0,0,0,0,0
0.466505,0,336,0,0,336,0,0,0
0.467930,0,0,0,0,0,0,0,0
0.469433,0,0,0,0,0,0,0,0
0.470852,0,0,0,0,0,0,0,0
0.472259,0,0,0,0,0,0,0,0
0.473666,0,0,0,0,0,0,0,0
0.475073,0,0,0,0,0,0,0,0
0.476520,0,0,0,0,0,0,0,0
0.478063,0,0,0,0,0,0,0,0
0.479470,0,0,0,0,0,0,0,0
0.480882,0,0,0,0,0,0,0,0
0.484727,0,0,0,0,0,0,0,0
0.486233,0,0,0,0,0,0,0,0
0.487631,0,0,0,0,0,0,0,0
0.489033,0,0,0,0,0,0,0,0
0.490465,0,0,0,0,0,0,0,0
0.492245,0,0,0,0,0,0,0,0
0.493791,0,0,0,0,0,0,0,0
0.495210,0,0,0,0,0,0,0,0
0.496577,0,0,0,0,0,0,0,0
0.497940,0,0,0,0,0,0,0,0
0.499302,0,0,0,0,0,0,0,0
0.500662,0,0,0,0,0,0,0,0
0.502107,0,0,0,0,0,0,0,0
0.503468,0,0,0,0,0,0,0,0
0.504847,0,0,0,0,0,0,0,0
0.506211,0,0,0,0,0,0,0,0
0.507571,0,0,0,0,0,0,0,0
0.508945,0,0,0,0,0,0,0,0
0.510356,0,0,0,0,0,0,0,0
0.511892,0,0,0,0,0,0,0,0
0.513478,0,0,0,0,0,0,0,0
0.515050,0,0,0,0,0,0,0,0
0.516621,0,0,0,0,0,0,0,0
0.518243,0,0,0,0,0,0,0,0
0.519814,0,0,0,0,0,0,0,0
0.521387,0,0,0,0,0,0,0,0
0.523329,0,0,0,0,0,0,0,0
0.524917,0,0,0,0,0,0,0,0
0.526378,0,0,0,0,0,0,0,0
0.527922,0,0,0,0,0,0,0,0
0.529496,0,0,0,0,0,0,0,0
0.531067,0,0,0,0,0,0,0,0
0.532636,0,0,0,0,0,0,0,0
0.534158,0,0,0,0,0,0,0,0
0.535707,0,0,0,0,0,0,0,0
0.537282,0,0,0,0,0,0,0,0
0.538854,0,0,0,0,0,0,0,0
0.540467,0,0,0,0,0,0,0,0
0.542038,0,0,0,0,0,0,0,0
0.543610,0,0,0,0,0,0,0,0
0.545227,0,0,0,0,0,0,0,0
0.546687,0,0,0,0,0,0,0,0
0.548227,0,0,0,0,0,0,0,0
0.549801,0,0,0,0,0,0,0,0
0.551372,0,0,0,0,0,0,0,0
0.552941,0,0,0,0,0,0,0,0
0.554555,0,0,0,0,0,0,0,0
0.556236,0,0,0,0,0,0,0,0
0.557817,0,0,0,0,0,0,0,0
0.559388,0,0,0,0,0,0,0,0
0.560958,0,0,0,0,0,0,0,0
0.562583,0,0,0,0,0,0,0,0
0.564154,0,0,0,0,0,0,0,0
0.565726,0,0,0,0,0,0,0,0
0.567298,0,0,0,0,0,0,0,0
0.568879,0,0,0,0,0,0,0,0
0.570456,0,0,0,0,0,0,0,0
0.572068,0,0,0,0,0,0,0,0
0.573643,0,0,0,0,0,0,0,0
0.575214,0,0,0,0,0,0,0,0
0.576785,0,0,0,0,0,0,0,0
0.579101,0,0,0,0,0,0,0,0
0.580563,0,0,0,0,0,0,0,0
0.581977,0,0,0,0,0,0,0,0
0.583380,0,0,0,0,0,0,0,0
0.584781,0,0,0,0,0,0,0,0
0.586184,0,0,0,0,0,0,0,0
0.587584,0,0,0,0,0,0,0,0
0.588996,0,0,0,0,0,0,0,0
0.590457,0,0,0,0,0,0,0,0
0.591870,0,0,0,0,0,0,0,0
0.593270,0,0,0,0,0,0,0,0
0.594670,0,0,0,0,0,0,0,0
0.596106,0,0,0,0,0,0,0,0
