elapsed_s,CP_NEVER_COUNT,CP_ALWAYS_COUNT,CP_BUSY_GFX_CORE_IDLE,CP_BUSY_CYCLES,CP_NUM_PREEMPTIONS,CP_PREEMPTION_REACTION_DELAY,CP_PREEMPTION_SWITCH_OUT_TIME,CP_PREEMPTION_SWITCH_IN_TIME,CP_DEAD_DRAWS_IN_BIN_RENDER,CP_PREDICATED_DRAWS_KILLED,CP_MODE_SWITCH,CP_ZPASS_DONE,CP_CONTEXT_DONE,CP_CACHE_FLUSH
0.294685,0,473455,2678,2677,0,0,0,0,0,0,0,0,0,0
0.296240,0,485182,2357,2356,0,0,0,0,0,0,0,0,0,0
0.297783,0,472389,2489,2488,0,0,0,0,0,0,0,0,0,0
0.299716,0,635554,2335,2334,0,0,0,0,0,0,0,0,0,0
0.301252,0,1219928,57416,615876,0,0,0,0,0,0,0,0,145,3
0.302731,0,480268,2334,2333,0,0,0,0,0,0,0,0,0,0
0.304181,0,469723,2330,2329,0,0,0,0,0,0,0,0,0,0
0.305860,0,560012,2345,2344,0,0,0,0,0,0,0,0,0,0
0.307392,0,453415,2337,2336,0,0,0,0,0,0,0,0,0,0
0.308827,0,456958,2474,2473,0,0,0,0,0,0,0,0,0,0
0.310273,0,515181,2339,2338,0,0,0,0,0,0,0,0,0,0
0.311759,0,457855,2337,2336,0,0,0,0,0,0,0,0,0,0
0.313372,0,760426,2329,2328,0,0,0,0,0,0,0,0,0,0
0.314929,0,474449,2342,2341,0,0,0,0,0,0,0,0,0,0
0.316368,0,456592,2339,2338,0,0,0,0,0,0,0,0,0,0
0.317806,0,455527,2326,2325,0,0,0,0,0,0,0,0,0,0
0.319336,0,534805,2335,2334,0,0,0,0,0,0,0,0,0,0
0.320775,0,455206,2343,2342,0,0,0,0,0,0,0,0,0,0
0.322217,0,458062,2345,2344,0,0,0,0,0,0,0,0,0,0
0.323786,0,484536,2333,2332,0,0,0,0,0,0,0,0,0,0
0.325278,0,476062,2342,2341,0,0,0,0,0,0,0,0,0,0
0.326898,0,480844,2331,2330,0,0,0,0,0,0,0,0,0,0
0.328499,0,481742,2337,2336,0,0,0,0,0,0,0,0,0,0
0.329979,0,522114,2338,2337,0,0,0,0,0,0,0,0,0,0
0.331597,0,484976,2346,2345,0,0,0,0,0,0,0,0,0,0
0.333199,0,484598,2332,2331,0,0,0,0,0,0,0,0,0,0
0.334846,0,483337,2324,2323,0,0,0,0,0,0,0,0,0,0
0.336460,0,491341,2340,2339,0,0,0,0,0,0,0,0,0,0
0.337943,0,483915,2333,2332,0,0,0,0,0,0,0,0,0,0
0.339403,0,471605,2335,2334,0,0,0,0,0,0,0,0,0,0
0.340847,0,457564,2325,2324,0,0,0,0,0,0,0,0,0,0
0.342290,0,505938,2336,2335,0,0,0,0,0,0,0,0,0,0
0.343775,0,460239,2324,2323,0,0,0,0,0,0,0,0,0,0
0.345216,0,456716,2337,2336,0,0,0,0,0,0,0,0,0,0
0.346672,0,519823,2339,2338,0,0,0,0,0,0,0,0,0,0
0.348284,0,486772,2342,2341,0,0,0,0,0,0,0,0,0,0
0.349887,0,491181,2328,2327,0,0,0,0,0,0,0,0,0,0
0.351497,0,484485,2344,2343,0,0,0,0,0,0,0,0,0,0
0.353099,0,483985,2329,2328,0,0,0,0,0,0,0,0,0,0
0.354706,0,485558,2339,2338,0,0,0,0,0,0,0,0,0,0
0.356311,0,485598,2339,2338,0,0,0,0,0,0,0,0,0,0
0.357928,0,490180,2329,2328,0,0,0,0,0,0,0,0,0,0
0.359538,0,485010,2338,2337,0,0,0,0,0,0,0,0,0,0
0.361141,0,484547,2339,2338,0,0,0,0,0,0,0,0,0,0
0.362796,0,485184,2341,2340,0,0,0,0,0,0,0,0,0,0
0.364276,0,473482,2333,2332,0,0,0,0,0,0,0,0,0,0
0.365850,0,501148,2342,2341,0,0,0,0,0,0,0,0,0,0
0.367461,0,514784,2337,2336,0,0,0,0,0,0,0,0,0,0
0.368986,0,481315,2330,2329,0,0,0,0,0,0,0,0,0,0
0.370447,0,480245,2335,2334,0,0,0,0,0,0,0,0,0,0
0.371887,0,454497,2346,2345,0,0,0,0,0,0,0,0,0,0
0.373324,0,452093,2386,2385,0,0,0,0,0,0,0,0,0,0
0.374791,0,1331747,2345,2344,0,0,0,0,0,0,0,0,0,0
0.377023,0,486676,2343,2342,0,0,0,0,0,0,0,0,0,0
0.378481,0,462929,2340,2339,0,0,0,0,0,0,0,0,0,0
0.379935,0,481916,2345,2344,0,0,0,0,0,0,0,0,0,0
0.381372,0,470522,2342,2341,0,0,0,0,0,0,0,0,0,0
0.382844,0,465711,2337,2336,0,0,0,0,0,0,0,0,0,0
0.384280,0,452426,2384,2383,0,0,0,0,0,0,0,0,0,0
0.385714,0,470079,2339,2338,0,0,0,0,0,0,0,0,0,0
0.387148,0,468940,2332,2331,0,0,0,0,0,0,0,0,0,0
0.388708,0,481643,2336,2335,0,0,0,0,0,0,0,0,0,0
0.390288,0,522919,2452,2451,0,0,0,0,0,0,0,0,0,0
0.391784,0,464340,2326,2325,0,0,0,0,0,0,0,0,0,0
0.393227,0,458187,2331,2330,0,0,0,0,0,0,0,0,0,0
0.394671,0,456004,2337,2336,0,0,0,0,0,0,0,0,0,0
